,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Lille,0,0.91,12,2,2,7.37,0.93,Paris Saint Germain,1,1.33,7,3,3,11.90,1.75
1,Monaco,0,1.26,9,3,2,5.21,1.47,Lille,0,1.13,9,2,5,13.68,1.21
2,Lille,0,1.76,16,5,7,5.62,2.28,Bordeaux,0,0.70,12,4,5,6.38,0.51
3,Lille,1,0.76,14,5,0,12.40,1.67,GFC Ajaccio,0,0.40,13,6,4,8.85,0.91
4,Lyon,0,0.85,13,6,7,3.13,1.70,Lille,0,0.47,9,3,3,8.47,0.92
5,Rennes,1,2.13,8,3,6,5.83,2.35,Lille,1,1.04,15,5,4,4.78,0.45
6,Reims,1,1.94,10,5,1,10.23,2.27,Lille,0,0.89,9,3,4,6.61,0.51
7,Lille,0,1.16,20,4,12,3.97,0.93,Nantes,1,1.59,9,2,4,13.89,1.79
8,Lille,2,1.81,22,5,4,5.28,1.93,Montpellier,0,1.10,9,3,1,10.10,0.78
9,Guingamp,1,0.39,9,2,3,19.87,0.94,Lille,1,0.69,10,2,5,3.68,1.63
10,Lille,1,0.98,10,4,3,5.41,1.05,Marseille,2,1.31,12,6,6,5.78,1.60
11,Nice,0,0.92,9,4,2,4.15,2.02,Lille,0,0.38,9,1,3,7.02,0.64
12,Lille,1,1.48,10,2,3,5.37,2.16,SC Bastia,1,0.62,9,2,1,20.27,0.59
13,Troyes,1,1.09,10,5,7,8.08,1.16,Lille,1,1.37,16,6,8,7.34,1.56
14,Angers,2,1.42,9,5,5,9.20,2.32,Lille,0,0.40,8,0,4,11.38,0.44
15,Lille,1,0.41,13,5,7,4.97,1.30,Saint-Etienne,0,0.37,9,0,1,4.50,1.17
16,Caen,1,1.12,15,5,7,7.87,1.08,Lille,2,1.39,12,5,4,9.69,1.56
17,Lille,3,2.16,17,7,3,9.74,2.66,Lorient,0,0.42,11,3,4,20.92,0.22
18,Toulouse,1,1.10,7,4,3,8.23,1.03,Lille,1,1.53,24,6,5,5.45,1.69
19,Lille,1,0.84,10,3,5,9.70,1.81,Nice,1,0.36,9,3,4,5.50,0.80
20,Bordeaux,1,0.76,14,3,6,6.59,1.85,Lille,0,0.22,10,7,1,9.53,0.72
21,Lille,1,1.84,21,5,15,7.44,2.23,Troyes,3,0.77,7,4,4,13.40,0.52
22,Marseille,1,1.79,16,3,2,6.19,1.60,Lille,1,1.51,12,4,7,8.69,1.11
23,Lille,1,0.83,12,6,8,4.18,1.70,Caen,0,0.44,10,2,3,13.64,0.91
24,Lille,1,1.68,16,6,3,8.50,1.81,Rennes,1,1.12,10,3,4,12.06,0.91
25,Paris Saint Germain,0,1.71,12,4,1,5.24,2.66,Lille,0,0.10,5,0,0,13.74,0.19
26,Lille,1,0.75,9,2,5,9.23,1.42,Lyon,0,0.63,12,4,5,4.58,1.20
27,Montpellier,3,1.93,10,5,6,6.31,2.62,Lille,0,0.36,6,2,4,7.86,0.24
28,Lille,2,1.58,8,5,7,9.17,2.51,Reims,0,0.36,9,5,0,3.68,0.31
29,SC Bastia,1,1.11,10,1,3,10.07,1.33,Lille,2,1.09,9,4,6,7.72,1.34
30,Lille,1,0.26,6,2,0,9.00,0.63,Toulouse,0,0.90,10,3,7,8.82,2.00
31,Nantes,0,0.53,13,6,2,7.03,0.85,Lille,3,0.96,11,7,5,17.82,1.81
32,Lille,4,2.61,8,4,9,9.92,2.68,Monaco,1,0.74,7,4,1,9.41,0.21
33,GFC Ajaccio,2,1.06,14,4,7,9.30,1.08,Lille,4,1.40,13,5,6,7.64,1.65
34,Lille,0,0.90,12,3,9,4.89,2.01,Angers,0,0.24,7,4,1,18.90,0.62
35,Lorient,0,0.50,13,3,6,11.72,0.70,Lille,1,1.18,14,5,5,10.44,1.99
36,Lille,0,1.26,28,7,9,5.37,2.37,Guingamp,0,0.09,2,0,7,13.65,0.36
37,Saint-Etienne,0,0.69,12,3,13,4.89,0.56,Lille,1,1.62,12,6,2,14.24,2.20
38,Paris Saint Germain,2,1.58,18,6,8,7.80,2.54,GFC Ajaccio,0,0.15,8,2,1,27.29,0.27
39,Montpellier,0,0.37,10,3,3,18.22,0.88,Paris Saint Germain,1,0.76,9,5,3,9.57,1.71
40,Monaco,0,0.14,3,2,4,20.43,0.14,Paris Saint Germain,3,2.14,19,8,13,10.13,2.76
41,Paris Saint Germain,2,1.55,19,5,13,2.66,1.92,Bordeaux,2,0.86,10,3,1,16.21,0.81
42,Reims,1,0.87,7,3,2,19.20,0.88,Paris Saint Germain,1,1.48,17,7,9,7.86,1.84
43,Paris Saint Germain,3,3.11,18,10,6,5.68,2.88,Guingamp,0,0.42,10,4,3,42.00,0.07
44,Nantes,1,0.54,7,2,2,17.74,0.39,Paris Saint Germain,4,1.86,14,7,6,5.00,2.41
45,Paris Saint Germain,2,3.64,16,8,12,5.53,2.54,Marseille,1,1.78,13,8,7,15.00,0.33
46,SC Bastia,0,0.63,6,2,4,15.42,0.48,Paris Saint Germain,2,1.78,13,5,8,3.66,2.30
47,Paris Saint Germain,4,4.47,21,10,15,8.65,2.95,Saint-Etienne,1,0.57,14,6,2,15.33,0.03
48,Rennes,0,0.19,5,2,1,10.19,0.73,Paris Saint Germain,1,0.70,13,5,12,6.72,1.81
49,Paris Saint Germain,5,2.03,15,9,7,5.34,2.73,Toulouse,0,0.22,7,0,2,28.31,0.16
50,Lorient,1,1.05,13,6,3,19.79,0.82,Paris Saint Germain,2,1.67,8,3,10,5.53,1.91
51,Paris Saint Germain,4,3.14,21,9,11,5.86,2.89,Troyes,1,0.29,11,3,5,15.35,0.06
52,Angers,0,0.59,8,1,3,51.20,1.25,Paris Saint Germain,0,0.65,12,3,5,4.52,1.34
53,Nice,0,0.56,7,2,0,34.31,0.04,Paris Saint Germain,3,3.77,15,6,16,7.91,2.94
54,Paris Saint Germain,5,2.93,11,8,3,3.98,2.92,Lyon,1,0.19,9,3,2,22.35,0.04
55,Caen,0,1.12,8,1,1,19.64,0.45,Paris Saint Germain,3,2.46,18,10,17,4.00,2.36
56,Paris Saint Germain,2,2.59,14,3,13,6.46,2.89,SC Bastia,0,0.23,5,0,2,29.00,0.06
57,Toulouse,0,0.67,9,3,3,26.55,1.15,Paris Saint Germain,1,0.85,12,4,10,4.88,1.48
58,Paris Saint Germain,5,2.63,16,10,6,6.65,2.79,Angers,1,0.34,11,4,3,26.15,0.14
59,Saint-Etienne,0,0.66,12,3,6,12.79,0.37,Paris Saint Germain,2,2.05,12,5,8,7.95,2.47
60,Paris Saint Germain,3,2.61,16,7,8,7.67,2.71,Lorient,1,0.51,11,4,3,19.67,0.19
61,Marseille,1,0.99,18,7,4,15.81,0.76,Paris Saint Germain,2,1.75,11,3,8,9.68,1.98
62,Paris Saint Germain,4,2.12,15,7,12,5.87,2.44,Reims,1,0.68,10,3,1,21.39,0.39
63,Lyon,2,1.45,14,7,9,10.56,2.30,Paris Saint Germain,1,0.34,7,3,7,6.54,0.45
64,Paris Saint Germain,0,1.58,7,5,6,6.50,2.59,Montpellier,0,0.24,6,0,3,16.42,0.25
65,Troyes,0,1.37,16,3,5,19.26,0.11,Paris Saint Germain,9,4.30,22,15,7,6.26,2.84
66,Paris Saint Germain,0,2.31,23,4,16,4.30,1.63,Monaco,2,1.91,12,5,2,16.27,1.11
67,Paris Saint Germain,4,2.08,13,7,7,12.59,2.47,Nice,1,0.57,6,4,2,15.37,0.36
68,Guingamp,0,0.38,8,2,8,13.84,0.22,Paris Saint Germain,2,2.10,14,6,4,4.30,2.66
