,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Roma,4,5.75,25,9,13,5.41,2.99,Udinese,0,0.52,11,1,6,25.50,0.00
1,Cagliari,2,1.76,18,5,9,7.06,0.66,Roma,2,2.93,21,7,10,16.00,2.15
2,Roma,3,3.61,24,8,7,5.88,2.68,Sampdoria,2,1.24,12,7,3,8.03,0.23
3,Fiorentina,1,0.74,8,4,3,14.61,1.09,Roma,0,1.02,14,3,11,7.75,1.58
4,Roma,4,2.22,20,7,6,4.78,2.10,Crotone,0,1.21,11,3,4,29.63,0.68
5,Torino,3,2.48,18,8,9,11.65,1.10,Roma,1,2.98,22,6,17,3.78,1.68
6,Roma,2,2.40,19,7,3,16.39,2.21,Inter,1,1.18,18,5,7,8.00,0.60
7,Napoli,1,1.66,21,5,11,14.40,1.25,Roma,3,1.82,14,6,1,16.11,1.50
8,Roma,4,2.49,18,7,10,5.63,2.71,Palermo,1,0.44,8,3,2,19.42,0.18
9,Sassuolo,1,1.01,16,3,5,13.90,0.52,Roma,3,2.22,16,5,10,7.60,2.30
10,Empoli,0,0.33,8,3,4,10.50,0.47,Roma,0,1.44,23,6,15,5.17,2.28
11,Roma,3,3.45,22,8,17,6.79,2.78,Bologna,0,0.79,13,5,6,17.71,0.15
12,Atalanta,2,1.68,21,6,12,6.62,1.45,Roma,1,1.54,9,5,7,6.89,1.25
13,Roma,3,3.04,14,7,10,7.07,2.54,Pescara,2,1.20,14,7,7,10.03,0.33
14,Lazio,0,0.58,11,2,5,6.96,0.89,Roma,2,1.00,7,4,2,9.23,1.77
15,Roma,1,0.55,13,4,1,9.50,0.74,AC Milan,0,1.05,8,4,4,7.85,1.94
16,Juventus,1,0.83,7,6,7,7.91,1.66,Roma,0,0.51,10,2,9,5.11,0.97
17,Roma,3,3.16,25,9,13,5.43,2.77,Chievo,1,0.79,6,2,0,21.43,0.15
18,Genoa,0,0.44,10,4,0,5.48,0.67,Roma,1,1.21,15,3,9,5.80,2.03
19,Udinese,0,1.25,10,5,5,14.71,0.60,Roma,1,2.39,13,4,6,7.27,2.20
20,Roma,1,2.11,18,6,7,9.12,2.65,Cagliari,0,0.37,8,0,5,11.54,0.23
21,Sampdoria,3,1.80,18,7,7,10.50,1.74,Roma,2,1.32,16,10,7,6.19,1.02
22,Roma,4,3.58,23,8,11,12.55,2.85,Fiorentina,0,0.63,13,2,1,8.12,0.10
23,Crotone,0,0.45,14,4,2,16.06,0.20,Roma,2,2.35,15,3,12,3.68,2.70
24,Roma,4,1.15,20,7,11,12.95,1.60,Torino,1,0.83,12,4,5,10.68,1.08
25,Inter,1,1.34,14,4,8,9.48,1.14,Roma,3,1.53,12,5,5,6.63,1.55
