,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Monaco,0,0.56,7,1,2,17.96,1.04,Lyon,3,0.83,13,3,2,8.64,1.57
1,Metz,3,3.11,18,10,3,9.24,2.76,Monaco,0,0.76,12,6,5,12.57,0.16
2,Monaco,2,2.40,16,6,10,9.26,1.48,Nimes,2,2.24,14,4,2,9.30,1.28
3,Strasbourg,2,1.34,14,5,9,6.42,0.39,Monaco,2,2.88,16,6,5,9.42,2.45
4,Monaco,3,2.48,12,8,3,17.42,1.95,Marseille,4,1.74,13,6,4,9.24,0.81
5,Reims,0,1.35,16,4,3,9.32,1.89,Monaco,0,0.72,12,4,3,15.94,0.82
6,Monaco,3,2.40,17,5,9,10.63,2.58,Nice,1,0.61,10,3,2,6.32,0.29
7,Monaco,4,3.78,21,13,14,10.78,2.94,Brest,1,0.40,5,1,1,15.00,0.04
8,Montpellier,3,2.75,17,10,5,11.00,2.37,Monaco,1,1.36,14,4,6,11.44,0.47
9,Monaco,3,1.73,14,5,13,10.84,1.70,Rennes,2,1.32,10,3,1,14.55,1.00
10,Nantes,0,1.47,15,4,2,10.26,1.84,Monaco,1,0.90,7,2,4,12.17,0.86
11,Saint-Etienne,1,1.51,12,5,1,18.05,1.68,Monaco,0,1.15,11,2,6,13.22,1.02
12,Monaco,1,2.01,18,7,14,6.74,1.92,Dijon,0,1.23,15,3,8,23.54,0.85
13,Bordeaux,2,1.48,17,6,3,16.19,1.41,Monaco,1,1.43,11,3,7,9.21,1.31
14,Toulouse,1,1.60,14,3,4,8.54,0.32,Monaco,2,3.56,18,7,17,12.90,2.56
15,Monaco,3,2.65,20,8,13,6.28,2.72,Amiens,0,0.50,5,2,3,20.05,0.18
16,Angers,0,0.87,10,5,3,21.26,1.78,Monaco,0,0.38,7,2,2,6.87,0.85
17,Monaco,5,3.56,15,6,10,9.72,2.91,Lille,1,0.65,9,4,6,4.75,0.06
18,Paris Saint Germain,3,2.76,13,6,15,6.84,1.95,Monaco,3,1.92,16,6,9,21.56,0.84
19,Monaco,1,1.14,13,4,6,13.56,0.18,Paris Saint Germain,4,3.56,17,12,7,18.46,2.74
20,Monaco,1,1.06,12,3,1,9.30,1.28,Strasbourg,3,1.14,11,7,3,24.00,1.36
21,Nimes,3,1.73,23,7,9,5.78,2.13,Monaco,1,0.73,6,4,2,25.29,0.64
22,Monaco,1,0.28,6,3,3,13.85,0.60,Angers,0,1.08,16,4,7,17.12,2.08
23,Amiens,1,0.44,8,1,4,9.44,0.59,Monaco,2,1.28,12,6,6,4.25,2.14
24,Monaco,1,1.93,16,2,17,8.49,2.09,Montpellier,0,0.98,13,2,2,20.25,0.68
25,Dijon,1,1.59,12,2,1,13.56,0.88,Monaco,1,2.21,16,6,10,8.56,1.87
26,Monaco,1,1.97,19,7,11,6.79,2.01,Reims,1,1.15,16,8,6,15.95,0.75
27,Nice,2,1.64,12,5,3,13.48,1.64,Monaco,1,1.30,14,4,3,10.16,1.08
28,Lyon,6,1.50,11,9,6,7.63,2.38,Angers,0,0.35,10,3,6,23.88,0.41
29,Montpellier,1,1.89,19,5,7,14.37,2.05,Lyon,0,1.04,14,4,2,17.71,0.71
30,Lyon,1,1.01,10,3,2,10.88,1.40,Bordeaux,1,0.96,18,6,7,12.61,1.27
31,Amiens,2,0.38,11,2,5,12.00,0.33,Lyon,2,1.80,12,6,4,15.50,2.49
32,Lyon,0,0.37,12,0,1,21.47,0.60,Paris Saint Germain,1,1.26,21,7,15,7.89,2.11
33,Brest,2,0.51,13,5,5,13.22,0.74,Lyon,2,1.13,11,5,3,12.68,1.96
34,Lyon,0,0.96,14,7,7,9.00,1.74,Nantes,1,0.52,11,2,4,23.60,0.91
35,Saint-Etienne,1,0.70,6,4,5,14.56,1.65,Lyon,0,0.36,6,2,2,7.72,0.92
36,Lyon,0,1.86,24,10,10,9.82,2.49,Dijon,0,0.36,6,1,0,32.18,0.34
37,Lyon,2,1.94,18,7,6,7.17,2.47,Metz,0,0.55,16,3,5,25.11,0.37
38,Toulouse,2,1.37,12,5,5,19.82,1.20,Lyon,3,1.63,21,8,14,11.93,1.54
39,Marseille,2,1.16,10,4,4,10.22,1.40,Lyon,1,1.10,11,4,2,9.20,1.23
40,Lyon,2,1.17,9,4,3,17.76,0.59,Nice,1,2.32,17,7,5,7.58,2.20
41,Strasbourg,1,0.42,9,2,5,11.10,0.87,Lyon,2,0.82,8,4,1,11.75,1.75
42,Lyon,0,0.59,11,3,8,5.16,0.96,Lille,1,0.97,8,2,3,16.95,1.71
43,Nimes,0,0.46,6,2,0,18.63,0.12,Lyon,4,2.68,22,8,17,3.12,2.81
44,Lyon,0,0.53,10,3,3,9.22,0.95,Rennes,1,0.94,12,6,4,12.71,1.68
45,Reims,1,1.23,12,3,4,12.81,0.99,Lyon,1,1.59,15,4,8,7.64,1.69
46,Bordeaux,1,0.71,5,2,3,19.69,0.32,Lyon,2,2.43,22,6,13,7.50,2.54
47,Lyon,3,1.20,13,5,5,9.58,2.19,Toulouse,0,0.33,10,4,2,33.54,0.53
48,Nice,2,1.55,12,7,4,6.43,1.31,Lyon,1,1.56,14,7,4,13.13,1.36
49,Lyon,0,0.41,10,3,6,6.40,1.44,Amiens,0,0.24,7,2,1,11.31,1.00
50,Paris Saint Germain,4,1.74,16,5,8,6.48,2.02,Lyon,2,0.87,7,2,2,21.30,0.73
51,Lyon,1,1.22,5,2,2,6.22,1.15,Strasbourg,1,1.38,7,1,1,10.96,1.48
52,Metz,0,0.14,7,0,1,14.89,0.19,Lyon,2,1.57,12,6,2,7.27,2.67
53,Lyon,2,2.92,16,9,11,6.24,2.87,Saint-Etienne,0,0.38,8,4,3,16.05,0.08
54,Lille,1,1.36,13,3,7,10.13,1.54,Lyon,0,1.14,9,2,6,9.21,1.17
55,Marseille,0,0.87,10,2,4,4.88,1.01,Reims,2,1.30,8,5,6,15.83,1.70
56,Nantes,0,0.33,13,6,3,10.00,0.40,Marseille,0,1.34,9,2,2,12.70,2.38
57,Nice,1,1.74,12,3,4,8.00,1.44,Marseille,2,1.65,12,5,2,12.77,1.26
58,Marseille,1,0.85,9,2,9,8.90,1.65,Saint-Etienne,0,0.52,12,3,6,8.06,0.98
59,Marseille,1,1.08,24,5,9,8.13,2.23,Montpellier,1,0.10,2,1,2,10.74,0.44
60,Dijon,0,1.74,18,6,3,12.44,1.68,Marseille,0,1.32,9,2,5,5.93,1.06
61,Marseille,1,0.67,17,5,6,7.34,1.31,Rennes,1,0.68,12,2,6,10.15,1.29
62,Amiens,3,2.91,11,5,1,13.36,2.84,Marseille,1,0.44,13,4,4,4.10,0.10
63,Marseille,2,1.60,11,6,3,14.38,2.53,Strasbourg,0,0.32,10,2,4,12.67,0.30
64,Paris Saint Germain,4,3.23,13,8,11,7.74,2.90,Marseille,0,0.54,11,2,4,16.59,0.07
65,Marseille,2,0.66,11,1,8,10.70,1.23,Lille,1,0.70,6,2,4,8.05,1.38
66,Toulouse,0,0.90,10,3,1,15.48,0.52,Marseille,2,1.96,14,7,10,3.47,2.26
67,Marseille,2,4.53,34,10,10,7.13,2.93,Brest,1,0.69,4,1,1,15.68,0.04
68,Angers,0,0.78,9,2,5,12.44,0.40,Marseille,2,2.10,10,4,1,13.96,2.41
69,Marseille,3,2.05,25,6,9,9.31,2.73,Bordeaux,1,0.16,3,2,2,12.80,0.15
70,Metz,1,1.02,6,3,0,20.31,0.83,Marseille,1,1.69,16,5,7,4.08,1.88
71,Marseille,3,1.97,19,9,7,10.89,2.03,Nimes,1,1.15,12,5,3,16.15,0.73
72,Rennes,0,0.49,9,2,1,6.50,0.91,Marseille,1,0.83,10,4,0,7.29,1.71
73,Marseille,0,0.34,9,2,7,5.95,1.43,Angers,0,0.16,4,0,3,17.25,0.95
74,Bordeaux,0,1.15,12,3,1,6.81,2.08,Marseille,0,0.41,16,4,3,8.03,0.63
75,Saint-Etienne,0,0.45,11,3,1,11.72,1.16,Marseille,2,0.53,5,3,0,9.43,1.38
76,Marseille,1,0.73,12,3,7,8.77,0.42,Toulouse,0,1.79,10,3,3,20.81,2.37
77,Lille,1,1.12,13,3,2,10.00,0.96,Marseille,2,1.51,5,2,3,13.42,1.74
78,Marseille,1,0.80,15,5,8,6.29,1.36,Nantes,3,0.72,8,4,1,13.93,1.25
79,Nimes,2,2.42,16,6,3,7.43,1.71,Marseille,3,1.97,13,4,3,7.95,1.04
80,Marseille,2,1.07,13,6,6,8.46,0.74,Amiens,2,1.88,12,3,4,10.96,2.03
81,Reims,0,0.34,11,1,5,8.43,0.97,Strasbourg,0,0.56,5,2,1,19.61,1.56
82,Brest,1,0.53,8,4,3,10.39,1.04,Reims,0,0.79,10,2,3,13.12,1.57
83,Reims,2,2.01,12,5,10,13.71,1.65,Lille,0,1.66,11,3,2,6.20,1.04
84,Nantes,1,0.25,8,4,2,8.61,0.79,Reims,0,0.69,9,1,4,15.05,1.76
85,Paris Saint Germain,0,0.53,12,3,4,6.13,0.76,Reims,2,1.17,13,2,2,20.24,1.94
86,Reims,1,0.78,18,2,5,10.29,0.81,Dijon,2,1.42,11,4,5,7.55,1.91
87,Rennes,0,1.01,18,3,5,4.31,0.75,Reims,1,1.89,13,7,6,13.70,2.04
88,Reims,1,0.93,12,5,2,11.91,1.67,Montpellier,0,0.59,9,0,3,9.13,0.98
