,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
156,Fiorentina,4,2.74,17,9,12,8.15,2.54,Salernitana,0,0.92,11,6,8,14.90,0.32
157,Genoa,1,1.01,12,2,4,5.68,0.57,Sampdoria,3,2.03,14,6,5,8.26,2.19
158,Udinese,0,0.78,17,3,8,8.29,1.44,Genoa,0,0.60,8,2,3,7.91,1.17
159,Sassuolo,2,0.31,9,7,4,14.68,0.71,Napoli,2,0.92,9,4,10,9.09,1.93
160,Empoli,2,2.14,17,5,4,6.47,1.22,Fiorentina,1,2.40,16,7,11,12.86,1.56
161,Verona,1,1.00,19,4,10,7.43,1.32,Atalanta,2,1.02,14,6,8,5.50,1.36
162,Fiorentina,3,2.87,17,7,8,19.17,2.74,Sampdoria,1,0.63,11,4,5,15.15,0.17
163,Empoli,3,2.03,22,9,12,8.04,1.35,Udinese,1,2.09,19,8,13,10.69,1.41
164,Inter,4,3.64,24,15,12,6.95,2.97,Cagliari,0,0.22,5,2,3,27.13,0.02
165,Napoli,4,1.20,18,8,8,23.79,2.16,Lazio,0,0.27,6,2,6,19.32,0.54
166,Napoli,0,1.62,30,6,14,10.75,2.10,Empoli,1,0.64,12,5,4,13.25,0.65
167,Napoli,2,1.12,15,4,7,15.63,1.07,Atalanta,3,1.53,21,7,6,10.29,1.66
168,Lazio,0,0.25,8,1,8,8.40,0.06,Juventus,2,2.77,11,5,8,18.67,2.89
169,Venezia,3,1.49,9,5,5,16.64,0.91,Verona,4,2.09,16,6,13,5.77,1.82
170,Juventus,2,3.01,27,12,13,6.36,2.98,Genoa,0,0.00,0,0,2,24.74,0.01
171,Atalanta,1,1.47,17,6,6,5.78,0.95,Roma,4,2.00,8,5,1,17.16,1.79
172,Spezia,1,1.37,9,2,5,16.00,1.52,Empoli,1,1.22,22,6,7,6.21,1.20
173,Bologna,0,0.84,11,3,10,10.77,0.90,Juventus,2,1.40,11,7,2,19.79,1.80
174,Torino,1,0.86,8,1,1,5.73,1.99,Verona,0,0.26,8,2,3,12.20,0.64
175,Lazio,3,2.07,11,5,10,13.39,2.75,Genoa,1,0.17,4,2,4,16.00,0.14
176,Salernitana,0,1.09,10,2,5,22.53,0.27,Inter,5,3.31,23,8,21,8.76,2.62
177,Cagliari,0,0.18,5,2,1,18.33,0.85,Udinese,4,0.52,10,5,6,12.35,1.62
178,Fiorentina,2,2.27,23,8,14,8.50,2.22,Sassuolo,2,1.00,8,4,4,18.67,0.58
179,AC Milan,0,0.37,12,2,8,9.00,0.71,Napoli,1,0.99,11,2,4,8.97,1.96
180,Sampdoria,1,1.81,18,8,8,9.78,2.12,Venezia,1,0.81,12,1,8,7.56,0.66
181,Inter,1,1.03,14,3,5,10.71,1.79,Torino,0,0.54,12,3,3,10.14,0.87
182,Napoli,0,1.45,26,7,8,6.41,2.29,Spezia,1,0.36,8,0,3,13.21,0.47
183,Roma,1,1.45,15,4,8,13.76,1.59,Sampdoria,1,1.18,10,2,6,15.53,1.13
184,Sassuolo,0,0.78,13,5,8,12.53,0.78,Bologna,3,1.49,9,5,5,9.52,1.95
185,Juventus,2,2.24,15,4,10,9.62,2.18,Cagliari,0,1.13,6,1,0,15.36,0.61
186,Verona,1,0.95,7,2,5,11.50,1.08,Fiorentina,1,1.29,11,1,11,7.60,1.60
187,Venezia,1,0.76,11,2,6,12.70,0.63,Lazio,3,1.55,7,4,5,13.04,2.12
188,Genoa,0,0.02,1,0,0,11.48,0.21,Atalanta,0,1.42,17,3,14,3.54,2.60
189,Empoli,2,1.66,16,5,10,5.89,1.11,AC Milan,4,1.96,18,8,6,13.30,1.62
190,AC Milan,3,3.02,19,5,4,11.63,2.75,Roma,1,0.86,11,5,2,9.96,0.16
191,Genoa,0,0.96,15,2,6,8.03,0.77,Spezia,1,1.76,17,9,5,11.15,1.99
192,Lazio,3,3.09,23,10,22,7.60,2.00,Empoli,3,2.15,11,4,4,26.60,0.79
193,Roma,3,2.53,19,7,4,10.52,2.19,Juventus,4,1.45,14,5,3,18.42,0.60
194,Empoli,1,1.03,15,4,9,13.95,0.08,Sassuolo,5,4.05,25,14,11,11.09,2.88
195,Sassuolo,1,2.16,28,7,9,6.60,2.75,Genoa,1,0.21,4,1,2,22.28,0.15
196,Spezia,1,1.32,9,3,0,13.44,0.80,Verona,2,2.16,22,5,6,11.67,1.96
197,Napoli,1,1.43,22,5,13,6.72,2.27,Sampdoria,0,0.37,11,1,0,27.14,0.49
198,Inter,2,2.15,17,6,7,9.27,2.47,Lazio,1,0.75,5,2,7,22.32,0.35
199,Venezia,0,0.51,9,3,2,17.17,0.02,AC Milan,3,3.87,18,8,11,9.75,2.97
200,Udinese,2,0.73,8,4,1,23.06,0.09,Atalanta,6,3.66,21,7,11,9.48,2.86
201,Verona,1,1.38,24,7,11,5.13,1.40,Salernitana,2,1.28,9,5,4,14.50,1.30
202,Torino,4,2.52,9,6,1,11.25,2.78,Fiorentina,0,0.47,10,3,2,10.22,0.14
203,Juventus,1,1.08,22,5,5,12.50,1.51,Napoli,1,0.88,16,4,6,13.36,1.17
204,Sampdoria,1,0.73,4,1,5,10.96,0.38,Cagliari,2,2.19,15,7,12,11.21,2.44
