,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
247,Darmstadt,3,1.61,15,4,8,15.55,1.77,Freiburg,0,1.12,9,4,5,8.89,0.93
248,Darmstadt,0,0.75,11,2,2,8.33,0.74,Hertha Berlin,2,1.59,16,5,5,11.42,2.01
249,B. Monchengladbach,2,1.98,18,10,15,7.29,2.39,Darmstadt,2,0.60,14,5,7,17.78,0.43
250,Borussia Dortmund,2,1.82,17,8,3,5.40,1.96,Mainz 05,1,1.08,12,4,5,13.03,0.78
251,RasenBallsport Leipzig,1,0.95,10,4,7,10.68,1.83,Borussia Dortmund,0,0.48,8,1,10,7.32,0.82
252,Borussia Dortmund,3,3.23,24,5,14,4.78,2.69,Freiburg,1,1.05,9,5,2,7.59,0.21
253,Bayer Leverkusen,2,1.53,11,6,4,10.84,1.97,Borussia Dortmund,0,0.84,10,4,7,5.12,0.76
254,Borussia Dortmund,1,2.60,15,6,7,5.32,2.51,Hertha Berlin,1,0.99,9,2,2,14.71,0.35
255,Borussia Dortmund,4,2.39,15,7,11,7.41,2.54,B. Monchengladbach,1,0.73,4,1,0,31.24,0.30
256,Hoffenheim,2,1.54,13,5,7,5.72,1.39,Borussia Dortmund,2,1.49,14,4,6,10.23,1.33
257,Mainz 05,1,0.68,9,1,2,12.92,0.93,Borussia Dortmund,1,1.17,13,4,3,5.76,1.75
258,Borussia Dortmund,1,3.12,11,4,8,5.16,2.96,RasenBallsport Leipzig,0,0.07,2,1,7,6.05,0.02
259,Freiburg,0,0.32,7,3,4,19.21,0.00,Borussia Dortmund,3,5.08,27,10,15,4.97,2.99
260,Borussia Dortmund,6,4.87,20,12,16,13.83,2.97,Bayer Leverkusen,2,0.63,12,3,2,7.89,0.02
261,Hertha Berlin,2,1.74,16,5,7,21.68,1.90,Borussia Dortmund,1,1.08,18,2,10,5.90,0.86
262,B. Monchengladbach,2,0.86,7,3,4,18.77,0.57,Borussia Dortmund,3,1.94,12,6,11,14.95,2.20
263,Borussia Dortmund,2,2.59,11,4,6,13.21,2.56,Hoffenheim,1,1.03,10,5,3,8.73,0.29
264,Mainz 05,4,0.79,12,6,5,13.92,0.43,Hoffenheim,4,2.27,20,5,8,4.73,2.40
265,Mainz 05,2,1.74,9,5,2,9.30,1.41,Bayer Leverkusen,3,1.74,16,6,19,4.32,1.31
266,RasenBallsport Leipzig,3,2.98,15,5,9,6.65,2.78,Mainz 05,1,0.51,11,3,3,6.17,0.15
267,Mainz 05,4,2.51,11,6,4,8.49,1.46,Freiburg,2,2.46,24,11,11,6.24,1.32
268,Hertha Berlin,2,1.63,16,5,5,7.78,1.37,Mainz 05,1,1.52,9,4,4,11.06,1.28
269,B. Monchengladbach,1,0.36,9,3,2,7.18,1.08,Mainz 05,0,0.53,12,4,7,9.14,1.43
270,Hoffenheim,4,2.43,22,7,4,7.10,2.43,Mainz 05,0,0.90,13,2,3,9.38,0.40
271,Bayer Leverkusen,0,1.01,12,3,7,1.90,1.04,Mainz 05,2,1.37,11,5,2,7.39,1.66
272,Mainz 05,2,2.90,18,3,6,7.50,2.23,RasenBallsport Leipzig,3,1.63,15,7,9,5.30,0.60
273,Freiburg,1,0.94,7,3,3,8.73,1.43,Mainz 05,0,0.85,9,3,7,5.85,1.20
274,Mainz 05,1,1.03,17,3,10,6.94,2.03,Hertha Berlin,0,0.26,6,2,4,10.42,0.62
275,Mainz 05,1,2.14,17,8,5,7.20,2.14,B. Monchengladbach,2,1.23,13,5,3,13.88,0.62
276,B. Monchengladbach,2,1.89,13,9,3,8.72,1.96,Bayer Leverkusen,1,1.11,12,6,7,6.65,0.80
277,Freiburg,3,1.55,18,7,4,14.50,2.66,B. Monchengladbach,1,0.13,5,2,0,10.31,0.19
278,RasenBallsport Leipzig,1,1.59,9,5,5,11.86,2.50,B. Monchengladbach,1,0.22,3,1,4,5.78,0.31
279,Hertha Berlin,3,1.67,12,6,7,9.65,2.24,B. Monchengladbach,0,0.64,11,2,6,10.50,0.54
280,B. Monchengladbach,1,1.85,16,8,10,15.11,2.15,Hoffenheim,1,0.83,15,4,10,9.64,0.63
281,Bayer Leverkusen,2,1.54,12,3,7,5.57,1.07,B. Monchengladbach,3,1.90,12,7,4,9.33,1.67
282,B. Monchengladbach,3,1.86,11,3,8,16.11,2.45,Freiburg,0,0.55,14,4,11,12.80,0.38
283,B. Monchengladbach,1,1.39,12,3,6,6.39,1.97,RasenBallsport Leipzig,2,0.76,9,5,3,10.36,0.75
284,B. Monchengladbach,1,1.82,22,7,22,9.52,2.06,Hertha Berlin,0,0.86,12,2,9,21.60,0.70
285,Hoffenheim,5,2.01,16,9,3,23.13,1.14,B. Monchengladbach,3,2.24,10,4,6,8.47,1.57
