,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,8,4.62,21,12,24,6.34,2.99,Schalke 04,0,0.15,5,1,3,25.33,0.01
1,Hoffenheim,4,2.52,17,8,6,13.12,2.31,Bayern Munich,1,1.17,16,4,11,5.82,0.52
2,Bayern Munich,4,3.99,22,9,11,4.13,2.82,Hertha Berlin,3,1.25,10,5,1,12.17,0.13
3,Arminia Bielefeld,1,1.21,11,5,4,34.67,0.27,Bayern Munich,4,3.29,17,9,16,7.43,2.62
4,Bayern Munich,5,3.81,20,9,12,10.00,2.92,Eintracht Frankfurt,0,0.43,8,2,1,16.91,0.05
5,FC Cologne,1,0.68,10,2,2,28.86,0.91,Bayern Munich,2,0.99,6,4,9,5.75,1.72
6,Borussia Dortmund,2,2.31,15,5,9,12.00,2.08,Bayern Munich,3,1.34,14,7,7,8.88,0.71
7,Bayern Munich,1,1.67,15,2,18,3.91,1.37,Werder Bremen,1,1.63,7,3,4,16.63,1.35
8,VfB Stuttgart,1,1.39,15,4,5,14.48,1.77,Bayern Munich,3,0.89,13,6,11,7.35,0.94
9,Bayern Munich,3,1.00,9,5,6,12.47,0.86,RasenBallsport Leipzig,3,1.56,7,4,1,23.00,1.86
10,Union Berlin,1,1.09,12,5,1,29.33,1.36,Bayern Munich,1,1.06,12,5,7,6.21,1.33
11,Bayern Munich,2,1.27,11,2,6,5.97,1.49,Wolfsburg,1,1.11,17,6,6,12.82,1.22
12,Bayer Leverkusen,1,0.31,7,2,5,10.24,0.45,Bayern Munich,2,1.41,14,3,9,16.10,2.31
13,Bayern Munich,5,4.11,17,12,22,5.00,2.83,Mainz 05,2,1.19,12,7,2,38.58,0.12
14,B. Monchengladbach,3,0.97,8,4,4,23.11,1.01,Bayern Munich,2,1.33,16,4,8,8.88,1.68
15,Bayern Munich,2,3.02,25,9,16,14.50,2.73,Freiburg,1,0.76,8,2,7,13.76,0.18
16,Augsburg,0,1.22,9,0,3,11.23,0.76,Bayern Munich,1,1.98,13,4,18,6.96,1.98
17,Schalke 04,0,0.94,13,3,2,26.20,0.27,Bayern Munich,4,3.13,31,13,15,5.26,2.62
18,Bayern Munich,4,1.95,15,9,8,12.59,1.44,Hoffenheim,1,1.87,16,5,10,20.41,1.31
19,Hertha Berlin,0,1.25,10,7,3,13.18,0.94,Bayern Munich,1,1.80,14,6,10,6.89,1.79
20,Bayern Munich,3,2.29,18,11,6,7.65,1.80,Arminia Bielefeld,3,1.72,7,3,5,19.76,0.94
21,Eintracht Frankfurt,2,1.91,13,6,4,11.37,1.65,Bayern Munich,1,1.55,22,6,12,11.06,1.10
22,Bayern Munich,5,2.40,14,7,7,12.74,2.37,FC Cologne,1,0.99,6,3,9,14.88,0.45
23,Bayern Munich,4,2.70,27,9,20,8.36,2.72,Borussia Dortmund,2,0.72,4,3,3,19.33,0.17
24,Werder Bremen,1,0.77,8,4,5,46.57,0.06,Bayern Munich,3,3.97,20,6,25,7.65,2.90
25,Bayern Munich,4,2.62,15,7,14,15.29,2.37,VfB Stuttgart,0,1.12,12,4,9,8.42,0.47
26,RasenBallsport Leipzig,0,0.49,14,2,10,9.68,1.17,Bayern Munich,1,0.60,9,5,6,8.50,1.40
27,Bayern Munich,1,0.81,14,2,9,9.50,1.19,Union Berlin,1,0.91,7,2,2,19.83,1.45
28,Wolfsburg,2,1.25,7,3,7,7.92,1.01,Bayern Munich,3,1.73,14,9,10,9.43,1.71
29,Bayern Munich,2,1.89,23,8,11,7.90,2.46,Bayer Leverkusen,0,0.54,7,4,5,15.08,0.36
30,Mainz 05,2,1.11,6,3,1,14.48,1.35,Bayern Munich,1,1.17,15,4,9,3.41,1.34
31,Bayern Munich,6,3.02,22,7,22,10.63,2.69,B. Monchengladbach,0,0.81,14,3,9,13.96,0.21
32,Freiburg,2,0.96,14,5,7,16.27,0.38,Bayern Munich,2,2.49,16,5,6,10.22,2.48
33,Bayern Munich,5,4.86,26,14,23,7.44,2.86,Augsburg,2,1.74,9,4,2,19.24,0.10
34,Schalke 04,1,1.68,17,4,3,3.95,0.49,Werder Bremen,3,3.10,17,7,4,9.47,2.34
35,RasenBallsport Leipzig,4,3.26,21,7,10,4.04,2.94,Schalke 04,0,0.22,5,1,0,42.67,0.04
36,Schalke 04,1,0.25,8,4,1,12.80,0.67,Union Berlin,1,0.83,11,6,2,21.33,1.94
37,Borussia Dortmund,3,1.48,18,7,16,9.29,2.40,Schalke 04,0,0.24,3,0,1,18.08,0.38
38,Schalke 04,1,0.73,9,2,2,8.93,0.63,VfB Stuttgart,1,1.57,20,8,10,6.93,2.10
