,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,SC Bastia,0,0.83,10,0,0,12.67,1.47,Paris Saint Germain,1,0.66,9,6,3,4.12,1.15
1,Lorient,0,0.35,10,3,2,11.24,0.17,SC Bastia,3,2.26,16,7,7,21.58,2.73
2,Caen,2,2.04,17,4,6,5.78,2.63,SC Bastia,0,0.38,5,1,1,11.05,0.23
3,SC Bastia,2,0.44,5,4,2,4.26,1.24,Toulouse,1,0.46,8,3,4,5.57,1.27
4,Saint-Etienne,1,2.24,13,3,11,3.23,2.40,SC Bastia,0,0.99,8,3,3,17.53,0.40
5,SC Bastia,0,0.32,10,5,4,4.47,1.47,Nancy,0,0.07,4,2,1,9.36,0.85
6,SC Bastia,1,0.98,11,6,5,2.53,2.33,Guingamp,0,0.08,3,3,1,4.95,0.37
7,Nantes,1,1.55,19,8,2,6.46,2.03,SC Bastia,0,0.76,12,6,3,10.58,0.71
8,SC Bastia,1,1.24,12,3,3,12.78,1.61,Angers,2,0.95,7,3,3,9.61,1.06
9,Lille,2,1.74,17,8,4,6.47,2.63,SC Bastia,1,0.20,5,1,3,9.88,0.22
10,SC Bastia,0,2.01,19,11,8,6.78,2.37,Dijon,0,0.62,8,2,2,6.21,0.44
11,Lyon,2,2.82,23,7,7,5.50,2.72,SC Bastia,1,0.64,10,4,0,16.57,0.18
12,SC Bastia,1,0.70,16,3,4,9.44,0.74,Montpellier,1,1.42,11,4,4,13.40,1.99
13,Nice,1,2.04,12,7,4,8.85,2.16,SC Bastia,1,1.03,10,2,1,17.89,0.61
14,SC Bastia,1,0.94,13,6,3,11.35,1.18,Bordeaux,1,1.13,8,3,2,9.73,1.50
15,Monaco,5,1.77,12,7,11,7.87,2.51,SC Bastia,0,0.31,7,0,0,27.00,0.32
16,SC Bastia,2,0.95,16,6,3,7.73,1.37,Metz,0,0.87,8,1,2,5.91,1.29
17,Rennes,1,1.37,12,4,5,3.32,1.40,SC Bastia,2,1.29,14,5,3,11.54,1.32
18,SC Bastia,1,2.36,16,4,7,11.90,1.99,Marseille,2,1.52,7,3,5,7.17,0.76
19,Nancy,1,2.05,15,4,2,7.00,2.29,SC Bastia,0,0.83,11,2,3,12.14,0.51
20,SC Bastia,1,1.13,11,2,3,12.58,1.07,Nice,1,1.50,17,5,6,7.95,1.63
21,SC Bastia,1,1.07,11,3,7,10.80,0.62,Caen,1,2.09,18,5,4,8.29,2.15
22,Montpellier,2,1.61,13,5,7,8.71,1.94,SC Bastia,1,0.90,15,2,2,9.89,0.80
23,Toulouse,4,2.61,18,7,7,8.30,2.29,SC Bastia,1,1.28,12,4,2,15.73,0.53
24,SC Bastia,1,0.64,9,3,3,21.25,0.81,Monaco,1,1.24,16,4,10,7.10,1.89
25,Angers,3,2.82,24,15,7,9.83,2.77,SC Bastia,0,0.50,12,3,6,22.15,0.15
26,SC Bastia,2,1.74,6,2,0,33.50,1.23,Nantes,2,1.83,13,3,4,6.25,1.44
27,SC Bastia,0,0.30,5,1,0,16.88,0.47,Saint-Etienne,0,1.30,11,2,5,4.00,2.26
28,Guingamp,5,3.28,21,8,7,7.75,2.96,SC Bastia,0,0.08,2,1,1,26.18,0.02
29,Metz,1,0.89,9,2,4,12.73,2.12,SC Bastia,0,0.16,6,0,1,17.44,0.53
30,SC Bastia,0,0.88,14,2,3,10.35,1.59,Lille,1,0.58,9,3,5,5.90,1.03
31,Dijon,1,1.57,14,6,6,4.77,1.61,SC Bastia,2,1.25,13,7,1,13.50,1.10
