,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,2,2.57,17,10,5,9.63,2.35,Wolfsburg,1,1.20,9,4,4,21.85,0.47
1,Schalke 04,1,1.31,8,4,1,17.70,1.14,Bayern Munich,1,1.50,10,4,10,4.76,1.51
2,Bayern Munich,2,1.23,14,8,13,5.06,2.16,VfB Stuttgart,0,0.31,7,0,3,16.96,0.55
3,Hamburger SV,0,0.20,4,0,2,9.45,0.53,Bayern Munich,0,1.04,16,3,6,4.42,2.14
4,Bayern Munich,4,3.48,25,9,23,4.25,2.93,Paderborn,0,0.40,6,2,2,44.80,0.04
5,FC Cologne,0,0.82,8,3,0,44.09,0.12,Bayern Munich,2,3.47,23,8,27,5.44,2.81
6,Bayern Munich,4,2.70,23,9,14,11.00,2.73,Hannover 96,0,0.44,6,3,5,52.38,0.17
7,Bayern Munich,6,2.50,19,6,16,3.63,2.94,Werder Bremen,0,0.00,0,0,0,28.80,0.03
8,B. Monchengladbach,0,0.65,11,5,7,26.86,0.86,Bayern Munich,0,1.20,20,5,5,6.30,1.83
9,Bayern Munich,2,2.64,25,14,11,6.19,2.50,Borussia Dortmund,1,0.94,10,4,3,13.40,0.36
10,Eintracht Frankfurt,0,0.22,5,2,1,8.33,0.02,Bayern Munich,4,3.03,19,9,13,6.12,2.96
11,Bayern Munich,4,2.09,17,9,12,5.88,1.86,Hoffenheim,0,1.38,11,4,6,9.00,0.90
12,Hertha Berlin,0,0.26,4,1,1,20.60,0.23,Bayern Munich,1,1.94,15,5,19,4.27,2.62
13,Bayern Munich,1,0.95,9,3,3,7.18,1.90,Bayer Leverkusen,0,0.39,3,1,1,11.72,0.73
14,Augsburg,0,0.29,6,3,0,14.91,0.20,Bayern Munich,4,2.22,26,9,13,5.65,2.67
15,Bayern Munich,2,2.98,31,13,32,3.85,2.98,Freiburg,0,0.05,2,0,1,91.80,0.01
