,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Monaco,3,2.15,17,7,4,2.57,2.71,Toulouse,2,0.25,6,3,3,12.60,0.18
1,Dijon,1,1.15,15,3,1,11.29,0.87,Monaco,4,1.82,16,6,5,8.08,1.89
2,Metz,0,0.80,10,5,5,9.78,0.46,Monaco,1,1.94,22,5,8,6.29,2.31
3,Monaco,6,4.53,14,8,8,12.86,2.88,Marseille,1,1.42,11,3,4,13.45,0.08
4,Nice,4,2.95,10,5,4,14.11,2.72,Monaco,0,0.88,11,1,5,7.67,0.19
5,Monaco,3,2.75,14,5,14,6.95,2.48,Strasbourg,0,1.25,10,1,1,11.40,0.36
6,Lille,0,1.04,11,2,3,5.52,0.35,Monaco,4,2.53,12,7,3,10.97,2.49
7,Monaco,1,0.94,8,1,2,6.59,1.38,Montpellier,1,0.95,15,3,6,11.82,1.27
8,Lyon,3,1.80,22,7,8,10.79,1.31,Monaco,2,1.87,14,7,5,10.64,1.43
9,Monaco,2,2.03,15,6,2,5.59,2.64,Caen,0,0.38,8,1,3,5.06,0.23
10,Bordeaux,0,1.38,12,4,6,12.88,1.76,Monaco,2,0.89,12,5,10,10.20,0.94
11,Monaco,6,2.95,18,9,8,8.94,2.88,Guingamp,0,0.30,12,3,1,15.11,0.07
12,Amiens,1,1.41,10,2,6,11.44,1.82,Monaco,1,0.88,15,4,6,4.63,0.88
13,Monaco,1,0.38,8,2,4,12.94,0.01,Paris Saint Germain,2,4.41,18,5,10,16.10,2.98
14,Nantes,1,0.58,16,5,3,9.17,1.49,Monaco,0,0.38,9,1,7,7.32,1.04
15,Monaco,1,0.45,5,3,1,6.89,0.96,Angers,0,0.72,8,3,4,11.28,1.62
16,Monaco,3,1.46,19,6,7,6.04,1.37,Troyes,2,1.39,5,3,1,10.88,1.33
17,Saint-Etienne,0,0.29,5,2,5,12.83,0.08,Monaco,4,2.60,22,9,11,6.29,2.86
18,Monaco,2,2.05,14,4,7,6.07,2.06,Rennes,1,1.16,8,2,2,11.09,0.70
19,Montpellier,0,0.62,16,4,5,13.94,1.07,Monaco,0,0.87,13,6,3,8.04,1.56
20,Monaco,2,1.24,6,3,2,12.63,1.51,Nice,2,1.08,9,5,1,12.84,1.16
21,Monaco,3,2.41,13,6,11,6.48,2.93,Metz,1,0.09,3,2,1,14.52,0.04
22,Marseille,2,1.98,17,6,6,6.48,2.35,Monaco,2,0.68,9,3,2,8.38,0.46
23,Monaco,3,1.38,12,7,4,8.81,1.72,Lyon,2,0.98,13,4,7,5.90,0.94
24,Angers,0,0.53,11,1,3,19.95,0.28,Monaco,4,2.26,10,6,6,13.00,2.59
25,Monaco,4,2.42,14,5,6,9.68,2.81,Dijon,0,0.30,7,4,1,10.75,0.12
26,Toulouse,3,1.42,9,6,2,11.82,0.65,Monaco,3,2.21,9,5,8,5.42,2.08
27,Monaco,2,2.85,18,5,9,7.50,2.77,Bordeaux,1,0.52,6,1,3,7.93,0.15
28,Strasbourg,1,1.40,29,5,9,9.14,1.68,Monaco,3,1.00,10,4,4,13.87,1.04
29,Monaco,2,1.77,10,4,5,6.47,2.10,Lille,1,0.92,14,5,4,16.28,0.67
30,Rennes,1,1.91,20,7,5,6.72,2.03,Monaco,1,1.06,8,2,3,11.00,0.73
31,Monaco,2,0.34,6,3,4,6.59,1.22,Nantes,1,0.33,10,4,3,13.96,1.21
32,Paris Saint Germain,7,3.22,12,7,13,10.83,2.37,Monaco,1,1.63,11,2,2,11.64,0.48
33,Guingamp,3,3.18,24,12,14,7.26,2.92,Monaco,1,0.20,4,1,3,10.71,0.04
34,Monaco,0,0.53,16,1,7,4.16,0.94,Amiens,0,0.82,7,1,1,10.72,1.68
35,Caen,1,1.05,16,5,2,12.00,1.19,Monaco,2,1.22,17,4,2,8.86,1.50
36,Monaco,1,2.31,18,5,5,7.74,2.62,Saint-Etienne,0,0.56,11,3,3,13.00,0.26
37,Troyes,0,0.71,12,4,11,21.57,0.25,Monaco,3,2.57,21,14,11,6.57,2.63
38,Toulouse,1,1.73,8,4,3,6.20,2.17,Montpellier,0,0.79,14,1,3,8.14,0.60
39,Paris Saint Germain,6,3.20,24,15,18,3.78,2.89,Toulouse,2,0.34,7,1,3,14.48,0.06
40,Toulouse,3,2.40,11,7,5,7.52,2.48,Rennes,2,0.94,14,3,5,6.25,0.37
41,Troyes,0,0.74,11,3,6,16.17,1.88,Toulouse,0,0.20,7,0,0,10.00,0.70
42,Toulouse,0,0.91,16,5,7,8.97,1.48,Bordeaux,1,0.73,14,4,10,12.21,1.17
43,Marseille,2,3.19,23,6,11,7.20,2.81,Toulouse,0,0.56,8,1,2,13.67,0.12
44,Guingamp,1,0.95,6,4,2,9.64,1.73,Toulouse,1,0.57,11,2,8,7.72,0.91
45,Toulouse,1,1.46,16,6,5,11.35,2.40,Amiens,0,0.24,7,2,1,11.04,0.37
46,Angers,0,1.18,14,4,7,9.87,2.03,Toulouse,1,0.42,3,1,4,5.70,0.66
47,Toulouse,0,0.66,11,4,4,5.86,0.99,Saint-Etienne,0,0.96,4,2,4,5.41,1.67
48,Nantes,2,0.99,11,6,6,8.67,1.48,Toulouse,1,0.80,10,3,3,4.63,1.19
49,Toulouse,0,2.16,21,3,9,6.05,2.32,Metz,0,0.82,12,5,6,24.50,0.49
50,Dijon,3,1.06,13,5,1,11.00,0.80,Toulouse,1,1.68,12,4,4,8.13,1.93
51,Toulouse,1,1.85,14,3,6,18.27,1.78,Nice,2,1.35,8,4,1,15.50,0.93
52,Lille,1,0.69,10,3,6,10.33,0.77,Toulouse,0,1.23,10,3,1,5.73,1.93
53,Toulouse,2,1.73,10,3,4,4.84,1.92,Caen,0,1.05,11,3,5,7.10,0.81
54,Strasbourg,2,1.72,9,5,2,6.47,1.74,Toulouse,1,1.28,11,3,3,6.87,0.97
55,Toulouse,1,2.42,17,6,6,7.64,1.56,Lyon,2,2.18,14,10,7,13.57,1.19
56,Saint-Etienne,2,2.84,11,5,5,4.71,2.57,Toulouse,0,1.02,19,8,4,5.25,0.30
57,Toulouse,1,1.22,15,3,9,4.55,1.95,Nantes,1,0.64,11,2,3,9.28,0.73
58,Montpellier,2,2.11,22,5,6,4.61,2.37,Toulouse,1,0.77,9,3,0,11.17,0.44
59,Toulouse,1,1.49,20,7,4,7.93,2.58,Troyes,0,0.05,1,0,1,19.65,0.23
60,Nice,0,1.07,14,2,6,5.61,2.09,Toulouse,1,0.28,6,1,1,20.96,0.59
61,Toulouse,0,0.14,2,1,0,13.74,0.12,Paris Saint Germain,1,2.03,21,5,14,2.79,2.78
62,Amiens,0,0.51,8,1,2,7.42,0.91,Toulouse,0,0.94,12,5,4,5.53,1.73
