,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Fiorentina,1,2.35,16,5,9,9.47,2.62,Torino,0,0.62,6,3,2,6.86,0.25
1,Inter,4,1.70,20,7,17,5.22,0.99,Fiorentina,3,2.25,10,4,9,24.21,1.79
2,Fiorentina,1,2.03,22,5,5,8.21,1.28,Sampdoria,2,2.18,18,8,6,12.48,1.48
3,Spezia,2,0.93,12,2,2,7.81,1.21,Fiorentina,2,1.08,9,3,6,8.10,1.47
4,Fiorentina,3,1.20,5,3,5,12.40,0.36,Udinese,2,2.69,16,6,8,6.40,2.47
5,Roma,2,3.63,17,6,9,9.69,2.94,Fiorentina,0,0.37,8,1,3,7.18,0.03
6,Parma Calcio 1913,0,0.13,5,0,3,16.50,0.56,Fiorentina,0,0.81,6,4,3,8.35,2.05
7,Fiorentina,0,1.21,7,2,8,4.86,1.98,Benevento,1,0.57,13,4,5,10.55,0.72
8,AC Milan,2,2.86,17,4,7,9.54,2.81,Fiorentina,0,0.60,5,3,4,7.92,0.12
9,Fiorentina,1,2.79,19,7,9,14.80,2.37,Genoa,1,1.38,5,3,4,10.06,0.46
10,Atalanta,3,2.80,20,7,15,10.12,2.80,Fiorentina,0,0.46,4,2,2,12.00,0.13
11,Fiorentina,1,1.72,16,4,9,14.54,1.36,Sassuolo,1,1.71,13,5,8,7.05,1.37
12,Fiorentina,1,1.68,10,1,3,4.29,1.78,Verona,1,1.25,6,3,2,8.64,0.91
13,Juventus,0,0.39,13,3,0,13.50,0.40,Fiorentina,3,1.53,10,5,7,12.83,2.40
14,Fiorentina,0,0.35,9,0,2,16.39,0.94,Bologna,0,0.63,7,3,4,14.81,1.61
15,Lazio,2,1.92,13,3,3,14.47,1.48,Fiorentina,1,1.77,11,5,5,10.29,1.23
16,Fiorentina,1,1.91,14,4,5,6.49,1.90,Cagliari,0,1.26,9,2,2,14.63,0.83
17,Napoli,6,2.24,10,7,5,18.00,2.23,Fiorentina,0,1.14,10,2,7,13.12,0.56
18,Fiorentina,2,1.04,13,6,7,11.42,1.75,Crotone,1,0.61,10,3,0,9.38,0.91
19,Torino,1,2.16,15,3,8,5.39,1.86,Fiorentina,1,1.48,8,1,5,10.70,0.89
20,Fiorentina,0,0.54,16,3,2,16.63,0.23,Inter,2,2.48,14,6,10,14.41,2.66
21,Sampdoria,2,1.37,8,3,3,7.07,1.46,Fiorentina,1,1.28,16,6,6,7.00,1.24
