,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,H_Throw-in,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,A_Throw-in,H_cat,gameurl
232,06.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 13",Freiburg,2,46,5,2,3,,6,2,0,1,4,0,,173,117,,64,26,,06.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 13",FC Koln,0,54,3,1,2,,3,1,0,0,5,1,,240,188,,45,23,,cat16,https://www.flashscore.com/match/lxRY3pLn/#/match-summary/match-statistics/2
233,06.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 13",Freiburg,0,64,8,3,5,,5,3,1,1,5,,,325,276,,65,29,,06.11.2022 17:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 13",FC Koln,0,36,3,1,2,,5,2,1,3,5,,,177,133,,32,11,,cat17,https://www.flashscore.com/match/lxRY3pLn/#/match-summary/match-statistics/1
234,08.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Wolfsburg,1,37,7,3,4,,8,3,3,4,6,3,,119,89,,33,12,,08.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Dortmund,0,63,10,4,6,,8,4,2,2,7,2,,280,243,,74,41,,cat0,https://www.flashscore.com/match/CvvPE1Z4/#/match-summary/match-statistics/2
235,08.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Wolfsburg,1,43,8,5,3,,5,3,1,2,4,1,,201,167,,46,19,,08.11.2022 18:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Dortmund,0,57,10,2,8,,5,5,0,4,5,0,,302,269,,68,32,,cat1,https://www.flashscore.com/match/CvvPE1Z4/#/match-summary/match-statistics/1
236,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Stuttgart,1,56,7,3,4,,5,3,2,2,7,2,,268,219,,58,26,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Hertha Berlin,0,44,6,2,4,,7,2,0,2,7,0,,219,170,,58,19,,cat2,https://www.flashscore.com/match/86XXCu4H/#/match-summary/match-statistics/2
237,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Stuttgart,1,60,9,4,5,,8,5,1,1,2,1,,282,243,,66,27,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Hertha Berlin,1,40,5,2,3,,2,3,0,3,8,2,,143,112,,30,14,,cat3,https://www.flashscore.com/match/86XXCu4H/#/match-summary/match-statistics/1
238,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bochum,0,46,6,1,5,,9,4,2,0,8,1,,166,127,,58,29,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",B. Monchengladbach,1,54,3,1,2,,9,1,4,1,7,1,,227,183,,40,19,,cat4,https://www.flashscore.com/match/jVxTDLlB/#/match-summary/match-statistics/2
239,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bochum,2,50,7,3,4,,9,2,7,1,3,0,,176,130,,60,16,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",B. Monchengladbach,0,50,5,1,4,,10,2,2,1,7,2,,195,146,,37,13,,cat5,https://www.flashscore.com/match/jVxTDLlB/#/match-summary/match-statistics/1
240,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bayern Munich,2,59,11,4,7,,3,7,1,0,5,,,277,243,,50,19,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Werder Bremen,0,41,2,0,2,,7,4,1,2,2,,,212,174,,42,15,,cat6,https://www.flashscore.com/match/hzB2c04U/#/match-summary/match-statistics/2
241,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Bayern Munich,4,65,10,6,4,,5,1,2,0,4,,,361,325,,55,11,,08.11.2022 20:30,"FOOTBALL
GERMANY: BUNDESLIGA - ROUND 14",Werder Bremen,1,35,2,1,1,,6,0,0,2,6,,,189,151,,42,5,,cat7,https://www.flashscore.com/match/hzB2c04U/#/match-summary/match-statistics/1
