,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,,53,3,,3,,5,9,8,5,2,0,1,2,3,11,Arsenal,235,0,21.05.2017 16:00,Premier League - Round 38,cat0,2,,47,3,,3,,8,5,9,1,0,1,0,1,5,6,Everton,206,2,21.05.2017 16:00,Premier League - Round 38
1,cat1,1,,47,2,,1,,5,8,9,1,1,0,,1,6,7,Arsenal,206,2,21.05.2017 16:00,Premier League - Round 38,cat1,2,,53,4,,3,,7,4,13,5,1,0,,7,2,3,Everton,212,2,21.05.2017 16:00,Premier League - Round 38
2,cat2,1,,43,1,,2,,5,9,6,1,1,0,,4,1,5,Burnley,186,1,21.05.2017 16:00,Premier League - Round 38,cat2,2,,57,1,,0,,7,5,5,0,1,2,,2,2,5,West Ham,242,2,21.05.2017 16:00,Premier League - Round 38
3,cat3,1,,45,0,,0,,6,8,3,1,0,0,,3,0,6,Burnley,208,1,21.05.2017 16:00,Premier League - Round 38,cat3,2,,55,4,,5,,7,6,9,0,1,1,,3,2,6,West Ham,251,0,21.05.2017 16:00,Premier League - Round 38
4,cat4,1,,76,6,,8,,5,7,15,1,1,0,,6,3,8,Chelsea,330,1,21.05.2017 16:00,Premier League - Round 38,cat4,2,,24,2,,0,,7,4,6,2,1,0,,2,2,9,Sunderland,105,0,21.05.2017 16:00,Premier League - Round 38
5,cat5,1,,66,2,,3,,3,9,13,1,4,0,,6,5,8,Chelsea,310,0,21.05.2017 16:00,Premier League - Round 38,cat5,2,,34,0,,1,,8,4,1,1,0,1,,0,1,7,Sunderland,150,1,21.05.2017 16:00,Premier League - Round 38
6,cat6,1,,33,1,,0,,6,5,2,2,0,2,,1,0,11,Hull,168,,21.05.2017 16:00,Premier League - Round 38,cat6,2,,67,0,,2,,5,8,6,0,3,0,,1,5,12,Tottenham,344,,21.05.2017 16:00,Premier League - Round 38
7,cat7,1,,37,1,,2,,8,0,8,5,1,0,,3,4,8,Hull,142,,21.05.2017 16:00,Premier League - Round 38,cat7,2,,63,2,,1,,0,9,13,3,4,0,,2,9,2,Tottenham,257,,21.05.2017 16:00,Premier League - Round 38
8,cat8,1,,44,4,,4,,5,5,10,3,0,1,,4,2,12,Leicester,198,1,21.05.2017 16:00,Premier League - Round 38,cat8,2,,56,2,,1,,5,6,7,2,1,0,,1,4,10,Bournemouth,255,0,21.05.2017 16:00,Premier League - Round 38
9,cat9,1,,55,3,,5,,6,6,11,0,1,4,,5,3,13,Leicester,216,3,21.05.2017 16:00,Premier League - Round 38,cat9,2,,45,2,,0,,5,10,3,2,0,1,,1,0,8,Bournemouth,184,1,21.05.2017 16:00,Premier League - Round 38
10,cat10,1,,74,4,,1,,7,1,14,0,1,0,,5,5,4,Liverpool,368,,21.05.2017 16:00,Premier League - Round 38,cat10,2,,26,3,,1,,1,7,4,4,0,0,,1,0,9,Middlesbrough,131,,21.05.2017 16:00,Premier League - Round 38
11,cat11,1,,74,2,,2,,6,7,11,3,2,1,,4,5,7,Liverpool,383,0,21.05.2017 16:00,Premier League - Round 38,cat11,2,,26,0,,2,,7,7,5,3,0,0,,2,3,8,Middlesbrough,130,1,21.05.2017 16:00,Premier League - Round 38
12,cat12,1,,57,2,,3,,10,5,7,0,2,0,,3,2,9,Manchester Utd,242,,21.05.2017 16:00,Premier League - Round 38,cat12,2,,43,2,,2,,5,10,2,0,0,0,,0,0,11,Crystal Palace,175,,21.05.2017 16:00,Premier League - Round 38
13,cat13,1,,61,2,,0,,6,7,2,1,0,0,,0,0,14,Manchester Utd,297,2,21.05.2017 16:00,Premier League - Round 38,cat13,2,,39,1,,4,,5,6,4,0,0,1,,2,1,5,Crystal Palace,180,0,21.05.2017 16:00,Premier League - Round 38
14,cat14,1,,60,1,,1,,4,3,4,2,0,2,,3,0,5,Southampton,272,,21.05.2017 16:00,Premier League - Round 38,cat14,2,,40,3,,5,,3,6,8,0,0,0,,3,2,8,Stoke,173,,21.05.2017 16:00,Premier League - Round 38
15,cat15,1,,62,4,,3,,8,8,10,0,0,1,,0,6,6,Southampton,238,2,21.05.2017 16:00,Premier League - Round 38,cat15,2,,38,2,,5,,7,9,6,6,1,2,,3,1,8,Stoke,142,4,21.05.2017 16:00,Premier League - Round 38
16,cat16,1,,66,2,,4,,4,2,5,2,0,0,,3,0,9,Swansea,303,,21.05.2017 16:00,Premier League - Round 38,cat16,2,,34,3,,1,,2,4,10,0,1,0,,4,3,13,West Brom,154,,21.05.2017 16:00,Premier League - Round 38
17,cat17,1,,66,2,,3,,4,8,7,2,2,1,,3,2,7,Swansea,287,1,21.05.2017 16:00,Premier League - Round 38,cat17,2,,34,2,,3,,8,6,6,0,0,0,,2,2,4,West Brom,159,1,21.05.2017 16:00,Premier League - Round 38
18,cat18,1,,42,0,,0,,8,8,1,2,0,0,,1,0,11,Watford,194,1,21.05.2017 16:00,Premier League - Round 38,cat18,2,,58,1,,2,,8,8,10,0,4,0,,3,6,11,Manchester City,270,0,21.05.2017 16:00,Premier League - Round 38
19,cat19,1,,23,1,,4,,4,4,5,2,0,0,,1,3,9,Watford,100,,21.05.2017 16:00,Premier League - Round 38,cat19,2,,77,0,,3,,2,4,5,3,1,2,,2,3,7,Manchester City,348,,21.05.2017 16:00,Premier League - Round 38
20,cat20,1,,34,0,,0,,4,5,2,3,0,3,,0,2,13,Leicester,168,,18.05.2017 20:45,Premier League - Round 34,cat20,2,,66,2,,4,,4,7,12,2,2,1,,5,5,7,Tottenham,318,,18.05.2017 20:45,Premier League - Round 34
