,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
29,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Lorient,0,39,4,0,2,2,4,0,2,2,4,,,225,196,11,36,9,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Nice,0,61,9,2,5,2,6,2,0,0,4,,,347,324,9,70,25,cat29,https://www.flashscore.com/match/Y7iwyIj3/#/match-summary/match-statistics/1
30,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Le Havre,1,63,13,5,3,5,9,4,0,1,9,0,,267,219,7,55,41,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Brest,1,37,4,2,1,1,10,2,0,4,9,2,,172,124,8,62,21,cat30,https://www.flashscore.com/match/nFBrFzUq/#/match-summary/match-statistics/2
31,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Le Havre,0,51,5,2,3,0,9,1,4,2,9,,,196,145,8,51,16,20.08.2023 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Brest,1,49,6,3,2,1,14,1,2,2,6,,,182,137,14,48,16,cat31,https://www.flashscore.com/match/nFBrFzUq/#/match-summary/match-statistics/1
32,20.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Monaco,1,50,5,2,2,1,11,3,2,0,11,1,,240,183,13,52,19,20.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Strasbourg,0,50,2,0,1,1,13,3,2,1,9,1,,239,198,3,58,21,cat32,https://www.flashscore.com/match/MV8FHTkr/#/match-summary/match-statistics/2
33,20.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Monaco,2,62,4,2,2,0,7,1,1,1,8,1,,331,287,10,85,25,20.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Strasbourg,0,38,2,1,1,0,9,0,0,0,7,0,,199,159,9,40,14,cat33,https://www.flashscore.com/match/MV8FHTkr/#/match-summary/match-statistics/1
34,20.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Lens,0,53,9,3,6,0,4,7,0,4,8,2,,224,188,4,57,37,20.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Rennes,1,47,10,5,4,1,7,0,1,3,4,1,,217,179,5,34,17,cat34,https://www.flashscore.com/match/tE4iDEbd/#/match-summary/match-statistics/2
35,20.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Lens,1,47,6,1,3,2,5,4,1,0,7,,,254,216,9,65,29,20.08.2023 20:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 2",Rennes,0,53,0,0,0,0,8,0,0,0,6,,,287,237,8,52,15,cat35,https://www.flashscore.com/match/tE4iDEbd/#/match-summary/match-statistics/1
36,25.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Nantes,1,31,1,1,0,0,4,0,2,5,3,1,,145,108,5,34,15,25.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Monaco,2,69,15,7,6,2,4,8,1,0,3,1,,358,311,6,75,32,cat36,https://www.flashscore.com/match/vodQZSBQ/#/match-summary/match-statistics/2
37,25.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Nantes,2,39,2,2,0,0,4,1,0,2,5,1,,221,175,14,45,8,25.08.2023 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Monaco,1,61,12,3,5,4,6,2,1,0,4,1,,340,295,11,63,31,cat37,https://www.flashscore.com/match/vodQZSBQ/#/match-summary/match-statistics/1
38,26.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Marseille,1,41,12,5,4,3,5,3,1,4,2,0,,184,154,9,46,19,26.08.2023 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 3",Brest,0,59,9,4,2,3,3,7,0,4,4,1,,249,213,8,55,36,cat38,https://www.flashscore.com/match/Ic2OF7Kf/#/match-summary/match-statistics/2
