,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
296,cat296,1,,46,,,2,,11,,5,2,0,0,,4,1,,Feirense,,2,14.01.2017 21:30,Primeira Liga - Round 17,cat296,2,,54,,,5,,6,,6,1,0,1,,4,2,,Vitoria Guimaraes,,1,14.01.2017 21:30,Primeira Liga - Round 17
297,cat297,1,,40,,,3,,7,,3,2,0,2,,2,1,,Feirense,,1,14.01.2017 21:30,Primeira Liga - Round 17,cat297,2,,60,,,3,,5,,4,1,0,1,,2,2,,Vitoria Guimaraes,,0,14.01.2017 21:30,Primeira Liga - Round 17
298,cat298,1,,52,,,0,,6,,5,4,1,0,,3,2,,Maritimo,,2,15.01.2017 17:00,Primeira Liga - Round 17,cat298,2,,48,,,3,,12,,4,1,0,0,,0,4,,Ferreira,,6,15.01.2017 17:00,Primeira Liga - Round 17
299,cat299,1,,49,,,2,,6,,5,0,2,1,,3,2,,Maritimo,,1,15.01.2017 17:00,Primeira Liga - Round 17,cat299,2,,51,,,0,,9,,5,0,1,1,,4,1,,Ferreira,,1,15.01.2017 17:00,Primeira Liga - Round 17
300,cat300,1,,73,,,4,,8,,13,0,1,0,,9,4,,FC Porto,,,15.01.2017 19:00,Primeira Liga - Round 17,cat300,2,,27,,,2,,5,,2,3,0,3,,2,0,,Moreirense,,,15.01.2017 19:00,Primeira Liga - Round 17
301,cat301,1,,67,,,7,,11,,11,1,2,0,0,5,6,,FC Porto,,1,15.01.2017 19:00,Primeira Liga - Round 17,cat301,2,,33,,,1,,11,,1,4,0,0,1,0,1,,Moreirense,,3,15.01.2017 19:00,Primeira Liga - Round 17
302,cat302,1,,46,,,4,,7,,4,1,1,4,,2,2,,Belenenses,,0,15.01.2017 21:15,Primeira Liga - Round 17,cat302,2,,54,,,1,,6,,2,1,0,1,,1,1,,Rio Ave,,3,15.01.2017 21:15,Primeira Liga - Round 17
303,cat303,1,,50,,,1,,9,,4,0,0,4,,4,0,,Belenenses,,0,15.01.2017 21:15,Primeira Liga - Round 17,cat303,2,,50,,,1,,8,,3,0,0,1,,3,0,,Rio Ave,,1,15.01.2017 21:15,Primeira Liga - Round 17
304,cat304,1,,44,,,3,,7,,9,0,2,3,,3,6,,Braga,,,16.01.2017 21:00,Primeira Liga - Round 17,cat304,2,,56,,,1,,3,,5,4,0,4,,5,0,,Tondela,,,16.01.2017 21:00,Primeira Liga - Round 17
305,cat305,1,,56,,,5,,11,,4,2,0,0,,4,0,,Braga,,1,16.01.2017 21:00,Primeira Liga - Round 17,cat305,2,,44,,,4,,12,,4,0,0,0,,2,2,,Tondela,,1,16.01.2017 21:00,Primeira Liga - Round 17
306,cat306,1,,64,,,1,,7,,7,0,0,0,,3,4,,Ferreira,,2,20.01.2017 21:30,Primeira Liga - Round 18,cat306,2,,36,,,1,,10,,4,4,1,2,,3,1,,Moreirense,,1,20.01.2017 21:30,Primeira Liga - Round 18
