,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
691,,35.0,0,,1,,10,6,3,2,1,1,1,2,1,,Eibar,,0,17.09.2016 18:30,LaLiga - Round 4,,65.0,0,,2,,6,11,5,0,0,0,0,3,2,,Sevilla,,1,17.09.2016 18:30,LaLiga - Round 4
692,,52.0,3,,1,,7,4,11,1,3,2,,4,4,,Atl. Madrid,,0,17.09.2016 16:15,LaLiga - Round 4,,48.0,4,,1,,4,8,6,1,0,0,,1,1,,Gijon,,1,17.09.2016 16:15,LaLiga - Round 4
693,,56.0,0,,0,,7,4,7,0,2,0,,4,3,,Atl. Madrid,,0,17.09.2016 16:15,LaLiga - Round 4,,44.0,3,,3,,5,7,4,1,0,0,,1,0,,Gijon,,1,17.09.2016 16:15,LaLiga - Round 4
694,,42.0,2,,1,,11,5,9,0,0,1,,4,3,,Leganes,,2,17.09.2016 13:00,LaLiga - Round 4,,58.0,1,,2,,4,10,5,3,3,1,,1,3,,Barcelona,,1,17.09.2016 13:00,LaLiga - Round 4
695,,32.0,0,,1,,17,5,6,2,1,1,,3,3,,Leganes,,2,17.09.2016 13:00,LaLiga - Round 4,,68.0,0,,3,,3,17,5,2,2,2,,1,4,,Barcelona,,1,17.09.2016 13:00,LaLiga - Round 4
696,,57.0,3,,2,,6,5,11,3,1,0,,5,3,,Betis,,,16.09.2016 20:45,LaLiga - Round 4,,43.0,2,,2,,5,6,10,2,2,0,,3,5,,Granada CF,,,16.09.2016 20:45,LaLiga - Round 4
697,,71.0,5,,5,,7,13,12,3,1,0,1,3,4,,Betis,,6,16.09.2016 20:45,LaLiga - Round 4,,29.0,0,,1,,12,5,5,3,0,1,1,2,3,,Granada CF,,5,16.09.2016 20:45,LaLiga - Round 4
698,,58.0,3,,4,,5,7,7,1,0,2,,3,1,,Dep. La Coruna,,0,11.09.2016 20:30,LaLiga - Round 3,,42.0,1,,4,,6,7,5,1,1,1,,2,2,,Ath Bilbao,,1,11.09.2016 20:30,LaLiga - Round 3
699,,62.0,4,,3,,10,11,9,0,0,3,,3,2,,Dep. La Coruna,,2,11.09.2016 20:30,LaLiga - Round 3,,38.0,1,,2,,9,12,2,2,0,1,,1,0,,Ath Bilbao,,2,11.09.2016 20:30,LaLiga - Round 3
700,,61.0,1,,3,,10,8,10,2,0,0,,5,4,,Valencia,,1,11.09.2016 16:00,LaLiga - Round 3,,39.0,1,,2,,7,10,8,4,1,1,,4,3,,Betis,,0,11.09.2016 16:00,LaLiga - Round 3
701,,49.0,3,,2,,5,16,13,0,2,2,1,5,5,,Valencia,,1,11.09.2016 16:00,LaLiga - Round 3,,51.0,2,,3,,14,7,4,3,2,3,0,0,2,,Betis,,4,11.09.2016 16:00,LaLiga - Round 3
702,,61.0,0,,1,,5,4,6,0,2,2,,3,3,,Gijon,,,11.09.2016 12:00,LaLiga - Round 3,,39.0,1,,2,,5,7,3,1,0,0,,2,0,,Leganes,,,11.09.2016 12:00,LaLiga - Round 3
703,,49.0,0,,2,,7,11,1,1,0,1,,0,1,,Gijon,,0,11.09.2016 12:00,LaLiga - Round 3,,51.0,0,,3,,11,7,6,1,1,2,,4,2,,Leganes,,2,11.09.2016 12:00,LaLiga - Round 3
704,,72.0,1,,4,,8,6,6,1,0,3,,4,1,,Barcelona,,,10.09.2016 20:30,LaLiga - Round 3,,28.0,0,,0,,6,10,3,1,1,2,,1,2,,Alaves,,,10.09.2016 20:30,LaLiga - Round 3
705,,76.0,1,,9,,4,8,10,1,1,2,,8,1,,Barcelona,,1,10.09.2016 20:30,LaLiga - Round 3,,24.0,0,,0,,6,6,2,0,1,2,,0,2,,Alaves,,1,10.09.2016 20:30,LaLiga - Round 3
706,,46.0,1,,2,,4,4,4,2,0,0,,2,1,,Malaga,,1,10.09.2016 18:15,LaLiga - Round 3,,54.0,3,,5,,4,3,7,1,2,0,,0,4,,Villarreal,,0,10.09.2016 18:15,LaLiga - Round 3
707,,56.0,5,,7,,4,11,11,2,0,3,,5,1,,Malaga,,1,10.09.2016 18:15,LaLiga - Round 3,,44.0,0,,2,,10,7,5,1,0,1,,3,2,,Villarreal,,1,10.09.2016 18:15,LaLiga - Round 3
708,,61.0,1,,2,,7,6,3,2,0,3,,1,1,,Sevilla,,1,10.09.2016 18:15,LaLiga - Round 3,,39.0,2,,1,,4,10,6,1,1,2,,1,3,,Las Palmas,,1,10.09.2016 18:15,LaLiga - Round 3
709,,70.0,2,,8,,8,10,13,1,2,2,0,5,6,,Sevilla,,2,10.09.2016 18:15,LaLiga - Round 3,,30.0,0,,0,,9,10,1,4,0,2,1,0,1,,Las Palmas,,5,10.09.2016 18:15,LaLiga - Round 3
710,,59.0,0,,3,,6,6,10,0,3,3,,4,6,,Real Madrid,,0,10.09.2016 16:00,LaLiga - Round 3,,41.0,1,,3,,6,8,4,3,0,1,,3,0,,Osasuna,,2,10.09.2016 16:00,LaLiga - Round 3
711,,63.0,2,,3,,8,7,15,1,2,2,0,8,5,,Real Madrid,,2,10.09.2016 16:00,LaLiga - Round 3,,37.0,1,,4,,8,7,6,3,2,0,1,2,3,,Osasuna,,2,10.09.2016 16:00,LaLiga - Round 3
712,,59.0,2,,3,,6,4,5,1,0,0,,3,0,,Celta Vigo,,1,10.09.2016 13:00,LaLiga - Round 3,,41.0,1,,3,,4,6,3,0,0,0,,1,1,,Atl. Madrid,,1,10.09.2016 13:00,LaLiga - Round 3
713,,57.0,1,,3,,7,10,4,1,0,0,,2,1,,Celta Vigo,,0,10.09.2016 13:00,LaLiga - Round 3,,43.0,1,,1,,8,7,10,1,4,2,,4,5,,Atl. Madrid,,1,10.09.2016 13:00,LaLiga - Round 3
714,,69.0,0,,6,,5,6,2,0,0,1,,1,1,,Real Sociedad,,1,09.09.2016 20:45,LaLiga - Round 3,,31.0,0,,0,,5,6,2,1,0,1,,2,0,,Espanyol,,1,09.09.2016 20:45,LaLiga - Round 3
715,,61.0,2,,5,,5,5,7,0,1,2,0,3,2,,Real Sociedad,,1,09.09.2016 20:45,LaLiga - Round 3,,39.0,0,,1,,5,6,2,1,1,0,1,1,1,,Espanyol,,3,09.09.2016 20:45,LaLiga - Round 3
716,,36.0,1,,4,,8,6,4,0,0,2,,2,1,,Villarreal,,0,28.08.2016 22:15,LaLiga - Round 2,,64.0,0,,0,,5,10,2,1,0,0,,2,0,,Sevilla,,1,28.08.2016 22:15,LaLiga - Round 2
717,,40.0,1,,1,,8,9,8,0,0,0,,3,4,,Villarreal,,1,28.08.2016 22:15,LaLiga - Round 2,,60.0,1,,1,,7,8,4,4,0,2,,3,0,,Sevilla,,2,28.08.2016 22:15,LaLiga - Round 2
718,,32.0,1,,2,,11,10,4,1,0,1,,0,3,,Ath Bilbao,,1,28.08.2016 20:15,LaLiga - Round 2,,68.0,1,,0,,7,12,6,3,1,3,,3,2,,Barcelona,,3,28.08.2016 20:15,LaLiga - Round 2
719,,42.0,0,,2,,9,9,5,1,0,0,,4,1,,Ath Bilbao,,4,28.08.2016 20:15,LaLiga - Round 2,,58.0,0,,4,,6,8,6,1,0,3,,5,1,,Barcelona,,1,28.08.2016 20:15,LaLiga - Round 2
720,,56.0,1,,1,,6,8,7,1,0,0,,5,1,,Alaves,,1,28.08.2016 18:15,LaLiga - Round 2,,44.0,0,,4,,7,6,3,1,0,1,,2,1,,Gijon,,0,28.08.2016 18:15,LaLiga - Round 2
721,,46.0,3,,3,,4,6,6,0,0,3,,2,1,,Alaves,,0,28.08.2016 18:15,LaLiga - Round 2,,54.0,1,,2,,5,6,4,1,0,0,,3,0,,Gijon,,1,28.08.2016 18:15,LaLiga - Round 2
722,,52.0,0,,1,,3,7,4,0,1,3,,1,3,,Las Palmas,,2,28.08.2016 18:15,LaLiga - Round 2,,48.0,3,,3,,10,8,7,2,1,1,,3,1,,Granada CF,,0,28.08.2016 18:15,LaLiga - Round 2
723,,54.0,1,,5,,5,3,11,1,4,0,,3,7,,Las Palmas,,3,28.08.2016 18:15,LaLiga - Round 2,,46.0,3,,1,,6,5,6,3,0,0,,2,1,,Granada CF,,1,28.08.2016 18:15,LaLiga - Round 2
724,,37.0,1,,0,,8,6,1,1,0,0,,0,0,,Leganes,,0,27.08.2016 22:15,LaLiga - Round 2,,63.0,1,,5,,3,8,5,0,0,3,,3,1,,Atl. Madrid,,1,27.08.2016 22:15,LaLiga - Round 2
725,,37.0,2,,1,,10,6,5,2,0,1,,2,1,,Leganes,,3,27.08.2016 22:15,LaLiga - Round 2,,63.0,2,,3,,2,12,5,1,0,4,,1,2,,Atl. Madrid,,0,27.08.2016 22:15,LaLiga - Round 2
726,,51.0,0,,1,,7,5,8,2,0,2,,5,3,,Real Madrid,,,27.08.2016 20:15,LaLiga - Round 2,,49.0,2,,0,,4,8,5,3,0,1,,1,2,,Celta Vigo,,,27.08.2016 20:15,LaLiga - Round 2
727,,57.0,3,,6,,1,9,16,0,0,2,,6,7,,Real Madrid,,0,27.08.2016 20:15,LaLiga - Round 2,,43.0,0,,2,,7,3,3,5,0,2,,2,1,,Celta Vigo,,2,27.08.2016 20:15,LaLiga - Round 2
728,,46.0,1,,3,,3,10,4,1,0,1,,1,2,,Eibar,,1,27.08.2016 18:15,LaLiga - Round 2,,54.0,1,,7,,7,4,6,2,0,3,,4,1,,Valencia,,1,27.08.2016 18:15,LaLiga - Round 2
729,,32.0,3,,3,,10,3,10,2,1,1,,3,4,,Eibar,,1,27.08.2016 18:15,LaLiga - Round 2,,68.0,2,,3,,4,11,8,3,0,0,,4,2,,Valencia,,1,27.08.2016 18:15,LaLiga - Round 2
730,,40.0,0,,4,,9,7,2,0,0,2,,2,0,,Osasuna,,2,27.08.2016 18:15,LaLiga - Round 2,,60.0,0,,0,,6,12,2,0,1,1,,1,1,,Real Sociedad,,0,27.08.2016 18:15,LaLiga - Round 2
731,,50.0,1,,6,,5,10,6,2,0,2,,2,3,,Osasuna,,0,27.08.2016 18:15,LaLiga - Round 2,,50.0,0,,1,,8,7,3,3,1,2,,0,3,,Real Sociedad,,1,27.08.2016 18:15,LaLiga - Round 2
732,,54.0,0,,1,,9,12,1,0,1,1,,0,1,,Espanyol,,0,26.08.2016 22:00,LaLiga - Round 2,,46.0,0,,1,,9,10,3,0,0,3,,3,0,,Malaga,,1,26.08.2016 22:00,LaLiga - Round 2
733,,50.0,1,,2,,11,11,6,2,1,3,,4,1,,Espanyol,,2,26.08.2016 22:00,LaLiga - Round 2,,50.0,2,,3,,8,14,8,0,2,2,,2,4,,Malaga,,3,26.08.2016 22:00,LaLiga - Round 2
734,,55.0,3,,6,,12,6,7,0,0,4,,2,2,,Betis,,,26.08.2016 20:45,LaLiga - Round 2,,45.0,1,,1,,6,15,3,2,0,0,,2,0,,Dep. La Coruna,,,26.08.2016 20:45,LaLiga - Round 2
735,,59.0,1,,7,,8,10,8,1,0,2,,4,3,,Betis,,0,26.08.2016 20:45,LaLiga - Round 2,,41.0,1,,1,,9,10,9,3,0,1,,7,1,,Dep. La Coruna,,2,26.08.2016 20:45,LaLiga - Round 2
736,,54.0,0,,6,,9,14,6,0,2,1,,1,5,,Valencia,,1,22.08.2016 22:00,LaLiga - Round 1,,46.0,0,,0,,11,9,3,3,3,3,,0,3,,Las Palmas,,1,22.08.2016 22:00,LaLiga - Round 1
737,,62.0,2,,6,,6,7,11,0,0,2,,6,3,,Valencia,,1,22.08.2016 22:00,LaLiga - Round 1,,38.0,1,,1,,7,8,3,3,1,0,,1,1,,Las Palmas,,1,22.08.2016 22:00,LaLiga - Round 1
738,,69.0,1,,3,,3,5,5,2,0,2,,2,2,,Celta Vigo,,1,22.08.2016 20:00,LaLiga - Round 1,,31.0,2,,1,,5,5,6,2,0,0,,2,2,,Leganes,,0,22.08.2016 20:00,LaLiga - Round 1
739,,59.0,3,,5,,2,8,5,3,0,0,0,2,0,,Celta Vigo,,3,22.08.2016 20:00,LaLiga - Round 1,,41.0,2,,3,,8,2,9,0,1,0,1,3,4,,Leganes,,1,22.08.2016 20:00,LaLiga - Round 1
740,,61.0,4,,8,,4,5,11,0,0,3,,5,2,,Atl. Madrid,,,21.08.2016 22:15,LaLiga - Round 1,,39.0,0,,0,,5,6,1,2,0,0,,1,0,,Alaves,,,21.08.2016 22:15,LaLiga - Round 1
741,,63.0,4,,12,,3,10,16,0,1,4,,8,4,,Atl. Madrid,,0,21.08.2016 22:15,LaLiga - Round 1,,37.0,0,,2,,10,5,1,3,1,1,,0,1,,Alaves,,4,21.08.2016 22:15,LaLiga - Round 1
742,,42.0,1,,1,,14,6,1,2,0,0,,0,0,,Real Sociedad,,,21.08.2016 20:15,LaLiga - Round 1,,58.0,1,,3,,7,13,10,0,2,0,,5,4,,Real Madrid,,,21.08.2016 20:15,LaLiga - Round 1
743,,49.0,3,,3,,8,3,7,3,0,0,,4,0,,Real Sociedad,,2,21.08.2016 20:15,LaLiga - Round 1,,51.0,2,,4,,4,8,8,0,1,0,,2,4,,Real Madrid,,3,21.08.2016 20:15,LaLiga - Round 1
744,,41.0,1,,1,,8,7,6,1,0,2,,5,0,,Gijon,,2,21.08.2016 18:15,LaLiga - Round 1,,59.0,1,,2,,7,9,3,0,0,0,,1,1,,Ath Bilbao,,0,21.08.2016 18:15,LaLiga - Round 1
745,,35.0,-1,,1,,10,7,6,2,2,0,,3,4,,Gijon,,1,21.08.2016 18:15,LaLiga - Round 1,,65.0,1,,3,,8,10,10,2,1,0,,6,3,,Ath Bilbao,,3,21.08.2016 18:15,LaLiga - Round 1
746,,75.0,1,,6,,3,5,9,1,3,1,,1,7,,Sevilla,,1,20.08.2016 22:15,LaLiga - Round 1,,25.0,1,,1,,5,5,6,4,3,0,,1,4,,Espanyol,,2,20.08.2016 22:15,LaLiga - Round 1
747,,71.0,2,,2,,5,10,7,2,3,1,,1,4,,Sevilla,,1,20.08.2016 22:15,LaLiga - Round 1,,29.0,1,,1,,10,6,4,1,1,0,,0,3,,Espanyol,,0,20.08.2016 22:15,LaLiga - Round 1
748,,70.0,0,,6,,5,6,2,1,0,0,,2,0,,Granada CF,,1,20.08.2016 20:15,LaLiga - Round 1,,30.0,3,,2,,6,4,5,0,0,1,,1,1,,Villarreal,,1,20.08.2016 20:15,LaLiga - Round 1
749,,66.0,0,,1,,12,6,5,1,1,1,,4,1,,Granada CF,,1,20.08.2016 20:15,LaLiga - Round 1,,34.0,1,,1,,5,10,7,0,1,2,,4,2,,Villarreal,,2,20.08.2016 20:15,LaLiga - Round 1
750,,69.0,6,,4,,9,2,11,0,0,2,,2,3,,Barcelona,,0,20.08.2016 18:15,LaLiga - Round 1,,31.0,0,,1,,3,9,3,0,0,0,,2,1,,Betis,,1,20.08.2016 18:15,LaLiga - Round 1
751,,77.0,6,,6,,8,10,19,0,3,2,,4,9,,Barcelona,,1,20.08.2016 18:15,LaLiga - Round 1,,23.0,1,,1,,10,9,3,6,1,0,,1,1,,Betis,,2,20.08.2016 18:15,LaLiga - Round 1
752,,45.0,0,,1,,8,11,6,2,0,2,,4,2,,Dep. La Coruna,,,19.08.2016 22:00,LaLiga - Round 1,,55.0,2,,4,,11,10,5,2,0,0,,1,2,,Eibar,,,19.08.2016 22:00,LaLiga - Round 1
753,,57.0,0,,0,,6,7,5,3,2,2,,1,4,,Dep. La Coruna,,3,19.08.2016 22:00,LaLiga - Round 1,,43.0,2,,4,,6,8,7,2,1,2,,1,4,,Eibar,,3,19.08.2016 22:00,LaLiga - Round 1
754,,60.0,1,,3,,9,14,5,1,0,0,,3,1,,Malaga,,1,19.08.2016 20:45,LaLiga - Round 1,,40.0,1,,2,,13,9,2,1,0,1,,0,1,,Osasuna,,1,19.08.2016 20:45,LaLiga - Round 1
755,,49.0,3,,2,,2,10,9,1,1,1,,3,3,,Malaga,,1,19.08.2016 20:45,LaLiga - Round 1,,51.0,2,,1,,9,3,6,2,1,0,,2,2,,Osasuna,,2,19.08.2016 20:45,LaLiga - Round 1
756,,72.0,1,,6,,5,6,13,3,1,2,,7,5,,Granada CF,,2,11.09.2016 09:15,FootballFootballSPAIN: LaLiga - Round 3,,28.0,1,,4,,3,7,6,4,1,3,,1,4,,Eibar,,0,11.09.2016 09:15,FootballFootballSPAIN: LaLiga - Round 3
757,,68.0,1,,0,,2,5,2,3,0,0,0,1,0,,Granada CF,,,11.09.2016 09:15,FootballFootballSPAIN: LaLiga - Round 3,,32.0,0,,3,,5,2,4,0,1,0,1,0,4,,Eibar,,,11.09.2016 09:15,FootballFootballSPAIN: LaLiga - Round 3
758,,53.0,1,,1,,2,10,6,2,3,2,,1,4,,Real Sociedad,,1,05.02.2017 09:30,FootballFootballSPAIN: LaLiga - Round 21,,47.0,0,,2,,11,4,6,1,1,0,,3,3,,Osasuna,,2,05.02.2017 09:30,FootballFootballSPAIN: LaLiga - Round 21
759,,61.0,2,,2,,4,10,7,1,0,0,,3,2,,Real Sociedad,,1,05.02.2017 09:30,FootballFootballSPAIN: LaLiga - Round 21,,39.0,1,,0,,11,4,5,2,1,1,,2,2,,Osasuna,,0,05.02.2017 09:30,FootballFootballSPAIN: LaLiga - Round 21
