,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1.0,,61,0,,3,,9,5,9,0,2,3,,4,5,,AC Milan,,1,18.05.2014 20:45,Serie A - Round 38,cat0,2.0,,39,1,,1,,5,12,4,3,0,0,,3,0,,Sassuolo,,1,18.05.2014 20:45,Serie A - Round 38
1,cat1,1.0,,52,0,,4,,7,11,7,4,0,0,2,3,4,,AC Milan,,1,18.05.2014 20:45,Serie A - Round 38,cat1,2.0,,48,1,,5,,8,6,12,4,1,3,1,6,5,,Sassuolo,,0,18.05.2014 20:45,Serie A - Round 38
2,cat2,1.0,,36,1,,5,,8,8,7,1,0,1,,5,1,,Chievo,,0,18.05.2014 20:45,Serie A - Round 38,cat2,2.0,,64,3,,1,,8,9,8,1,1,0,,3,2,,Inter,,1,18.05.2014 20:45,Serie A - Round 38
3,cat3,1.0,,49,1,,2,,7,8,6,1,2,0,,2,3,,Chievo,,2,18.05.2014 20:45,Serie A - Round 38,cat3,2.0,,51,4,,2,,6,8,6,1,0,2,,1,1,,Inter,,0,18.05.2014 20:45,Serie A - Round 38
4,cat4,1.0,,57,2,,5,,5,8,5,1,0,0,,0,3,,Fiorentina,,1,18.05.2014 20:45,Serie A - Round 38,cat4,2.0,,43,2,,1,,4,6,4,3,0,3,,1,1,,Torino,,0,18.05.2014 20:45,Serie A - Round 38
5,cat5,1.0,,51,2,,2,,8,9,10,2,2,0,,3,5,,Fiorentina,,4,18.05.2014 20:45,Serie A - Round 38,cat5,2.0,,49,3,,5,,6,7,11,3,2,3,,4,4,,Torino,,2,18.05.2014 20:45,Serie A - Round 38
6,cat6,1.0,,55,5,,4,,4,2,11,0,0,1,,3,3,,Lazio,,0,18.05.2014 20:45,Serie A - Round 38,cat6,2.0,,45,0,,2,,2,5,3,3,0,0,,3,0,,Bologna,,1,18.05.2014 20:45,Serie A - Round 38
7,cat7,1.0,,51,2,,4,,7,8,7,1,1,2,,2,3,,Lazio,,2,18.05.2014 20:45,Serie A - Round 38,cat7,2.0,,49,1,,0,,8,9,5,2,0,1,,3,1,,Bologna,,0,18.05.2014 20:45,Serie A - Round 38
8,cat8,1.0,,61,0,,0,,5,6,8,2,3,0,,2,6,,Napoli,,1,18.05.2014 20:45,Serie A - Round 38,cat8,2.0,,39,1,,1,,4,6,6,3,0,2,,3,2,,Verona,,0,18.05.2014 20:45,Serie A - Round 38
9,cat9,1.0,,65,0,,2,,3,1,12,2,2,0,,7,5,,Napoli,,1,18.05.2014 20:45,Serie A - Round 38,cat9,2.0,,35,1,,1,,1,3,4,3,1,0,,0,3,,Verona,,1,18.05.2014 20:45,Serie A - Round 38
