,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat4,1,,62,2,,3,,3,,10,1,0,0,,2,6,,B. Monchengladbach,,1,20.05.2017 15:30,Bundesliga - Round 34,cat4,2,,38,2,,1,,5,,4,6,0,0,,1,1,,Darmstadt,,0,20.05.2017 15:30,Bundesliga - Round 34
1,cat5,1,,62,2,,2,,3,,8,1,2,1,,2,4,,B. Monchengladbach,,,20.05.2017 15:30,Bundesliga - Round 34,cat5,2,,38,2,,2,,3,,9,2,2,3,,4,3,,Darmstadt,,,20.05.2017 15:30,Bundesliga - Round 34
2,cat6,1,,67,7,,9,,3,,19,2,1,1,,7,5,,Bayern Munich,,,20.05.2017 15:30,Bundesliga - Round 34,cat6,2,,33,2,,2,,5,,8,4,0,2,,4,2,,Freiburg,,,20.05.2017 15:30,Bundesliga - Round 34
3,cat7,1,,57,6,,6,,7,,14,5,3,1,,2,6,,Bayern Munich,,1,20.05.2017 15:30,Bundesliga - Round 34,cat7,2,,43,4,,5,,5,,11,3,1,2,,1,6,,Freiburg,,0,20.05.2017 15:30,Bundesliga - Round 34
4,cat8,1,,60,2,,4,,4,,15,1,2,1,,8,5,,Dortmund,,1,20.05.2017 15:30,Bundesliga - Round 34,cat8,2,,40,1,,1,,6,,7,3,1,0,,4,2,,Werder Bremen,,0,20.05.2017 15:30,Bundesliga - Round 34
5,cat9,1,,60,3,,5,,9,,13,1,2,1,,4,6,,Dortmund,,3,20.05.2017 15:30,Bundesliga - Round 34,cat9,2,,40,0,,2,,10,,4,4,2,2,,1,3,,Werder Bremen,,3,20.05.2017 15:30,Bundesliga - Round 34
6,cat10,1,,41,1,,3,,5,,8,1,0,0,,7,0,,Eintracht Frankfurt,,1,20.05.2017 15:30,Bundesliga - Round 34,cat10,2,,59,0,,1,,7,,2,0,1,3,,0,2,,RB Leipzig,,0,20.05.2017 15:30,Bundesliga - Round 34
7,cat11,1,,43,1,,1,,7,,8,2,2,4,,4,3,,Eintracht Frankfurt,,0,20.05.2017 15:30,Bundesliga - Round 34,cat11,2,,57,2,,2,,10,,5,1,1,1,,0,3,,RB Leipzig,,2,20.05.2017 15:30,Bundesliga - Round 34
8,cat12,1,,51,1,,5,,3,,7,0,1,0,,5,1,,FC Koln,,1,20.05.2017 15:30,Bundesliga - Round 34,cat12,2,,49,2,,1,,11,,4,0,0,1,,2,0,,Mainz,,1,20.05.2017 15:30,Bundesliga - Round 34
9,cat13,1,,41,1,,2,,11,,9,0,1,0,,5,3,,FC Koln,,1,20.05.2017 15:30,Bundesliga - Round 34,cat13,2,,59,1,,4,,6,,1,2,0,1,,0,0,,Mainz,,0,20.05.2017 15:30,Bundesliga - Round 34
10,cat14,1,,50,0,,2,,6,,2,2,1,1,,1,1,,Hamburger SV,,1,20.05.2017 15:30,Bundesliga - Round 34,cat14,2,,50,0,,5,,6,,5,0,1,0,,2,3,,Wolfsburg,,1,20.05.2017 15:30,Bundesliga - Round 34
11,cat15,1,,48,0,,0,,6,,4,2,1,1,,2,2,,Hamburger SV,,3,20.05.2017 15:30,Bundesliga - Round 34,cat15,2,,52,4,,3,,12,,7,1,0,1,,1,2,,Wolfsburg,,2,20.05.2017 15:30,Bundesliga - Round 34
12,cat16,1,,48,1,,1,,6,,6,3,0,1,,4,1,,Hertha Berlin,,2,20.05.2017 15:30,Bundesliga - Round 34,cat16,2,,52,2,,6,,7,,10,1,3,1,,2,6,,Bayer Leverkusen,,0,20.05.2017 15:30,Bundesliga - Round 34
13,cat17,1,,53,0,,2,,11,,8,2,2,1,,4,4,,Hertha Berlin,,1,20.05.2017 15:30,Bundesliga - Round 34,cat17,2,,47,0,,0,,6,,6,2,3,1,,1,5,,Bayer Leverkusen,,1,20.05.2017 15:30,Bundesliga - Round 34
14,cat18,1,,67,0,,3,,6,,6,0,0,1,,2,4,,Hoffenheim,,1,20.05.2017 15:30,Bundesliga - Round 34,cat18,2,,33,2,,3,,2,,4,4,0,1,,2,0,,Augsburg,,1,20.05.2017 15:30,Bundesliga - Round 34
15,cat19,1,,85,2,,2,,4,,13,2,0,0,,6,5,,Hoffenheim,,1,20.05.2017 15:30,Bundesliga - Round 34,cat19,2,,15,1,,1,,11,,4,5,0,0,,1,2,,Augsburg,,0,20.05.2017 15:30,Bundesliga - Round 34
16,cat20,1,,45,2,,4,,3,,8,1,1,0,,2,4,,Ingolstadt,,,20.05.2017 15:30,Bundesliga - Round 34,cat20,2,,55,0,,1,,5,,3,3,1,1,,1,2,,Schalke,,,20.05.2017 15:30,Bundesliga - Round 34
17,cat21,1,,55,3,,2,,6,,10,1,0,0,0,3,4,,Ingolstadt,,1,20.05.2017 15:30,Bundesliga - Round 34,cat21,2,,45,3,,5,,6,,6,4,0,2,1,2,1,,Schalke,,1,20.05.2017 15:30,Bundesliga - Round 34
18,cat22,1,,26,0,,1,,7,,4,1,1,1,,1,3,,Augsburg,,0,13.05.2017 15:30,Bundesliga - Round 33,cat22,2,,74,2,,0,,3,,6,2,1,0,,2,2,,Dortmund,,1,13.05.2017 15:30,Bundesliga - Round 33
19,cat23,1,,20,0,,1,,10,,1,3,0,2,,1,0,,Augsburg,,2,13.05.2017 15:30,Bundesliga - Round 33,cat23,2,,80,1,,3,,4,,9,0,0,0,,5,3,,Dortmund,,0,13.05.2017 15:30,Bundesliga - Round 33
20,cat24,1,,56,5,,4,,3,,14,0,0,1,,4,5,,Bayer Leverkusen,,,13.05.2017 15:30,Bundesliga - Round 33,cat24,2,,44,0,,2,,3,,3,5,1,1,,2,1,,FC Koln,,,13.05.2017 15:30,Bundesliga - Round 33
21,cat25,1,,76,3,,3,,9,,13,2,2,0,,6,4,,Bayer Leverkusen,,0,13.05.2017 15:30,Bundesliga - Round 33,cat25,2,,24,0,,1,,9,,4,2,1,1,,1,3,,FC Koln,,2,13.05.2017 15:30,Bundesliga - Round 33
22,cat26,1,,58,0,,2,,6,,3,1,0,3,,3,0,,Darmstadt,,,13.05.2017 15:30,Bundesliga - Round 33,cat26,2,,42,0,,4,,9,,6,0,2,0,,3,3,,Hertha Berlin,,,13.05.2017 15:30,Bundesliga - Round 33
23,cat27,1,,64,1,,2,,11,,8,2,0,2,,5,2,,Darmstadt,,3,13.05.2017 15:30,Bundesliga - Round 33,cat27,2,,36,1,,2,,5,,10,2,0,1,,7,2,,Hertha Berlin,,0,13.05.2017 15:30,Bundesliga - Round 33
24,cat28,1,,51,0,,1,,9,,1,3,1,0,,0,1,,Freiburg,,0,13.05.2017 15:30,Bundesliga - Round 33,cat28,2,,49,1,,1,,16,,13,0,1,2,,8,4,,Ingolstadt,,1,13.05.2017 15:30,Bundesliga - Round 33
25,cat29,1,,57,5,,3,,9,,10,5,0,3,,2,3,,Freiburg,,2,13.05.2017 15:30,Bundesliga - Round 33,cat29,2,,43,3,,2,,11,,10,3,0,1,,2,5,,Ingolstadt,,2,13.05.2017 15:30,Bundesliga - Round 33
26,cat30,1,,55,6,,5,,10,,10,1,0,6,,1,3,,Mainz,,0,13.05.2017 15:30,Bundesliga - Round 33,cat30,2,,45,0,,0,,6,,3,3,1,0,,1,2,,Eintracht Frankfurt,,1,13.05.2017 15:30,Bundesliga - Round 33
27,cat31,1,,71,3,,2,,6,,11,1,4,2,,3,5,,Mainz,,4,13.05.2017 15:30,Bundesliga - Round 33,cat31,2,,29,0,,0,,16,,3,1,1,0,,1,2,,Eintracht Frankfurt,,3,13.05.2017 15:30,Bundesliga - Round 33
28,cat32,1,,45,2,,2,,8,,9,2,2,2,,3,4,,RB Leipzig,,0,13.05.2017 15:30,Bundesliga - Round 33,cat32,2,,55,0,,0,,4,,6,2,1,2,,3,3,,Bayern Munich,,1,13.05.2017 15:30,Bundesliga - Round 33
