,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
236,06.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 12",Getafe,1,34,6,3,1,2,10,4,0,0,7,4,,,,,58,22,06.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 12",Cadiz CF,0,66,1,0,1,0,7,0,4,2,6,0,,,,,51,23,cat236,https://www.flashscore.com/match/xdbTDHba/#/match-summary/match-statistics/2
237,06.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 12",Getafe,0,56,7,0,3,4,7,2,1,2,11,3,1,,,,63,17,06.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 12",Cadiz CF,0,44,5,2,3,0,11,3,1,0,6,1,0,,,,50,14,cat237,https://www.flashscore.com/match/xdbTDHba/#/match-summary/match-statistics/1
238,10.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Ath Bilbao,2,58,12,6,3,3,9,3,0,1,8,2,,,,,56,33,10.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Celta Vigo,1,42,5,2,2,1,5,2,2,4,9,1,,,,,44,4,cat238,https://www.flashscore.com/match/UPVu9gDU/#/match-summary/match-statistics/2
239,10.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Ath Bilbao,2,58,9,6,1,2,5,4,2,1,7,0,,,,,76,32,10.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Celta Vigo,2,42,8,3,4,1,10,0,1,4,4,1,,,,,48,13,cat239,https://www.flashscore.com/match/UPVu9gDU/#/match-summary/match-statistics/1
240,11.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Rayo Vallecano,0,51,16,7,7,2,4,6,1,2,6,0,,,,,62,45,11.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Girona,1,49,7,3,3,1,5,2,0,7,5,1,,,,,54,25,cat240,https://www.flashscore.com/match/z3h7PEcB/#/match-summary/match-statistics/2
241,11.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Rayo Vallecano,1,41,6,2,3,1,8,2,0,3,9,1,,,,,54,18,11.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Girona,1,59,12,4,4,4,8,1,1,1,8,1,,,,,49,32,cat241,https://www.flashscore.com/match/z3h7PEcB/#/match-summary/match-statistics/1
242,11.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Almeria,1,50,4,2,1,1,8,4,3,1,10,2,,,,,37,14,11.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Real Sociedad,3,50,9,4,3,2,13,3,2,1,8,0,,,,,45,15,cat242,https://www.flashscore.com/match/GMRyAZcO/#/match-summary/match-statistics/2
243,11.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Almeria,0,42,3,0,3,0,12,1,2,2,8,1,,,,,40,7,11.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Real Sociedad,0,58,9,2,5,2,8,2,2,0,11,2,,,,,57,22,cat243,https://www.flashscore.com/match/GMRyAZcO/#/match-summary/match-statistics/1
244,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Osasuna,1,44,7,2,4,1,10,5,0,0,15,1,,,,,79,38,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Las Palmas,1,56,4,1,1,2,11,2,3,1,7,1,,,,,47,11,cat244,https://www.flashscore.com/match/UPiBOYCH/#/match-summary/match-statistics/2
245,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Osasuna,0,46,4,1,1,2,4,3,1,0,10,,,,,,74,27,11.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 13",Las Palmas,0,54,2,0,2,0,11,1,0,1,3,,,,,,36,5,cat245,https://www.flashscore.com/match/UPiBOYCH/#/match-summary/match-statistics/1
