,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Chievo,0,0.50,7,2,1,9.65,0.23,Juventus,1,2.37,21,3,12,3.83,2.65
1,Napoli,0,2.21,33,9,13,3.89,2.48,Chievo,1,0.67,7,1,6,13.68,0.36
2,Chievo,2,1.35,10,4,3,12.29,1.80,Parma,3,0.93,12,4,5,5.07,0.89
3,Sampdoria,2,1.78,16,4,5,2.83,2.60,Chievo,1,0.27,5,3,2,5.97,0.24
4,Chievo,1,0.84,18,4,5,5.42,0.64,Empoli,1,1.67,6,3,3,6.31,2.13
5,AC Milan,2,1.60,22,4,6,4.71,2.19,Chievo,0,0.55,10,2,3,6.93,0.58
6,Roma,3,1.39,14,8,6,7.14,2.39,Chievo,0,0.32,11,3,1,17.04,0.39
7,Chievo,1,1.20,14,5,6,9.69,0.50,Genoa,2,2.38,14,4,9,4.03,2.31
8,Palermo,1,1.43,16,6,6,6.81,2.20,Chievo,0,0.44,15,3,3,6.84,0.55
9,Chievo,0,0.42,12,1,4,7.64,1.22,Sassuolo,0,0.45,10,3,2,4.54,1.28
10,Chievo,2,1.27,19,6,4,12.41,1.71,Cesena,1,0.83,9,3,8,12.44,0.98
11,Udinese,1,0.40,9,3,7,13.00,0.55,Chievo,1,1.38,14,5,4,12.04,2.19
12,Chievo,0,0.34,8,2,5,9.04,1.02,Lazio,0,0.56,12,4,3,6.33,1.50
13,Cagliari,0,0.58,10,1,5,5.20,0.93,Chievo,2,0.98,10,5,8,7.29,1.73
14,Chievo,0,0.83,9,3,3,12.45,0.93,Inter,2,1.32,18,8,5,2.53,1.77
15,Verona,0,0.96,11,1,9,10.56,1.50,Chievo,1,0.74,10,4,4,6.93,1.15
16,Chievo,0,0.79,18,6,4,7.24,1.85,Torino,0,0.24,8,3,1,11.11,0.72
17,Atalanta,1,0.94,16,5,6,6.18,1.23,Chievo,1,1.03,11,4,2,4.64,1.44
18,Chievo,1,1.53,17,7,5,6.38,1.04,Fiorentina,2,1.95,21,6,14,6.95,1.68
19,Juventus,2,2.34,29,8,8,5.52,2.56,Chievo,0,0.63,8,1,6,11.88,0.30
20,Chievo,1,0.59,16,3,4,7.38,0.59,Napoli,2,1.57,12,4,9,9.96,2.17
21,Parma,0,0.74,10,2,2,4.43,0.61,Chievo,1,1.72,14,3,5,3.62,2.16
22,Chievo,2,0.75,8,4,3,16.55,1.24,Sampdoria,1,0.84,13,3,5,5.35,1.39
23,Empoli,3,2.17,15,5,9,8.41,2.73,Chievo,0,0.29,10,3,3,12.91,0.16
24,Chievo,0,0.51,11,3,4,9.26,0.85,AC Milan,0,0.96,11,2,2,7.04,1.80
25,Chievo,0,0.70,10,2,6,8.85,1.28,Roma,0,0.72,11,2,8,3.86,1.33
26,Genoa,0,1.10,19,3,10,4.67,1.20,Chievo,2,1.28,15,6,3,7.70,1.52
27,Chievo,1,1.79,14,5,8,12.27,1.81,Palermo,0,1.26,18,3,6,3.62,0.93
28,Sassuolo,1,1.47,7,2,3,6.75,2.20,Chievo,0,0.64,14,3,9,4.55,0.57
29,Cesena,0,0.48,16,1,4,5.45,0.38,Chievo,1,1.81,16,5,4,13.58,2.44
30,Chievo,1,1.00,16,7,2,7.53,2.14,Udinese,1,0.22,8,1,4,7.69,0.54
31,Lazio,1,1.88,23,7,8,5.90,2.61,Chievo,1,0.20,7,1,7,7.16,0.23
32,Chievo,1,0.96,10,3,3,5.95,1.88,Cagliari,0,0.40,10,1,6,8.19,0.77
33,Inter,0,0.90,23,3,10,5.23,1.34,Chievo,0,0.86,11,4,1,22.40,1.33
34,Chievo,2,2.00,19,4,6,7.52,1.30,Verona,2,2.08,14,3,4,9.42,1.43
35,Torino,2,2.88,25,9,12,15.00,2.88,Chievo,0,0.18,7,1,6,16.59,0.07
36,Chievo,1,0.98,14,8,11,11.59,1.56,Atalanta,1,0.76,11,3,6,10.45,1.09
37,Fiorentina,3,2.21,26,13,6,7.77,2.43,Chievo,0,0.66,13,2,9,24.46,0.40
38,Juventus,2,1.11,18,7,18,13.94,2.17,Udinese,0,0.20,9,1,1,13.71,0.51
39,AC Milan,0,0.28,10,3,4,10.69,0.37,Juventus,1,1.44,14,4,11,7.13,2.42
40,Juventus,3,2.23,29,13,18,4.28,2.89,Cesena,0,0.01,1,1,1,25.93,0.06
41,Atalanta,0,1.01,10,1,7,6.72,0.24,Juventus,3,2.69,16,7,13,7.43,2.63
