,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,5,3.23,23,9,6,4.14,2.94,Hamburger SV,0,0.15,5,1,3,21.57,0.03
1,Hoffenheim,1,1.30,8,1,2,14.04,0.56,Bayern Munich,2,2.54,21,9,13,4.23,2.24
2,Bayern Munich,3,3.52,14,6,10,6.00,2.93,Bayer Leverkusen,0,0.42,10,4,3,8.86,0.04
3,Bayern Munich,2,3.86,28,10,15,3.04,2.98,Augsburg,1,0.15,3,1,1,33.00,0.01
4,Darmstadt,0,0.20,5,2,4,50.11,0.20,Bayern Munich,3,1.72,18,6,12,4.39,2.66
5,Bayern Munich,5,3.69,18,12,11,13.14,2.97,Wolfsburg,1,0.16,7,2,1,46.64,0.02
6,Mainz 05,0,0.75,6,1,3,15.15,0.15,Bayern Munich,3,2.77,17,9,5,7.30,2.77
7,Bayern Munich,5,3.72,15,9,11,8.52,2.82,Borussia Dortmund,1,1.10,10,4,3,13.25,0.12
8,Werder Bremen,0,0.69,8,2,3,18.38,0.38,Bayern Munich,1,2.13,13,4,9,3.71,2.46
9,Bayern Munich,4,3.69,26,14,16,16.30,2.96,FC Cologne,0,0.23,4,2,0,90.33,0.02
10,Eintracht Frankfurt,0,0.25,7,2,1,30.27,0.38,Bayern Munich,0,1.39,10,2,10,3.82,2.39
11,Bayern Munich,4,4.71,33,14,18,6.55,2.99,VfB Stuttgart,0,0.28,5,2,4,21.95,0.01
12,Schalke 04,1,0.22,5,1,1,20.38,0.16,Bayern Munich,3,2.28,24,7,14,5.42,2.74
13,Bayern Munich,2,3.94,24,9,10,7.28,2.97,Hertha Berlin,0,0.22,4,1,2,36.30,0.02
14,B. Monchengladbach,3,2.16,13,6,12,11.07,1.29,Bayern Munich,1,2.29,22,6,12,7.79,1.47
15,Bayern Munich,2,2.50,14,8,7,5.55,2.42,Ingolstadt,0,1.01,9,4,2,8.87,0.42
16,Hannover 96,0,0.22,6,1,1,20.83,0.09,Bayern Munich,1,2.53,20,11,9,5.10,2.85
17,Hamburger SV,1,0.38,7,1,4,12.13,0.26,Bayern Munich,2,1.95,20,5,7,4.39,2.59
18,Bayern Munich,2,3.09,30,9,16,5.54,2.82,Hoffenheim,0,0.46,5,2,2,23.00,0.11
19,Bayer Leverkusen,0,0.29,6,2,7,7.76,0.52,Bayern Munich,0,1.18,9,1,7,3.33,2.19
20,Augsburg,1,0.31,6,1,3,17.29,0.21,Bayern Munich,3,2.21,24,10,12,8.39,2.67
21,Bayern Munich,3,3.08,37,13,23,7.08,2.75,Darmstadt,1,0.61,6,5,1,23.47,0.16
22,Wolfsburg,0,0.69,12,8,3,17.83,0.88,Bayern Munich,2,1.22,14,5,11,14.07,1.82
23,Bayern Munich,1,0.65,17,6,16,3.45,1.19,Mainz 05,2,0.72,5,3,3,24.55,1.42
24,Borussia Dortmund,0,0.75,11,3,6,25.76,1.01,Bayern Munich,0,1.15,17,4,4,6.72,1.68
25,Bayern Munich,5,3.14,20,13,12,3.93,2.95,Werder Bremen,0,0.09,2,1,2,43.33,0.03
26,FC Cologne,0,1.01,6,2,3,13.57,2.03,Bayern Munich,1,0.34,6,3,6,5.44,0.64
27,Bayern Munich,1,1.08,21,10,10,5.25,2.24,Eintracht Frankfurt,0,0.12,4,0,1,16.00,0.44
28,VfB Stuttgart,1,0.96,9,2,1,25.28,1.60,Bayern Munich,3,0.73,12,6,9,4.16,1.05
29,Bayern Munich,3,1.27,14,7,7,10.00,2.10,Schalke 04,0,0.43,7,4,2,30.94,0.62
30,Hertha Berlin,0,0.35,9,0,3,18.37,1.39,Bayern Munich,2,0.19,6,6,3,4.79,1.00
31,Bayern Munich,1,0.28,8,3,3,9.57,1.14,B. Monchengladbach,1,0.34,8,2,6,8.71,1.27
32,Ingolstadt,1,1.94,17,4,6,6.86,1.12,Bayern Munich,2,2.28,12,6,6,6.43,1.62
33,Bayern Munich,3,2.69,20,11,13,8.33,1.93,Hannover 96,1,1.81,20,5,4,10.21,0.87
34,Hamburger SV,3,1.32,14,5,9,5.48,0.91,VfB Stuttgart,2,1.90,12,4,3,3.70,1.84
35,FC Cologne,2,1.67,6,3,9,6.50,1.57,Hamburger SV,1,1.44,17,7,5,8.89,1.14
36,B. Monchengladbach,0,0.44,13,2,3,9.26,0.73,Hamburger SV,3,1.03,10,4,2,15.84,1.93
37,Hamburger SV,0,0.91,10,1,3,8.19,2.08,Eintracht Frankfurt,0,0.22,7,4,3,10.04,0.57
38,Ingolstadt,0,0.72,12,2,7,7.48,0.90,Hamburger SV,1,1.16,8,3,1,7.61,1.79
39,Hamburger SV,0,0.58,13,3,4,7.82,0.71,Schalke 04,1,1.28,10,5,5,10.57,1.99
40,Hertha Berlin,3,2.04,14,6,3,14.87,2.67,Hamburger SV,0,0.32,8,2,2,11.32,0.21
41,Hamburger SV,0,0.47,8,3,1,5.94,0.91,Bayer Leverkusen,0,0.88,10,3,2,4.66,1.70
42,Hoffenheim,0,0.59,12,3,5,4.14,0.12,Hamburger SV,1,3.12,20,5,12,3.77,2.82
43,Hamburger SV,1,2.45,17,4,8,9.15,2.62,Hannover 96,2,0.84,5,2,3,9.94,0.23
44,Darmstadt,1,1.70,15,3,4,8.29,1.81,Hamburger SV,1,1.16,8,3,6,8.40,0.90
45,Hamburger SV,3,1.47,7,2,2,11.84,0.78,Borussia Dortmund,1,2.31,21,7,10,4.46,1.98
46,Werder Bremen,1,0.98,14,3,9,6.16,1.21,Hamburger SV,3,1.13,13,6,2,7.36,1.48
47,Hamburger SV,1,1.31,20,7,7,6.13,1.42,Mainz 05,3,1.19,11,6,7,7.94,1.29
48,Wolfsburg,1,2.00,20,9,7,4.43,2.67,Hamburger SV,1,0.21,5,4,3,10.17,0.19
49,Hamburger SV,0,1.24,14,2,7,8.59,0.58,Augsburg,1,2.50,17,7,8,14.90,2.23
50,VfB Stuttgart,2,2.70,24,11,11,7.29,1.96,Hamburger SV,1,1.77,12,5,4,6.54,0.84
51,Hamburger SV,1,0.20,5,4,4,10.64,0.39,FC Cologne,1,1.37,20,6,3,20.00,2.36
52,Hamburger SV,3,1.48,17,9,4,9.58,0.92,B. Monchengladbach,2,2.07,11,4,5,7.10,1.83
53,Eintracht Frankfurt,0,0.45,8,2,7,8.19,0.93,Hamburger SV,0,0.81,10,1,5,8.85,1.69
54,Hamburger SV,1,0.90,7,2,5,4.12,1.24,Ingolstadt,1,1.01,12,3,4,3.71,1.40
55,Schalke 04,3,2.61,26,9,22,4.68,2.52,Hamburger SV,2,0.83,8,4,3,17.60,0.34
56,Hamburger SV,2,1.10,14,5,2,11.10,2.17,Hertha Berlin,0,0.23,3,1,1,12.88,0.52
57,Bayer Leverkusen,1,1.46,14,4,5,4.11,1.71,Hamburger SV,0,1.04,10,5,5,7.20,1.00
58,Hamburger SV,1,2.28,26,11,6,4.59,1.40,Hoffenheim,3,2.22,14,9,4,8.25,1.34
59,Hannover 96,0,1.16,16,7,2,8.38,0.62,Hamburger SV,3,2.17,9,4,4,8.96,2.16
60,Hamburger SV,1,0.71,9,3,8,4.11,0.98,Darmstadt,2,1.04,9,4,1,12.26,1.68
61,Borussia Dortmund,3,1.91,14,5,11,7.64,2.43,Hamburger SV,0,0.62,5,1,2,15.08,0.38
62,Hamburger SV,2,1.90,12,7,5,5.95,0.94,Werder Bremen,1,2.53,21,10,18,7.48,1.82
63,Mainz 05,0,0.97,12,4,8,4.88,1.71,Hamburger SV,0,0.57,7,4,2,5.90,0.93
64,Hamburger SV,0,0.43,6,0,3,6.84,0.22,Wolfsburg,1,1.96,12,6,3,10.40,2.65
65,Augsburg,1,1.03,12,7,2,6.76,0.55,Hamburger SV,3,2.10,13,6,6,7.36,2.24
66,Bayer Leverkusen,2,3.53,25,9,10,3.34,2.89,Hoffenheim,1,0.48,6,2,3,4.56,0.07
67,Hannover 96,0,0.10,5,3,1,16.50,0.25,Bayer Leverkusen,1,1.37,11,4,4,3.79,2.56
68,Bayer Leverkusen,0,1.36,16,4,9,2.26,2.31,Darmstadt,1,0.28,5,3,0,9.56,0.44
69,Borussia Dortmund,3,4.08,22,10,14,5.78,2.89,Bayer Leverkusen,0,0.93,8,3,5,8.35,0.07
70,Bayer Leverkusen,1,1.74,20,6,9,3.94,2.37,Mainz 05,0,0.48,3,2,4,11.23,0.42
71,Werder Bremen,0,0.33,9,0,3,9.63,0.54,Bayer Leverkusen,3,1.30,17,7,9,2.70,2.19
72,Bayer Leverkusen,1,1.98,22,8,12,3.97,2.81,Augsburg,1,0.12,2,0,1,20.07,0.11
73,Bayer Leverkusen,4,2.87,19,6,11,2.74,1.69,VfB Stuttgart,3,2.40,12,6,6,6.33,1.08
74,Wolfsburg,2,2.11,13,5,8,4.98,2.02,Bayer Leverkusen,1,1.32,14,6,5,6.80,0.74
75,Bayer Leverkusen,1,0.46,12,4,3,6.59,0.30,FC Cologne,2,2.04,17,8,8,6.68,2.55
76,Eintracht Frankfurt,1,0.62,9,1,5,11.65,0.56,Bayer Leverkusen,3,1.67,17,11,6,4.20,2.22
77,Bayer Leverkusen,1,2.14,18,6,7,4.53,2.22,Schalke 04,1,0.95,9,4,5,8.73,0.58
78,Hertha Berlin,2,1.03,10,4,5,5.92,1.14,Bayer Leverkusen,1,1.25,8,2,7,16.29,1.55
79,Bayer Leverkusen,5,2.75,14,6,5,7.61,2.86,B. Monchengladbach,0,0.38,6,2,8,5.69,0.08
80,Ingolstadt,0,0.46,11,3,6,6.68,1.02,Bayer Leverkusen,1,0.72,9,2,6,5.08,1.58
81,Hoffenheim,1,0.76,5,3,2,9.88,0.59,Bayer Leverkusen,1,1.82,17,8,16,4.24,2.19
82,Bayer Leverkusen,3,1.97,14,6,11,5.43,2.76,Hannover 96,0,0.18,7,2,0,8.83,0.14
83,Darmstadt,1,1.08,12,6,6,8.15,0.87,Bayer Leverkusen,2,1.57,15,3,6,2.39,1.79
84,Bayer Leverkusen,0,0.79,9,2,8,6.18,0.89,Borussia Dortmund,1,1.26,7,2,5,7.46,1.81
85,Mainz 05,3,2.62,14,7,7,6.50,2.61,Bayer Leverkusen,1,0.81,13,5,4,5.88,0.26
86,Bayer Leverkusen,1,1.01,16,6,9,3.32,0.69,Werder Bremen,4,1.88,11,4,5,11.20,2.08
87,Augsburg,3,1.64,10,5,1,16.11,1.48,Bayer Leverkusen,3,1.46,20,5,7,6.91,1.22
88,VfB Stuttgart,0,0.64,14,5,5,5.15,0.34,Bayer Leverkusen,2,2.29,15,9,6,7.75,2.53
89,Bayer Leverkusen,3,0.71,12,5,7,7.20,1.41,Wolfsburg,0,0.57,10,5,4,7.12,1.19
90,FC Cologne,0,0.73,18,9,5,18.53,0.79,Bayer Leverkusen,2,1.37,12,6,5,11.04,1.94
91,Bayer Leverkusen,3,1.12,12,6,5,6.00,1.55,Eintracht Frankfurt,0,0.88,9,6,2,8.42,1.11
92,Schalke 04,2,2.43,20,8,6,6.82,1.98,Bayer Leverkusen,3,1.53,16,6,12,7.90,0.80
93,Bayer Leverkusen,2,2.99,19,8,4,6.89,2.87,Hertha Berlin,1,0.34,9,3,4,9.71,0.08
94,B. Monchengladbach,2,1.24,14,6,5,4.97,0.81,Bayer Leverkusen,1,1.96,17,8,12,12.31,1.95
95,Bayer Leverkusen,3,3.09,10,6,6,8.63,1.50,Ingolstadt,2,2.93,21,5,8,4.41,1.26
96,Darmstadt,0,0.29,5,1,5,11.00,0.31,Hoffenheim,0,1.39,15,2,10,3.05,2.49
97,Hoffenheim,1,0.69,10,5,4,4.97,0.34,Werder Bremen,3,2.21,16,6,8,9.14,2.51
98,Mainz 05,3,1.28,12,4,10,7.65,1.56,Hoffenheim,1,1.01,13,4,4,8.96,1.12
99,Hoffenheim,1,1.19,10,5,4,15.56,1.01,Borussia Dortmund,1,1.64,14,4,11,4.84,1.72
100,Augsburg,1,1.94,26,9,8,5.13,1.60,Hoffenheim,3,1.59,11,5,5,12.64,1.14
101,Hoffenheim,2,1.91,11,4,3,8.93,1.06,VfB Stuttgart,2,2.37,18,7,12,6.04,1.69
102,Wolfsburg,4,2.81,17,9,9,12.40,2.48,Hoffenheim,2,1.08,8,3,4,9.63,0.38
103,FC Cologne,0,1.34,13,4,10,12.62,1.69,Hoffenheim,0,0.91,10,4,6,13.35,1.02
104,Hoffenheim,0,0.68,8,2,8,15.74,0.64,Eintracht Frankfurt,0,1.60,17,9,16,16.11,2.12
105,Hertha Berlin,1,0.10,1,0,2,8.56,0.88,Hoffenheim,0,0.33,7,0,6,7.44,1.46
106,Hoffenheim,3,2.08,18,6,3,15.17,1.67,B. Monchengladbach,3,1.66,16,8,12,4.13,1.08
107,Ingolstadt,1,0.49,9,2,4,4.91,0.71,Hoffenheim,1,1.13,7,2,6,6.31,1.97
108,Hoffenheim,1,1.55,14,5,10,10.27,1.49,Hannover 96,0,1.40,19,2,5,9.62,1.24
109,Schalke 04,1,0.72,16,3,11,10.16,1.18,Hoffenheim,0,0.87,18,1,13,12.55,1.46
110,Hoffenheim,0,0.58,12,1,10,2.93,0.35,Darmstadt,2,2.07,11,5,8,13.84,2.49
111,Werder Bremen,1,1.83,17,10,7,5.23,2.36,Hoffenheim,1,0.57,11,4,8,5.15,0.45
112,Hoffenheim,3,1.84,13,4,7,10.42,1.92,Mainz 05,2,1.17,13,6,6,9.69,0.83
113,Borussia Dortmund,3,2.47,26,9,13,6.62,2.44,Hoffenheim,1,0.88,9,4,6,22.86,0.39
114,Hoffenheim,2,1.60,14,7,5,11.30,1.19,Augsburg,1,1.81,14,3,4,10.78,1.53
115,VfB Stuttgart,5,3.83,21,11,6,17.90,2.81,Hoffenheim,1,0.92,13,4,9,7.61,0.14
