,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,2,2.48,17,7,17,10.50,2.36,Hertha Berlin,2,1.18,6,3,2,16.22,0.45
1,Schalke 04,0,1.08,11,2,6,18.28,0.90,Bayern Munich,3,1.60,10,6,9,9.68,1.83
2,Bayern Munich,6,3.35,18,10,8,5.35,2.81,Mainz 05,1,0.72,7,4,2,20.35,0.12
3,RasenBallsport Leipzig,1,1.65,13,6,7,17.18,1.36,Bayern Munich,1,1.67,14,7,10,9.14,1.37
4,Bayern Munich,4,2.92,25,5,12,7.92,2.55,FC Cologne,0,1.03,14,2,7,14.50,0.33
5,Paderborn,2,0.28,10,5,2,16.80,0.04,Bayern Munich,3,3.47,18,6,17,9.86,2.93
6,Bayern Munich,1,1.77,20,4,11,8.21,2.17,Hoffenheim,2,0.72,8,5,3,21.47,0.61
7,Augsburg,2,2.14,9,7,3,33.54,0.79,Bayern Munich,2,3.06,24,9,20,6.29,2.00
8,Bayern Munich,2,2.88,21,10,15,8.86,2.17,Union Berlin,1,1.73,6,4,0,15.54,0.62
9,Eintracht Frankfurt,5,3.00,17,11,7,9.95,2.58,Bayern Munich,1,1.08,8,3,5,15.00,0.29
10,Bayern Munich,4,3.91,17,5,8,10.00,2.93,Borussia Dortmund,0,0.61,2,0,1,18.27,0.04
11,Fortuna Duesseldorf,0,0.44,13,1,3,32.38,0.03,Bayern Munich,4,3.82,17,5,14,5.57,2.95
12,Bayern Munich,1,2.25,24,11,16,4.61,1.90,Bayer Leverkusen,2,1.45,11,7,3,20.50,0.89
13,B. Monchengladbach,2,1.33,7,3,2,9.97,1.05,Bayern Munich,1,1.74,16,5,8,5.58,1.66
14,Bayern Munich,6,5.84,28,14,15,4.84,2.99,Werder Bremen,1,0.54,10,2,3,33.08,0.00
15,Freiburg,1,2.14,15,5,8,23.93,0.35,Bayern Munich,3,4.41,22,10,15,5.92,2.54
16,Bayern Munich,2,1.58,18,8,11,7.75,1.92,Wolfsburg,0,0.89,10,3,5,19.83,0.82
17,Hertha Berlin,0,0.83,7,1,3,25.53,0.19,Bayern Munich,4,2.96,20,11,12,4.54,2.70
18,Bayern Munich,5,3.90,24,14,10,8.43,2.95,Schalke 04,0,0.40,7,1,2,35.62,0.03
19,Mainz 05,1,0.33,8,3,3,19.13,0.27,Bayern Munich,3,2.04,13,5,9,6.86,2.58
20,Bayern Munich,0,1.07,11,3,6,8.15,0.80,RasenBallsport Leipzig,0,1.76,9,1,5,16.19,1.95
21,FC Cologne,1,2.04,13,5,5,14.08,0.79,Bayern Munich,4,3.04,24,8,18,7.59,2.02
22,Bayern Munich,3,3.24,18,9,19,6.77,2.48,Paderborn,2,1.47,5,4,0,32.67,0.38
23,Hoffenheim,0,0.55,4,1,2,22.88,0.02,Bayern Munich,6,4.78,25,11,13,8.68,2.97
