,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
155,Nice,1,1.64,9,3,4,10.00,1.36,Bordeaux,0,1.62,18,4,7,8.72,1.36
156,Reims,1,1.29,11,2,6,12.81,1.52,Nice,1,1.07,9,5,1,9.80,1.13
157,Nice,2,1.72,15,7,5,6.50,2.21,Nimes,0,0.69,14,7,3,10.16,0.57
158,Lille,4,2.38,15,7,2,16.17,2.67,Nice,0,0.50,5,2,2,18.88,0.22
159,Nice,1,1.54,11,4,1,22.25,0.76,Lyon,0,2.46,23,5,11,9.68,2.02
160,Angers,3,2.27,12,4,5,36.56,2.66,Nice,0,0.48,13,4,4,7.17,0.22
161,Amiens,1,1.67,11,4,5,14.44,2.58,Nice,0,0.20,7,0,2,8.13,0.26
162,Nice,1,1.38,9,2,6,20.07,2.31,Strasbourg,0,0.39,10,1,12,10.39,0.45
163,Dijon,0,0.62,14,1,5,11.56,1.14,Nice,1,0.76,12,6,2,18.75,1.48
164,Nice,1,1.39,14,5,2,14.42,2.06,Montpellier,0,0.59,16,4,7,12.39,0.68
165,Rennes,0,1.06,14,7,2,12.61,1.92,Nice,0,0.48,7,2,4,16.20,0.76
166,Nice,0,2.43,20,8,6,10.05,2.79,Caen,1,0.34,7,2,3,19.25,0.13
167,Nice,3,2.47,15,5,8,7.67,2.68,Guingamp,0,0.55,14,3,4,11.46,0.21
168,Paris Saint Germain,1,2.56,17,5,15,7.97,2.51,Nice,1,1.07,8,2,3,20.81,0.33
169,Saint-Etienne,3,2.08,9,5,7,8.95,2.32,Nice,0,0.87,19,5,6,5.60,0.49
170,Reims,1,0.68,7,2,0,15.90,1.09,Lyon,0,0.98,19,5,7,10.70,1.56
171,Amiens,4,2.18,14,8,9,7.84,2.52,Reims,1,0.70,7,3,1,17.25,0.33
172,Reims,0,1.02,21,6,10,11.50,1.83,Montpellier,1,0.47,9,3,1,23.20,0.82
173,Reims,0,1.06,11,2,1,12.96,2.25,Dijon,0,0.15,6,0,2,6.54,0.44
174,Paris Saint Germain,4,3.65,15,7,12,5.50,2.96,Reims,1,0.33,9,3,6,22.74,0.02
175,Reims,0,0.64,9,0,4,6.06,1.73,Bordeaux,0,0.21,7,3,0,7.59,0.78
176,Nimes,0,0.76,17,5,1,5.68,0.72,Reims,0,1.48,9,3,3,16.20,2.02
177,Reims,1,1.03,12,5,8,6.03,0.88,Angers,1,1.63,17,7,9,9.00,1.85
178,Rennes,0,0.51,11,5,9,3.66,1.56,Reims,2,0.23,6,3,3,14.26,0.91
179,Saint-Etienne,2,1.30,14,5,2,6.57,1.88,Reims,0,0.71,14,3,4,7.28,0.84
