,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,3,2.78,13,8,13,13.09,2.01,Bayer Leverkusen,1,1.89,19,4,14,11.85,0.79
1,Werder Bremen,0,0.23,4,1,3,24.43,0.35,Bayern Munich,2,1.40,19,8,11,5.88,2.43
2,Hoffenheim,2,0.61,6,3,2,19.32,0.67,Bayern Munich,0,1.51,23,6,9,5.57,2.07
3,Bayern Munich,4,4.42,28,14,25,5.00,2.92,Mainz 05,0,0.71,11,4,1,24.21,0.05
4,Schalke 04,0,1.16,11,4,2,18.59,0.53,Bayern Munich,3,2.46,13,8,14,7.96,2.28
5,Bayern Munich,2,2.34,19,3,5,10.83,2.67,Wolfsburg,2,0.47,8,3,2,28.25,0.21
6,Hertha Berlin,2,1.66,10,5,3,18.05,1.51,Bayern Munich,2,1.51,17,5,13,8.33,1.22
7,Bayern Munich,5,1.59,23,10,16,10.58,2.33,Freiburg,0,0.35,6,2,2,30.86,0.44
8,Hamburger SV,0,0.16,7,3,2,20.65,0.12,Bayern Munich,1,2.30,21,4,15,4.10,2.80
9,Bayern Munich,2,2.04,23,7,11,4.82,2.60,RasenBallsport Leipzig,0,0.31,3,1,0,40.27,0.26
10,Borussia Dortmund,1,1.89,15,4,9,12.61,1.83,Bayern Munich,3,1.28,10,5,5,12.50,0.92
11,Bayern Munich,3,1.92,17,6,10,5.12,2.61,Augsburg,0,0.28,8,3,1,21.26,0.25
12,B. Monchengladbach,2,2.13,7,2,1,12.34,2.35,Bayern Munich,1,0.90,25,8,11,5.38,0.47
13,Bayern Munich,3,3.87,29,12,12,5.07,2.85,Hannover 96,1,1.08,8,4,0,20.44,0.09
14,Eintracht Frankfurt,0,0.49,11,3,8,7.32,1.40,Bayern Munich,1,0.36,6,1,4,19.00,1.11
15,Bayern Munich,1,3.34,26,8,15,2.11,2.91,FC Cologne,0,0.30,7,1,1,39.11,0.06
16,VfB Stuttgart,0,1.10,10,4,4,7.71,1.01,Bayern Munich,1,1.44,17,7,7,12.00,1.63
17,Bayer Leverkusen,1,0.62,12,1,4,10.63,0.66,Bayern Munich,3,1.49,16,6,6,13.12,2.08
18,Bayern Munich,4,1.89,15,7,12,8.32,2.12,Werder Bremen,2,0.86,10,4,5,18.23,0.65
19,Bayern Munich,5,2.84,25,11,12,10.42,2.68,Hoffenheim,2,1.02,6,4,5,10.88,0.21
20,Mainz 05,0,1.12,15,4,5,13.43,0.97,Bayern Munich,2,1.62,13,6,14,6.87,1.78
21,Bayern Munich,2,1.20,13,5,8,9.04,1.63,Schalke 04,1,0.90,9,3,6,9.80,1.05
22,Wolfsburg,1,0.47,3,1,3,35.50,0.05,Bayern Munich,2,3.23,18,5,7,3.35,2.91
23,Bayern Munich,0,1.66,19,6,13,5.15,2.59,Hertha Berlin,0,0.10,5,3,2,21.55,0.23
24,Freiburg,0,0.47,5,1,2,33.67,0.24,Bayern Munich,4,1.99,17,4,8,12.89,2.61
25,Bayern Munich,6,4.92,18,7,11,7.00,3.00,Hamburger SV,0,0.01,1,0,2,38.82,0.00
26,RasenBallsport Leipzig,2,2.78,16,6,9,10.12,2.31,Bayern Munich,1,1.40,9,2,7,6.00,0.53
27,Bayern Munich,6,4.60,17,9,9,13.55,2.98,Borussia Dortmund,0,0.49,9,3,2,34.15,0.01
28,Augsburg,1,0.89,7,1,1,12.97,0.44,Bayern Munich,4,2.32,12,7,10,12.25,2.38
29,Bayern Munich,5,3.36,20,11,16,8.78,2.95,B. Monchengladbach,1,0.20,4,1,0,47.11,0.03
30,Hannover 96,0,0.24,6,2,2,22.10,0.17,Bayern Munich,3,2.01,14,8,11,4.39,2.71
