,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Verona,1,0.87,12,7,2,15.45,1.09,Roma,1,1.16,20,7,11,6.22,1.60
1,Genoa,2,2.03,20,6,7,4.07,2.53,Verona,0,0.52,12,2,4,9.17,0.32
2,Verona,2,1.62,12,3,2,12.19,1.96,Torino,2,0.93,10,5,7,8.88,0.75
3,Atalanta,1,0.92,15,3,7,7.05,1.48,Verona,1,0.75,9,3,2,7.65,1.17
4,Inter,1,0.84,17,4,8,6.96,1.90,Verona,0,0.24,7,1,6,15.58,0.70
5,Verona,1,1.08,6,1,3,14.15,0.39,Lazio,2,2.28,13,3,12,4.59,2.41
6,Chievo,1,1.67,17,7,6,4.80,1.81,Verona,1,1.12,10,3,6,11.65,0.91
7,Verona,1,1.11,8,2,3,14.28,1.64,Udinese,1,0.84,15,5,2,8.34,1.01
8,Sampdoria,4,2.85,10,6,9,11.83,2.75,Verona,1,0.63,11,1,9,14.31,0.17
9,Verona,0,0.08,2,0,2,11.74,0.07,Fiorentina,2,1.97,9,2,5,10.58,2.86
10,Carpi,0,1.25,11,6,5,8.79,2.03,Verona,0,0.53,11,3,7,4.04,0.69
11,Verona,0,0.24,11,2,7,7.47,0.40,Bologna,2,1.29,10,4,3,20.25,2.36
12,Verona,0,0.17,3,3,0,27.06,0.09,Napoli,2,2.39,22,10,19,5.23,2.85
13,Frosinone,3,2.47,16,6,6,5.06,2.54,Verona,2,0.81,16,8,5,7.48,0.32
14,Verona,0,1.41,18,4,3,8.21,2.01,Empoli,1,0.64,11,5,6,12.86,0.71
15,AC Milan,1,1.45,17,6,7,9.61,1.66,Verona,1,1.07,11,2,4,11.30,1.03
16,Verona,1,1.16,10,6,4,10.15,1.06,Sassuolo,1,1.50,16,5,4,6.50,1.63
17,Juventus,3,1.47,15,6,6,7.87,2.41,Verona,0,0.27,7,1,3,16.50,0.37
18,Verona,0,2.97,31,7,11,4.36,2.54,Palermo,1,1.13,9,2,6,9.29,0.33
19,Roma,1,2.47,16,4,10,5.82,2.28,Verona,1,1.20,10,3,3,18.32,0.53
20,Verona,1,1.74,17,9,5,7.28,2.27,Genoa,1,0.67,10,2,1,4.53,0.51
21,Torino,0,1.62,16,6,11,6.24,2.32,Verona,0,0.55,10,3,5,7.29,0.46
22,Verona,2,1.54,13,5,4,5.59,1.53,Atalanta,1,1.36,18,4,7,5.73,1.20
23,Verona,3,1.31,10,4,4,13.77,0.64,Inter,3,2.40,15,7,3,3.32,2.16
24,Lazio,5,4.18,18,7,14,5.42,2.99,Verona,2,0.36,8,4,3,14.29,0.00
25,Verona,3,2.44,20,8,6,13.94,2.24,Chievo,1,1.29,14,2,2,3.08,0.55
26,Udinese,2,2.05,13,4,5,16.23,2.55,Verona,0,0.59,10,2,6,8.19,0.30
27,Verona,0,1.17,11,4,5,9.20,0.39,Sampdoria,3,2.77,14,8,5,8.86,2.46
28,Fiorentina,1,0.61,10,4,8,9.78,1.17,Verona,1,0.78,12,4,3,16.46,1.46
29,Verona,1,0.69,8,3,5,3.94,0.82,Carpi,2,1.25,11,5,5,9.27,1.86
30,Bologna,0,1.01,9,1,6,6.52,1.54,Verona,1,0.74,4,1,3,12.36,1.08
31,Napoli,3,3.61,19,6,12,9.85,2.95,Verona,0,0.31,8,1,6,22.94,0.03
32,Verona,1,2.02,15,5,5,3.93,2.12,Frosinone,2,1.11,13,2,4,12.87,0.66
33,Empoli,1,2.21,12,7,10,7.17,1.61,Verona,0,1.93,21,6,9,9.44,1.16
34,Verona,2,2.66,28,12,9,12.25,2.18,AC Milan,1,1.42,11,6,11,5.65,0.63
35,Sassuolo,1,0.52,6,1,4,7.43,1.35,Verona,0,0.48,16,2,4,10.96,1.18
36,Verona,2,1.65,12,4,6,9.13,1.66,Juventus,1,1.30,16,5,11,8.86,1.03
37,Palermo,3,0.79,5,3,1,15.78,0.81,Verona,2,1.36,14,4,5,8.18,1.87
38,Roma,2,0.97,18,7,3,6.86,1.28,Juventus,1,0.97,10,2,5,11.88,1.39
39,Frosinone,0,0.37,18,5,2,6.34,0.30,Roma,2,1.91,20,3,6,5.95,2.54
40,Roma,2,1.67,21,7,7,4.59,1.96,Sassuolo,2,0.91,12,4,2,14.14,0.79
41,Sampdoria,2,0.19,6,3,1,13.94,0.34,Roma,1,1.45,24,8,16,3.83,2.43
42,Roma,5,3.47,17,10,11,6.37,2.62,Carpi,1,1.52,13,6,9,18.20,0.26
43,Palermo,2,1.27,14,5,6,10.79,0.86,Roma,4,2.02,13,8,12,11.56,1.92
44,Roma,3,1.60,9,5,5,7.97,2.25,Empoli,1,0.55,13,6,4,14.87,0.53
45,Fiorentina,1,1.27,21,4,8,5.25,1.57,Roma,2,0.96,6,4,0,10.10,1.12
46,Roma,3,2.09,19,8,10,9.56,2.51,Udinese,1,0.54,6,2,3,13.37,0.33
47,Inter,1,0.39,10,3,3,14.48,0.33,Roma,0,1.89,19,9,7,6.96,2.51
48,Roma,2,2.03,14,2,5,6.66,1.93,Lazio,0,1.36,7,2,4,7.04,0.79
49,Bologna,2,1.56,9,3,3,2.93,0.72,Roma,2,2.43,14,5,5,3.61,2.04
50,Roma,0,0.90,17,3,8,5.07,0.85,Atalanta,2,1.34,4,3,1,8.52,1.86
51,Torino,1,1.64,11,5,1,20.06,2.68,Roma,1,0.24,5,3,3,6.74,0.19
52,Napoli,0,1.43,12,4,3,8.10,2.42,Roma,0,0.23,4,0,2,12.45,0.36
53,Roma,2,2.12,7,3,5,8.64,2.37,Genoa,0,0.89,12,4,5,13.71,0.44
54,Chievo,3,1.80,12,6,3,7.82,0.81,Roma,3,2.53,14,5,4,15.50,1.94
55,Roma,1,1.03,12,5,4,15.06,1.23,AC Milan,1,1.20,17,6,5,7.67,1.47
56,Juventus,1,0.69,15,7,8,15.55,1.80,Roma,0,0.20,5,1,1,10.84,0.74
57,Roma,3,1.21,22,6,10,7.17,1.93,Frosinone,1,0.52,13,3,4,13.29,0.76
58,Sassuolo,0,1.39,17,6,4,8.40,0.53,Roma,2,2.62,13,5,6,9.95,2.28
59,Roma,2,1.46,13,4,11,10.69,1.62,Sampdoria,1,1.14,10,4,9,16.74,1.10
60,Carpi,1,0.87,7,2,1,13.38,0.38,Roma,3,2.29,19,6,14,5.33,2.43
61,Roma,5,2.44,25,5,11,7.25,2.81,Palermo,0,0.21,5,2,1,19.60,0.11
62,Empoli,1,0.33,8,3,2,9.77,0.60,Roma,3,1.08,15,6,5,8.50,2.09
63,Roma,4,2.53,14,7,8,9.10,2.44,Fiorentina,1,1.08,11,1,1,7.32,0.39
64,Udinese,1,0.59,10,3,4,17.50,0.24,Roma,2,2.24,15,7,12,5.54,2.63
65,Roma,1,1.15,16,6,11,7.72,2.11,Inter,1,0.30,6,2,3,12.77,0.58
66,Lazio,1,2.85,18,3,7,10.50,2.33,Roma,4,1.53,17,6,7,7.60,0.50
67,Roma,1,1.21,14,5,13,5.23,1.83,Bologna,1,0.69,7,2,0,16.39,0.84
68,Atalanta,3,2.49,13,4,7,11.76,1.69,Roma,3,2.11,17,7,18,7.22,1.08
69,Roma,3,2.20,20,6,9,10.62,1.86,Torino,2,1.58,13,5,6,19.55,0.88
70,Roma,1,0.32,9,3,9,12.52,0.89,Napoli,0,0.64,9,4,3,9.34,1.65
71,Genoa,2,1.05,14,5,4,27.00,0.55,Roma,3,2.32,20,9,18,8.14,2.27
72,Roma,3,2.07,23,11,13,10.04,2.39,Chievo,0,0.72,11,4,3,37.00,0.43
73,AC Milan,1,1.37,14,6,2,13.76,0.73,Roma,3,2.28,16,9,16,9.76,2.03
74,Lazio,2,1.54,21,9,3,7.97,2.34,Bologna,1,0.38,8,4,3,18.33,0.44
75,Chievo,4,1.63,9,5,8,10.90,2.04,Lazio,0,0.83,13,2,8,9.22,0.70
76,Lazio,2,1.34,14,8,3,9.10,2.06,Udinese,0,0.61,11,5,5,11.88,0.66
77,Napoli,5,2.73,19,10,9,9.65,2.50,Lazio,0,0.97,9,1,3,14.03,0.36
78,Lazio,2,0.81,10,3,3,5.91,1.82,Genoa,0,0.35,10,3,2,14.32,0.79
79,Lazio,2,3.63,29,11,13,3.55,2.84,Frosinone,0,0.74,12,6,1,11.29,0.11
80,Sassuolo,2,1.79,16,4,6,7.38,2.27,Lazio,1,0.72,12,3,2,5.55,0.51
81,Lazio,3,1.31,10,3,4,8.61,2.25,Torino,0,0.32,8,3,8,7.68,0.48
82,Atalanta,2,0.41,8,3,4,5.90,1.46,Lazio,1,0.19,6,3,4,9.78,0.95
83,Lazio,1,0.37,10,4,2,3.82,0.22,AC Milan,3,1.98,9,3,2,9.24,2.65
84,Lazio,1,1.52,18,3,11,5.41,2.13,Palermo,1,0.65,13,8,3,8.03,0.61
85,Empoli,1,0.28,5,1,2,12.00,0.69,Lazio,0,0.92,16,5,8,4.05,1.93
86,Lazio,0,0.39,11,3,5,3.96,1.27,Juventus,2,0.34,7,1,1,11.58,1.18
87,Lazio,1,0.82,14,2,5,9.30,1.68,Sampdoria,1,0.42,11,5,0,13.95,0.92
88,Inter,1,0.52,7,1,3,6.50,0.46,Lazio,2,1.40,7,3,1,11.25,2.28
89,Lazio,0,0.45,15,0,1,4.52,1.50,Carpi,0,0.19,5,2,2,8.38,0.92
90,Fiorentina,1,0.73,17,7,1,4.33,0.68,Lazio,3,1.61,10,6,6,13.13,2.09
91,Bologna,2,1.45,8,3,4,7.74,1.53,Lazio,2,1.27,10,3,6,4.63,1.15
92,Lazio,4,2.67,24,7,16,5.71,2.21,Chievo,1,1.49,7,5,1,9.92,0.58
93,Udinese,0,0.44,11,1,1,22.91,0.88,Lazio,0,0.87,17,1,5,4.68,1.74
94,Lazio,0,0.55,8,0,5,11.18,0.54,Napoli,2,1.56,11,5,6,10.08,2.21
95,Genoa,0,0.34,5,1,8,8.00,1.04,Lazio,0,0.52,10,2,8,5.05,1.46
96,Frosinone,0,0.63,9,1,2,10.67,1.19,Lazio,0,0.76,18,2,2,4.57,1.42
97,Lazio,0,1.34,15,3,5,2.91,1.12,Sassuolo,2,1.59,8,6,6,7.38,1.61
98,Torino,1,2.49,13,4,4,8.97,2.30,Lazio,1,1.32,12,5,8,4.24,0.51
