,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
113,Mainz 05,3,2.45,20,6,8,13.68,2.53,Schalke 04,0,0.75,10,3,3,3.66,0.32
114,Schalke 04,0,0.71,7,2,6,5.82,0.17,Fortuna Duesseldorf,4,2.89,14,5,4,8.81,2.74
115,Werder Bremen,4,2.45,20,7,9,5.54,2.03,Schalke 04,2,1.54,14,8,11,15.55,0.76
116,Schalke 04,0,1.01,16,3,7,5.96,0.78,RasenBallsport Leipzig,1,1.69,16,4,7,6.47,1.94
117,Hannover 96,0,0.76,15,3,4,5.31,1.22,Schalke 04,1,0.86,6,3,4,12.23,1.43
118,Schalke 04,1,1.20,6,4,3,9.64,0.53,Eintracht Frankfurt,2,2.25,16,5,2,5.30,2.25
119,Nuernberg,1,2.36,17,6,9,10.88,2.44,Schalke 04,1,0.85,16,2,5,9.69,0.40
120,Borussia Dortmund,2,1.10,8,2,4,10.28,1.28,Schalke 04,4,1.12,8,4,2,11.25,1.35
121,Schalke 04,0,1.82,15,3,10,13.59,2.34,Augsburg,0,0.59,7,3,1,15.29,0.45
122,Bayer Leverkusen,1,1.62,18,5,6,8.06,1.19,Schalke 04,1,1.79,8,3,4,27.26,1.55
123,Schalke 04,0,0.69,12,3,8,17.00,1.33,VfB Stuttgart,0,0.67,16,8,4,11.84,1.29
124,Fortuna Duesseldorf,1,1.33,9,5,5,9.44,1.87,Augsburg,2,0.76,14,7,4,11.04,0.84
125,RasenBallsport Leipzig,1,2.25,24,7,10,5.57,1.94,Fortuna Duesseldorf,1,1.44,14,8,5,8.60,0.84
126,VfB Stuttgart,0,1.39,10,1,10,8.48,1.50,Fortuna Duesseldorf,0,1.24,19,7,6,9.36,1.21
127,Fortuna Duesseldorf,1,1.75,16,4,8,12.96,1.56,Bayer Leverkusen,2,1.48,6,3,5,9.39,1.11
128,Nuernberg,3,2.42,10,6,3,26.23,2.33,Fortuna Duesseldorf,0,1.17,13,4,11,13.00,0.49
129,Eintracht Frankfurt,7,3.51,21,13,8,14.78,2.84,Fortuna Duesseldorf,1,0.67,9,4,3,14.61,0.10
130,B. Monchengladbach,3,3.16,20,7,9,9.11,2.77,Fortuna Duesseldorf,0,0.72,13,6,1,26.62,0.16
