,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
71,Cagliari,0,1.01,12,3,6,7.93,1.48,Roma,1,0.86,9,1,5,8.21,1.17
72,Fiorentina,0,0.47,14,0,5,2.93,0.24,Cagliari,1,2.13,14,2,4,8.24,2.63
73,Cagliari,1,0.73,6,4,7,19.06,0.79,Atalanta,0,1.26,12,4,6,10.00,1.86
74,Verona,1,1.40,12,4,4,31.58,0.57,Napoli,3,2.62,22,12,13,10.00,2.23
75,Crotone,0,0.75,12,3,5,10.93,1.81,Verona,0,0.23,5,0,3,8.67,0.75
76,Verona,0,0.95,14,2,5,17.43,0.28,Fiorentina,5,2.89,20,10,4,12.45,2.60
77,Roma,3,3.67,30,10,15,11.47,2.95,Verona,0,0.20,8,0,2,25.57,0.03
78,Verona,0,0.99,14,6,2,13.07,0.92,Sampdoria,0,1.58,17,5,8,8.33,1.81
79,Verona,0,0.35,9,2,6,11.34,0.19,Lazio,3,2.16,12,5,8,10.70,2.70
80,Torino,2,1.56,12,5,13,8.20,0.36,Verona,2,3.22,20,6,6,8.51,2.50
81,Verona,1,1.23,13,3,3,7.63,2.27,Benevento,0,0.26,8,1,3,13.65,0.46
82,Chievo,3,2.90,22,8,6,10.70,2.43,Verona,2,1.33,11,3,6,33.78,0.40
83,Atalanta,3,2.21,23,7,17,7.84,1.91,Verona,0,1.41,11,3,2,14.21,0.86
84,Verona,1,1.01,10,2,5,14.95,1.27,Inter,2,1.11,17,4,2,10.17,1.37
85,Verona,2,1.72,17,5,5,12.11,1.76,Bologna,3,1.25,12,5,8,13.07,0.97
86,Sassuolo,0,1.16,22,3,10,8.05,0.72,Verona,2,2.04,10,5,5,20.87,2.06
87,Verona,0,0.67,15,3,6,7.39,0.93,Genoa,1,1.07,9,1,11,10.29,1.74
88,SPAL 2013,2,2.09,19,9,6,10.65,1.18,Verona,2,2.32,16,8,3,14.12,1.56
89,Verona,3,1.50,6,4,2,14.50,1.27,AC Milan,0,1.66,30,8,13,4.35,1.47
90,Udinese,4,3.53,27,10,18,8.15,2.96,Verona,0,0.14,3,0,3,15.72,0.02
91,Napoli,2,2.30,24,9,23,6.62,2.84,Verona,0,0.14,3,1,0,44.56,0.09
92,Verona,0,1.03,10,2,6,13.22,1.55,Crotone,3,0.83,10,6,4,13.50,1.13
93,Fiorentina,1,1.34,28,6,4,2.45,0.84,Verona,4,2.06,8,5,5,12.47,1.94
94,Verona,0,0.35,9,1,3,7.05,0.33,Roma,1,1.79,17,8,8,5.68,2.49
95,Sampdoria,2,4.10,22,10,11,4.76,2.96,Verona,0,0.37,7,1,1,15.09,0.03
96,Lazio,2,2.12,32,9,14,4.67,2.76,Verona,0,0.12,5,0,2,8.46,0.14
97,Verona,2,0.98,8,5,5,6.29,1.27,Torino,1,1.07,15,2,9,4.24,1.40
98,Verona,1,0.18,7,2,0,13.72,0.57,Chievo,0,0.88,10,2,6,4.38,2.06
99,Verona,0,0.30,6,0,2,18.42,0.03,Atalanta,5,3.38,24,11,12,9.17,2.94
100,Inter,3,3.16,24,5,19,7.52,2.85,Verona,0,0.35,8,1,5,23.29,0.09
101,Benevento,3,2.86,22,15,9,5.79,2.85,Verona,0,0.33,3,0,3,11.70,0.09
102,Bologna,2,1.03,14,6,6,5.68,1.74,Verona,0,0.57,8,1,5,5.56,0.91
103,Verona,0,0.39,9,2,6,6.03,0.30,Sassuolo,1,1.91,15,5,4,10.15,2.54
104,Genoa,3,1.54,18,8,11,17.59,1.35,Verona,1,1.55,13,3,6,13.33,1.37
105,Verona,1,1.05,11,5,5,8.72,1.16,SPAL 2013,3,1.27,17,6,12,4.78,1.54
106,AC Milan,4,1.19,17,10,12,16.19,2.16,Verona,1,0.26,8,2,2,25.50,0.54
107,Verona,0,0.80,10,1,5,6.86,0.36,Udinese,1,2.37,13,5,3,9.96,2.48
108,Napoli,3,1.15,10,4,10,7.31,1.84,Atalanta,1,0.63,14,2,3,10.67,0.85
