,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
20,cat24,1.0,,67,3,,4,,1,7,6,2,1,1,,1,2,,Monaco,,,17.05.2017 21:00,Ligue 1 - Round 31,cat24,2.0,,33,0,,2,,6,2,3,1,0,0,,1,2,,St Etienne,,,17.05.2017 21:00,Ligue 1 - Round 31
21,cat25,1.0,,58,1,,6,,5,5,8,1,1,0,,4,3,,Monaco,,1,17.05.2017 21:00,Ligue 1 - Round 31,cat25,2.0,,42,0,,2,,3,5,2,2,0,1,,1,1,,St Etienne,,1,17.05.2017 21:00,Ligue 1 - Round 31
22,cat26,1.0,,43,1,,2,,9,6,4,0,0,1,,1,2,,Bastia,,2,14.05.2017 21:00,Ligue 1 - Round 37,cat26,2.0,,57,2,,6,,4,10,4,2,0,2,,2,0,,Lorient,,0,14.05.2017 21:00,Ligue 1 - Round 37
23,cat27,1.0,,55,2,,3,,5,8,7,1,2,0,,2,3,,Bastia,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat27,2.0,,45,2,,3,,7,5,5,1,0,1,,2,1,,Lorient,,2,14.05.2017 21:00,Ligue 1 - Round 37
24,cat28,1.0,,33,2,,2,,9,12,6,1,1,2,,2,2,,Bordeaux,,0,14.05.2017 21:00,Ligue 1 - Round 37,cat28,2.0,,67,0,,3,,10,11,5,1,0,2,,4,1,,Marseille,,2,14.05.2017 21:00,Ligue 1 - Round 37
25,cat29,1.0,,45,2,,1,,9,5,6,1,0,2,,1,3,,Bordeaux,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat29,2.0,,55,2,,1,,4,11,9,3,1,1,,5,2,,Marseille,,0,14.05.2017 21:00,Ligue 1 - Round 37
26,cat30,1.0,,42,0,,2,,2,6,1,3,0,0,,1,0,,Caen,,0,14.05.2017 21:00,Ligue 1 - Round 37,cat30,2.0,,58,0,,0,,6,2,5,0,0,0,,2,3,,Rennes,,1,14.05.2017 21:00,Ligue 1 - Round 37
27,cat31,1.0,,56,2,,9,,5,3,9,2,0,0,,5,2,,Caen,,2,14.05.2017 21:00,Ligue 1 - Round 37,cat31,2.0,,44,0,,1,,3,5,4,2,1,0,,1,3,,Rennes,,0,14.05.2017 21:00,Ligue 1 - Round 37
28,cat32,1.0,,56,5,,3,,7,7,11,1,0,0,,5,1,,Dijon,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat32,2.0,,44,0,,4,,6,7,4,1,0,1,,3,1,,Nancy,,1,14.05.2017 21:00,Ligue 1 - Round 37
29,cat33,1.0,,46,0,,1,,10,13,9,1,2,2,,5,4,,Dijon,,1,14.05.2017 21:00,Ligue 1 - Round 37,cat33,2.0,,54,0,,2,,11,12,5,2,0,2,,4,1,,Nancy,,1,14.05.2017 21:00,Ligue 1 - Round 37
