,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,,58,2,,3,,6,6,8,1,3,0,,3,3,,Real Madrid,,1,23.05.2015 20:30,LaLiga - Round 38,cat0,2,,42,0,,4,,8,4,7,0,3,0,,3,4,,Getafe,,1,23.05.2015 20:30,LaLiga - Round 38
1,cat1,1,,49,0,,5,,6,6,10,2,4,3,,2,8,,Real Madrid,,1,23.05.2015 20:30,LaLiga - Round 38,cat1,2,,51,1,,3,,5,9,7,4,0,1,,4,2,,Getafe,,2,23.05.2015 20:30,LaLiga - Round 38
2,cat2,1,,46,1,,1,,9,9,6,0,2,1,,2,3,,Almeria,,0,23.05.2015 18:30,LaLiga - Round 38,cat2,2,,54,0,,3,,9,11,5,1,2,1,,3,2,,Valencia,,1,23.05.2015 18:30,LaLiga - Round 38
3,cat3,1,,64,1,,2,,10,11,4,2,0,2,0,3,0,,Almeria,,2,23.05.2015 18:30,LaLiga - Round 38,cat3,2,,36,1,,3,,9,11,4,0,1,2,1,0,3,,Valencia,,5,23.05.2015 18:30,LaLiga - Round 38
4,cat4,1,,52,0,,1,,6,4,9,2,3,2,,4,5,,Ath Bilbao,,0,23.05.2015 18:30,LaLiga - Round 38,cat4,2,,48,3,,4,,5,8,7,2,0,0,,2,2,,Villarreal,,1,23.05.2015 18:30,LaLiga - Round 38
5,cat5,1,,46,1,,3,,7,2,8,0,1,0,,4,3,,Ath Bilbao,,,23.05.2015 18:30,LaLiga - Round 38,cat5,2,,54,2,,1,,2,6,6,2,0,1,,4,0,,Villarreal,,,23.05.2015 18:30,LaLiga - Round 38
6,cat6,1,,79,2,,2,,1,7,13,0,1,2,,6,5,,Barcelona,,,23.05.2015 18:30,LaLiga - Round 38,cat6,2,,21,1,,3,,5,3,2,4,0,2,,1,0,,Dep. La Coruna,,,23.05.2015 18:30,LaLiga - Round 38
7,cat7,1,,59,0,,2,,5,3,5,0,1,2,,3,2,,Barcelona,,,23.05.2015 18:30,LaLiga - Round 38,cat7,2,,41,4,,1,,4,7,8,1,2,1,,2,2,,Dep. La Coruna,,,23.05.2015 18:30,LaLiga - Round 38
8,cat8,1,,56,1,,1,,4,6,8,1,1,4,1,2,5,,Celta Vigo,,2,23.05.2015 18:30,LaLiga - Round 38,cat8,2,,44,2,,1,,5,6,11,4,1,1,0,7,2,,Espanyol,,0,23.05.2015 18:30,LaLiga - Round 38
9,cat9,1,,46,0,,1,,7,9,2,0,2,5,,0,2,,Celta Vigo,,0,23.05.2015 18:30,LaLiga - Round 38,cat9,2,,54,1,,1,,9,12,6,0,1,0,,4,1,,Espanyol,,1,23.05.2015 18:30,LaLiga - Round 38
