,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,,52,1,,0,,5,2,2,1,0,1,,1,0,,AS Roma,,,31.05.2015 20:45,Serie A - Round 38,cat0,2,,48,1,,3,,3,5,5,0,1,0,,2,2,,Palermo,,,31.05.2015 20:45,Serie A - Round 38
1,cat1,1,,60,0,,2,,8,11,5,0,1,5,,3,2,,AS Roma,,2,31.05.2015 20:45,Serie A - Round 38,cat1,2,,40,1,,2,,10,13,7,1,1,1,,5,1,,Palermo,,3,31.05.2015 20:45,Serie A - Round 38
2,cat2,1,,61,5,,2,,4,8,14,0,1,0,,4,5,,Fiorentina,,0,31.05.2015 20:45,Serie A - Round 38,cat2,2,,39,1,,3,,6,6,6,4,0,2,,5,0,,Chievo,,2,31.05.2015 20:45,Serie A - Round 38
3,cat3,1,,53,2,,1,,7,4,12,2,2,3,0,2,8,,Fiorentina,,2,31.05.2015 20:45,Serie A - Round 38,cat3,2,,47,3,,0,,3,7,7,6,0,1,1,2,2,,Chievo,,1,31.05.2015 20:45,Serie A - Round 38
4,cat4,1,,60,2,,5,,9,7,12,0,0,1,,6,4,,Inter,,,31.05.2015 20:45,Serie A - Round 38,cat4,2,,40,0,,0,,6,10,0,4,0,1,,0,0,,Empoli,,,31.05.2015 20:45,Serie A - Round 38
5,cat5,1,,56,2,,1,,4,10,20,2,4,2,,13,5,,Inter,,,31.05.2015 20:45,Serie A - Round 38,cat5,2,,44,4,,0,,7,5,11,1,3,3,,2,5,,Empoli,,,31.05.2015 20:45,Serie A - Round 38
6,cat6,1,,62,2,,2,,3,8,6,0,0,2,,3,1,,Napoli,,0,31.05.2015 20:45,Serie A - Round 38,cat6,2,,38,0,,1,,7,5,2,1,2,0,,0,2,,Lazio,,2,31.05.2015 20:45,Serie A - Round 38
7,cat7,1,,54,3,,2,,13,5,10,1,2,3,1,1,6,,Napoli,,3,31.05.2015 20:45,Serie A - Round 38,cat7,2,,46,1,,1,,8,16,5,4,2,0,1,1,3,,Lazio,,4,31.05.2015 20:45,Serie A - Round 38
8,cat8,1,,53,1,,3,,6,6,6,1,0,2,,3,2,,Sampdoria,,,31.05.2015 20:45,Serie A - Round 38,cat8,2,,47,1,,3,,3,8,5,2,0,1,,3,1,,Parma,,,31.05.2015 20:45,Serie A - Round 38
9,cat9,1,,61,4,,4,,6,9,11,0,2,1,,2,5,,Sampdoria,,0,31.05.2015 20:45,Serie A - Round 38,cat9,2,,39,0,,1,,10,8,5,3,2,0,,3,2,,Parma,,1,31.05.2015 20:45,Serie A - Round 38
