,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS,timing_chart_xg,gameurl,id
0,Borussia M.Gladbach,1,2.05,15,7,7,9.83,0.94,VfB Stuttgart,3,2.72,12,7,7,10.14,1.85,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.00;1' Total xG: 0.00;2' Total xG: 0.00;2' Total xG: 0.00;3' Total xG: 0.00;3' Total xG: 0.00;4' Total xG: 0.04;4' Total xG: 0.00;5' Total xG: 0.10;5' Total xG: 0.00;6' Total xG: 0.10;6' Total xG: 0.00;7' Total xG: 0.10;7' Total xG: 0.00;8' Total xG: 0.10;8' Total xG: 0.00;9' Total xG: 0.10;9' Total xG: 0.00;10' Total xG: 0.10;10' Total xG: 0.00;11' Total xG: 0.10;11' Total xG: 0.00;12' Total xG: 0.10;12' Total xG: 0.00;13' Total xG: 0.10;13' Total xG: 0.00;14' Total xG: 0.10;14' Total xG: 0.00;15' Total xG: 0.10;15' Total xG: 0.28;16' Total xG: 0.10;16' Total xG: 0.28;17' Total xG: 0.10;17' Total xG: 0.28;18' Total xG: 0.10;18' Total xG: 0.28;19' Total xG: 0.10;19' Total xG: 0.28;20' Total xG: 0.10;20' Total xG: 0.85
Deniz Undav - Shot xG: 0.54;21' Total xG: 0.10;21' Total xG: 0.85;22' Total xG: 0.10;22' Total xG: 0.85;23' Total xG: 0.10;23' Total xG: 0.85;24' Total xG: 0.10;24' Total xG: 0.85;25' Total xG: 0.65;25' Total xG: 0.85;26' Total xG: 1.03
Alassane Pléa - Shot xG: 0.38;26' Total xG: 0.85;27' Total xG: 1.03;27' Total xG: 0.85;28' Total xG: 1.03;28' Total xG: 0.85;29' Total xG: 1.08;29' Total xG: 0.85;30' Total xG: 1.12;30' Total xG: 0.85;31' Total xG: 1.47;31' Total xG: 0.85;32' Total xG: 1.47;32' Total xG: 0.85;33' Total xG: 1.47;33' Total xG: 0.85;34' Total xG: 1.47;34' Total xG: 0.85;35' Total xG: 1.47;35' Total xG: 0.85;36' Total xG: 1.47;36' Total xG: 0.85;37' Total xG: 1.47;37' Total xG: 0.85;38' Total xG: 1.47;38' Total xG: 0.85;39' Total xG: 1.47;39' Total xG: 0.85;40' Total xG: 1.47;40' Total xG: 0.85;41' Total xG: 1.47;41' Total xG: 0.85;42' Total xG: 1.47;42' Total xG: 0.85;43' Total xG: 1.47;43' Total xG: 0.85;44' Total xG: 1.47;44' Total xG: 0.85;45' Total xG: 1.47;45' Total xG: 0.85;46' Total xG: 1.47;46' Total xG: 0.85;47' Total xG: 1.63;47' Total xG: 0.85;48' Total xG: 1.63;48' Total xG: 0.85;49' Total xG: 1.63;49' Total xG: 0.89;50' Total xG: 1.63;50' Total xG: 0.89;51' Total xG: 1.63;51' Total xG: 0.89;52' Total xG: 1.63;52' Total xG: 0.89;53' Total xG: 1.65;53' Total xG: 0.89;54' Total xG: 1.65;54' Total xG: 0.89;55' Total xG: 1.65;55' Total xG: 0.89;56' Total xG: 1.65;56' Total xG: 1.52
Ermedin Demirovic - Shot xG: 0.63;57' Total xG: 1.65;57' Total xG: 1.52;58' Total xG: 1.65;58' Total xG: 1.52;59' Total xG: 1.65;59' Total xG: 1.52;60' Total xG: 1.65;60' Total xG: 2.13
Ermedin Demirovic - Shot xG: 0.50;61' Total xG: 1.65;61' Total xG: 2.13;62' Total xG: 1.65;62' Total xG: 2.13;63' Total xG: 1.65;63' Total xG: 2.13;64' Total xG: 1.65;64' Total xG: 2.13;65' Total xG: 1.65;65' Total xG: 2.13;66' Total xG: 1.65;66' Total xG: 2.13;67' Total xG: 1.69;67' Total xG: 2.13;68' Total xG: 1.69;68' Total xG: 2.13;69' Total xG: 1.69;69' Total xG: 2.13;70' Total xG: 1.69;70' Total xG: 2.13;71' Total xG: 1.69;71' Total xG: 2.13;72' Total xG: 1.75;72' Total xG: 2.13;73' Total xG: 1.75;73' Total xG: 2.13;75' Total xG: 1.75;75' Total xG: 2.13;76' Total xG: 1.75;76' Total xG: 2.13;77' Total xG: 1.75;77' Total xG: 2.13;78' Total xG: 1.75;78' Total xG: 2.16;79' Total xG: 1.75;79' Total xG: 2.16;80' Total xG: 1.75;80' Total xG: 2.47;81' Total xG: 1.75;81' Total xG: 2.47;82' Total xG: 1.75;82' Total xG: 2.47;83' Total xG: 1.75;83' Total xG: 2.63;84' Total xG: 1.75;84' Total xG: 2.63;85' Total xG: 1.75;85' Total xG: 2.63;86' Total xG: 1.75;86' Total xG: 2.63;87' Total xG: 2.04;87' Total xG: 2.63;88' Total xG: 2.04;88' Total xG: 2.63;89' Total xG: 2.04;89' Total xG: 2.63;90' Total xG: 2.05;90' Total xG: 2.72;90' Total xG: 2.05;90' Total xG: 2.72;90' Total xG: 2.05;90' Total xG: 2.72",https://understat.com/match/27765,1
1,Bayer Leverkusen,2,3.42,26,10,16,15.00,2.49,RasenBallsport Leipzig,3,1.51,8,4,2,12.39,0.37,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.00;1' Total xG: 0.00;2' Total xG: 0.00;2' Total xG: 0.00;3' Total xG: 0.00;3' Total xG: 0.00;4' Total xG: 0.00;4' Total xG: 0.00;5' Total xG: 0.09;5' Total xG: 0.00;6' Total xG: 0.12;6' Total xG: 0.00;7' Total xG: 0.12;7' Total xG: 0.00;8' Total xG: 0.12;8' Total xG: 0.00;9' Total xG: 0.65;9' Total xG: 0.00;10' Total xG: 0.65;10' Total xG: 0.00;11' Total xG: 0.65;11' Total xG: 0.00;13' Total xG: 0.65;13' Total xG: 0.00;14' Total xG: 0.69;14' Total xG: 0.00;15' Total xG: 0.69;15' Total xG: 0.00;16' Total xG: 0.70;16' Total xG: 0.00;17' Total xG: 0.70;17' Total xG: 0.00;18' Total xG: 0.70;18' Total xG: 0.00;19' Total xG: 0.70;19' Total xG: 0.00;20' Total xG: 0.70;20' Total xG: 0.00;21' Total xG: 0.70;21' Total xG: 0.00;22' Total xG: 0.70;22' Total xG: 0.00;23' Total xG: 0.70;23' Total xG: 0.00;24' Total xG: 0.70;24' Total xG: 0.00;25' Total xG: 0.70;25' Total xG: 0.00;27' Total xG: 0.70;27' Total xG: 0.04;28' Total xG: 0.70;28' Total xG: 0.04;29' Total xG: 0.70;29' Total xG: 0.04;30' Total xG: 0.70;30' Total xG: 0.04;31' Total xG: 0.70;31' Total xG: 0.60;32' Total xG: 0.70;32' Total xG: 0.60;33' Total xG: 0.70;33' Total xG: 0.60;34' Total xG: 0.70;34' Total xG: 0.60;35' Total xG: 0.70;35' Total xG: 0.60;36' Total xG: 0.70;36' Total xG: 0.60;37' Total xG: 1.14
Jeremie Frimpong - Shot xG: 0.44;37' Total xG: 0.60;39' Total xG: 1.14;39' Total xG: 0.60;40' Total xG: 1.14;40' Total xG: 0.60;41' Total xG: 1.17;41' Total xG: 0.60;42' Total xG: 1.23;42' Total xG: 0.60;43' Total xG: 1.23;43' Total xG: 0.60;44' Total xG: 1.77
Álex Grimaldo - Shot xG: 0.55;44' Total xG: 0.60;45' Total xG: 1.95;45' Total xG: 0.60;46' Total xG: 1.95;46' Total xG: 0.60;47' Total xG: 2.24;47' Total xG: 0.60;48' Total xG: 2.24;48' Total xG: 0.60;49' Total xG: 2.24;49' Total xG: 0.60;51' Total xG: 2.24;51' Total xG: 1.09
Kevin Kampl - Shot xG: 0.48;52' Total xG: 2.24;52' Total xG: 1.09;53' Total xG: 2.27;53' Total xG: 1.09;54' Total xG: 2.27;54' Total xG: 1.09;55' Total xG: 2.30;55' Total xG: 1.09;56' Total xG: 2.84;56' Total xG: 1.39
Loïs Openda - Shot xG: 0.30;57' Total xG: 2.84;57' Total xG: 1.39;58' Total xG: 2.84;58' Total xG: 1.39;59' Total xG: 2.89;59' Total xG: 1.39;60' Total xG: 2.89;60' Total xG: 1.39;61' Total xG: 2.89;61' Total xG: 1.39;63' Total xG: 2.89;63' Total xG: 1.39;64' Total xG: 2.89;64' Total xG: 1.39;65' Total xG: 2.89;65' Total xG: 1.39;66' Total xG: 2.89;66' Total xG: 1.46;67' Total xG: 2.93;67' Total xG: 1.46;68' Total xG: 2.93;68' Total xG: 1.46;69' Total xG: 2.93;69' Total xG: 1.46;70' Total xG: 2.93;70' Total xG: 1.46;71' Total xG: 2.93;71' Total xG: 1.46;72' Total xG: 2.93;72' Total xG: 1.49;73' Total xG: 3.01;73' Total xG: 1.49;75' Total xG: 3.11;75' Total xG: 1.49;76' Total xG: 3.11;76' Total xG: 1.49;77' Total xG: 3.11;77' Total xG: 1.49;78' Total xG: 3.11;78' Total xG: 1.49;79' Total xG: 3.11;79' Total xG: 1.51
Loïs Openda - Shot xG: 0.02;80' Total xG: 3.11;80' Total xG: 1.51;81' Total xG: 3.11;81' Total xG: 1.51;82' Total xG: 3.11;82' Total xG: 1.51;83' Total xG: 3.13;83' Total xG: 1.51;84' Total xG: 3.15;84' Total xG: 1.51;85' Total xG: 3.15;85' Total xG: 1.51;87' Total xG: 3.15;87' Total xG: 1.51;88' Total xG: 3.15;88' Total xG: 1.51;89' Total xG: 3.15;89' Total xG: 1.51;90' Total xG: 3.15;90' Total xG: 1.51;91' Total xG: 3.15;91' Total xG: 1.51;92' Total xG: 3.25;92' Total xG: 1.51;93' Total xG: 3.25;93' Total xG: 1.51;94' Total xG: 3.30;94' Total xG: 1.51;95' Total xG: 3.30;95' Total xG: 1.51;96' Total xG: 3.30;96' Total xG: 1.51;97' Total xG: 3.42;97' Total xG: 1.51;97' Total xG: 3.42;97' Total xG: 1.51",https://understat.com/match/27757,2
2,Bayern Munich,2,1.63,12,3,12,9.35,1.94,Freiburg,0,0.97,9,3,4,18.00,0.73,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.00;1' Total xG: 0.00;2' Total xG: 0.00;2' Total xG: 0.00;3' Total xG: 0.00;3' Total xG: 0.01;4' Total xG: 0.00;4' Total xG: 0.01;5' Total xG: 0.00;5' Total xG: 0.01;6' Total xG: 0.00;6' Total xG: 0.01;8' Total xG: 0.00;8' Total xG: 0.01;9' Total xG: 0.00;9' Total xG: 0.01;10' Total xG: 0.00;10' Total xG: 0.01;11' Total xG: 0.00;11' Total xG: 0.01;12' Total xG: 0.00;12' Total xG: 0.01;13' Total xG: 0.00;13' Total xG: 0.01;14' Total xG: 0.00;14' Total xG: 0.01;15' Total xG: 0.00;15' Total xG: 0.01;16' Total xG: 0.00;16' Total xG: 0.01;17' Total xG: 0.00;17' Total xG: 0.01;18' Total xG: 0.07;18' Total xG: 0.01;19' Total xG: 0.07;19' Total xG: 0.01;21' Total xG: 0.24;21' Total xG: 0.01;22' Total xG: 0.24;22' Total xG: 0.01;23' Total xG: 0.24;23' Total xG: 0.01;24' Total xG: 0.24;24' Total xG: 0.01;25' Total xG: 0.24;25' Total xG: 0.01;26' Total xG: 0.24;26' Total xG: 0.01;27' Total xG: 0.24;27' Total xG: 0.01;28' Total xG: 0.24;28' Total xG: 0.01;29' Total xG: 0.24;29' Total xG: 0.01;30' Total xG: 0.27;30' Total xG: 0.01;32' Total xG: 0.27;32' Total xG: 0.01;33' Total xG: 0.27;33' Total xG: 0.01;34' Total xG: 0.32;34' Total xG: 0.01;35' Total xG: 0.32;35' Total xG: 0.01;36' Total xG: 0.32;36' Total xG: 0.01;37' Total xG: 1.08
Harry Kane - Shot xG: 0.76;37' Total xG: 0.01;38' Total xG: 1.08;38' Total xG: 0.01;39' Total xG: 1.17;39' Total xG: 0.06;40' Total xG: 1.17;40' Total xG: 0.06;41' Total xG: 1.17;41' Total xG: 0.06;43' Total xG: 1.17;43' Total xG: 0.06;44' Total xG: 1.17;44' Total xG: 0.07;45' Total xG: 1.17;45' Total xG: 0.07;46' Total xG: 1.17;46' Total xG: 0.07;47' Total xG: 1.17;47' Total xG: 0.07;48' Total xG: 1.17;48' Total xG: 0.07;49' Total xG: 1.17;49' Total xG: 0.07;50' Total xG: 1.17;50' Total xG: 0.07;51' Total xG: 1.17;51' Total xG: 0.07;52' Total xG: 1.17;52' Total xG: 0.07;54' Total xG: 1.17;54' Total xG: 0.07;55' Total xG: 1.17;55' Total xG: 0.07;56' Total xG: 1.17;56' Total xG: 0.08;57' Total xG: 1.17;57' Total xG: 0.08;58' Total xG: 1.17;58' Total xG: 0.08;59' Total xG: 1.17;59' Total xG: 0.14;60' Total xG: 1.17;60' Total xG: 0.14;61' Total xG: 1.17;61' Total xG: 0.14;62' Total xG: 1.17;62' Total xG: 0.14;63' Total xG: 1.17;63' Total xG: 0.14;65' Total xG: 1.17;65' Total xG: 0.14;66' Total xG: 1.17;66' Total xG: 0.14;67' Total xG: 1.17;67' Total xG: 0.14;68' Total xG: 1.17;68' Total xG: 0.14;69' Total xG: 1.17;69' Total xG: 0.14;70' Total xG: 1.17;70' Total xG: 0.14;71' Total xG: 1.28;71' Total xG: 0.14;72' Total xG: 1.28;72' Total xG: 0.14;73' Total xG: 1.28;73' Total xG: 0.14;75' Total xG: 1.29;75' Total xG: 0.14;76' Total xG: 1.29;76' Total xG: 0.14;77' Total xG: 1.58
Thomas Müller - Shot xG: 0.28;77' Total xG: 0.14;78' Total xG: 1.58;78' Total xG: 0.16;79' Total xG: 1.58;79' Total xG: 0.16;80' Total xG: 1.58;80' Total xG: 0.16;81' Total xG: 1.58;81' Total xG: 0.16;82' Total xG: 1.58;82' Total xG: 0.16;83' Total xG: 1.58;83' Total xG: 0.16;84' Total xG: 1.58;84' Total xG: 0.16;86' Total xG: 1.58;86' Total xG: 0.16;87' Total xG: 1.58;87' Total xG: 0.17;88' Total xG: 1.58;88' Total xG: 0.17;89' Total xG: 1.58;89' Total xG: 0.17;90' Total xG: 1.58;90' Total xG: 0.17;91' Total xG: 1.58;91' Total xG: 0.17;92' Total xG: 1.63;92' Total xG: 0.17;93' Total xG: 1.63;93' Total xG: 0.17;94' Total xG: 1.63;94' Total xG: 0.21;95' Total xG: 1.63;95' Total xG: 0.97;95' Total xG: 1.63;95' Total xG: 0.97",https://understat.com/match/27759,3
3,Hoffenheim,3,1.79,10,5,4,20.08,0.28,Werder Bremen,4,4.07,23,10,13,6.61,2.61,"0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;0' Total xG: 0.00;0' Total xG: 0.08;1' Total xG: 0.00;1' Total xG: 0.08;2' Total xG: 0.11;2' Total xG: 0.08;3' Total xG: 0.11;3' Total xG: 0.08;4' Total xG: 0.49
Marius Bülter - Shot xG: 0.38;4' Total xG: 0.08;5' Total xG: 0.49;5' Total xG: 0.08;6' Total xG: 0.49;6' Total xG: 0.08;7' Total xG: 0.90
Marius Bülter - Shot xG: 0.41;7' Total xG: 0.08;8' Total xG: 0.90;8' Total xG: 0.08;9' Total xG: 0.90;9' Total xG: 0.08;10' Total xG: 0.90;10' Total xG: 0.08;11' Total xG: 1.55
Adam Hlozek - Shot xG: 0.65;11' Total xG: 0.08;12' Total xG: 1.55;12' Total xG: 0.08;13' Total xG: 1.55;13' Total xG: 0.08;14' Total xG: 1.55;14' Total xG: 0.08;15' Total xG: 1.55;15' Total xG: 0.08;16' Total xG: 1.60;16' Total xG: 0.08;17' Total xG: 1.60;17' Total xG: 0.08;19' Total xG: 1.60;19' Total xG: 0.19;20' Total xG: 1.60;20' Total xG: 0.30
Julián Malatini - Shot xG: 0.11;21' Total xG: 1.60;21' Total xG: 0.30;22' Total xG: 1.60;22' Total xG: 0.30;23' Total xG: 1.60;23' Total xG: 0.30;24' Total xG: 1.66;24' Total xG: 0.30;25' Total xG: 1.66;25' Total xG: 0.99
Jens Stage - Shot xG: 0.58;26' Total xG: 1.66;26' Total xG: 0.99;27' Total xG: 1.66;27' Total xG: 0.99;28' Total xG: 1.66;28' Total xG: 0.99;29' Total xG: 1.66;29' Total xG: 0.99;30' Total xG: 1.66;30' Total xG: 0.99;31' Total xG: 1.66;31' Total xG: 0.99;32' Total xG: 1.66;32' Total xG: 0.99;33' Total xG: 1.66;33' Total xG: 0.99;35' Total xG: 1.66;35' Total xG: 0.99;36' Total xG: 1.66;36' Total xG: 1.43;37' Total xG: 1.66;37' Total xG: 1.43;38' Total xG: 1.66;38' Total xG: 2.35
Jens Stage - Shot xG: 0.92;39' Total xG: 1.66;39' Total xG: 2.49;40' Total xG: 1.66;40' Total xG: 2.49;41' Total xG: 1.66;41' Total xG: 2.49;42' Total xG: 1.66;42' Total xG: 2.49;43' Total xG: 1.66;43' Total xG: 2.49;44' Total xG: 1.66;44' Total xG: 2.54;45' Total xG: 1.66;45' Total xG: 2.54;46' Total xG: 1.66;46' Total xG: 2.54;47' Total xG: 1.68;47' Total xG: 2.68;48' Total xG: 1.68;48' Total xG: 3.17
Jens Stage - Shot xG: 0.37;49' Total xG: 1.68;49' Total xG: 3.17;51' Total xG: 1.68;51' Total xG: 3.17;52' Total xG: 1.68;52' Total xG: 3.20;53' Total xG: 1.68;53' Total xG: 3.20;54' Total xG: 1.68;54' Total xG: 3.20;55' Total xG: 1.68;55' Total xG: 3.31;56' Total xG: 1.68;56' Total xG: 3.31;57' Total xG: 1.68;57' Total xG: 3.31;58' Total xG: 1.68;58' Total xG: 3.31;59' Total xG: 1.68;59' Total xG: 3.40;60' Total xG: 1.68;60' Total xG: 3.40;61' Total xG: 1.68;61' Total xG: 3.40;62' Total xG: 1.68;62' Total xG: 3.40;63' Total xG: 1.68;63' Total xG: 3.40;64' Total xG: 1.68;64' Total xG: 3.40;66' Total xG: 1.68;66' Total xG: 3.40;67' Total xG: 1.68;67' Total xG: 3.40;68' Total xG: 1.68;68' Total xG: 3.40;69' Total xG: 1.68;69' Total xG: 3.40;70' Total xG: 1.68;70' Total xG: 3.40;71' Total xG: 1.68;71' Total xG: 3.40;72' Total xG: 1.68;72' Total xG: 3.40;73' Total xG: 1.68;73' Total xG: 3.40;74' Total xG: 1.68;74' Total xG: 3.40;75' Total xG: 1.68;75' Total xG: 3.40;76' Total xG: 1.68;76' Total xG: 3.40;77' Total xG: 1.68;77' Total xG: 3.40;78' Total xG: 1.68;78' Total xG: 3.40;79' Total xG: 1.68;79' Total xG: 3.40;80' Total xG: 1.74;80' Total xG: 3.40;82' Total xG: 1.79;82' Total xG: 3.40;83' Total xG: 1.79;83' Total xG: 3.40;84' Total xG: 1.79;84' Total xG: 3.40;85' Total xG: 1.79;85' Total xG: 3.40;86' Total xG: 1.79;86' Total xG: 3.40;87' Total xG: 1.79;87' Total xG: 3.40;88' Total xG: 1.79;88' Total xG: 3.40;89' Total xG: 1.79;89' Total xG: 3.40;90' Total xG: 1.79;90' Total xG: 3.40;91' Total xG: 1.79;91' Total xG: 3.40;92' Total xG: 1.79;92' Total xG: 3.40;93' Total xG: 1.79;93' Total xG: 3.40;94' Total xG: 1.79;94' Total xG: 3.40;95' Total xG: 1.79;95' Total xG: 4.07;95' Total xG: 1.79;95' Total xG: 4.07",https://understat.com/match/27786,4
4,Mainz 05,1,1.77,14,3,8,13.17,2.20,Union Berlin,1,0.73,15,5,4,8.79,0.58,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.00;1' Total xG: 0.00;2' Total xG: 0.00;2' Total xG: 0.00;3' Total xG: 0.00;3' Total xG: 0.00;4' Total xG: 0.00;4' Total xG: 0.00;5' Total xG: 0.00;5' Total xG: 0.00;6' Total xG: 0.00;6' Total xG: 0.00;8' Total xG: 0.00;8' Total xG: 0.00;9' Total xG: 0.05;9' Total xG: 0.00;10' Total xG: 0.05;10' Total xG: 0.00;11' Total xG: 0.05;11' Total xG: 0.00;12' Total xG: 0.05;12' Total xG: 0.00;13' Total xG: 0.05;13' Total xG: 0.00;14' Total xG: 0.05;14' Total xG: 0.04;15' Total xG: 0.05;15' Total xG: 0.04;16' Total xG: 0.05;16' Total xG: 0.04;17' Total xG: 0.05;17' Total xG: 0.06;18' Total xG: 0.41;18' Total xG: 0.11;19' Total xG: 0.41;19' Total xG: 0.11;21' Total xG: 0.41;21' Total xG: 0.16;22' Total xG: 0.41;22' Total xG: 0.16;23' Total xG: 0.41;23' Total xG: 0.16;24' Total xG: 0.41;24' Total xG: 0.16;25' Total xG: 0.41;25' Total xG: 0.16;26' Total xG: 0.41;26' Total xG: 0.16;27' Total xG: 0.41;27' Total xG: 0.16;28' Total xG: 0.41;28' Total xG: 0.16;29' Total xG: 0.41;29' Total xG: 0.16;30' Total xG: 0.41;30' Total xG: 0.16;32' Total xG: 0.41;32' Total xG: 0.16;33' Total xG: 0.41;33' Total xG: 0.16;34' Total xG: 0.41;34' Total xG: 0.16;35' Total xG: 0.41;35' Total xG: 0.16;36' Total xG: 0.41;36' Total xG: 0.16;37' Total xG: 0.41;37' Total xG: 0.16;38' Total xG: 0.41;38' Total xG: 0.16;39' Total xG: 0.47;39' Total xG: 0.16;40' Total xG: 0.47;40' Total xG: 0.16;41' Total xG: 0.47;41' Total xG: 0.20;43' Total xG: 0.50;43' Total xG: 0.20;44' Total xG: 0.50;44' Total xG: 0.21;45' Total xG: 0.56;45' Total xG: 0.21;46' Total xG: 0.56;46' Total xG: 0.21;47' Total xG: 0.56;47' Total xG: 0.21;48' Total xG: 1.09;48' Total xG: 0.21;49' Total xG: 1.09;49' Total xG: 0.21;50' Total xG: 1.09;50' Total xG: 0.21;51' Total xG: 1.09;51' Total xG: 0.21;52' Total xG: 1.16
Nadiem Amiri - Shot xG: 0.07;52' Total xG: 0.21;54' Total xG: 1.16;54' Total xG: 0.21;55' Total xG: 1.16;55' Total xG: 0.21;56' Total xG: 1.16;56' Total xG: 0.21;57' Total xG: 1.16;57' Total xG: 0.21;58' Total xG: 1.16;58' Total xG: 0.21;59' Total xG: 1.17;59' Total xG: 0.21;60' Total xG: 1.17;60' Total xG: 0.21;61' Total xG: 1.17;61' Total xG: 0.21;62' Total xG: 1.17;62' Total xG: 0.21;63' Total xG: 1.17;63' Total xG: 0.21;65' Total xG: 1.18;65' Total xG: 0.21;66' Total xG: 1.18;66' Total xG: 0.21;67' Total xG: 1.18;67' Total xG: 0.21;68' Total xG: 1.18;68' Total xG: 0.21;69' Total xG: 1.18;69' Total xG: 0.21;70' Total xG: 1.18;70' Total xG: 0.21;71' Total xG: 1.18;71' Total xG: 0.25;72' Total xG: 1.18;72' Total xG: 0.25;73' Total xG: 1.18;73' Total xG: 0.30
László Bénes - Shot xG: 0.05;75' Total xG: 1.18;75' Total xG: 0.30;76' Total xG: 1.18;76' Total xG: 0.30;77' Total xG: 1.18;77' Total xG: 0.30;78' Total xG: 1.18;78' Total xG: 0.30;79' Total xG: 1.18;79' Total xG: 0.30;80' Total xG: 1.18;80' Total xG: 0.30;81' Total xG: 1.18;81' Total xG: 0.30;82' Total xG: 1.18;82' Total xG: 0.30;83' Total xG: 1.18;83' Total xG: 0.65;84' Total xG: 1.18;84' Total xG: 0.65;86' Total xG: 1.18;86' Total xG: 0.69;87' Total xG: 1.18;87' Total xG: 0.69;88' Total xG: 1.18;88' Total xG: 0.69;89' Total xG: 1.18;89' Total xG: 0.69;90' Total xG: 1.18;90' Total xG: 0.69;91' Total xG: 1.18;91' Total xG: 0.69;92' Total xG: 1.33;92' Total xG: 0.69;93' Total xG: 1.33;93' Total xG: 0.69;94' Total xG: 1.77;94' Total xG: 0.69;95' Total xG: 1.77;95' Total xG: 0.73;95' Total xG: 1.77;95' Total xG: 0.73",https://understat.com/match/27747,5
