,TEAMS,GOALS,XG,SHOTS,SHOTS_ON_TARGET,DEEP,PPDA,XPTS,A_TEAMS,A_GOALS,A_XG,A_SHOTS,A_SHOTS_ON_TARGET,A_DEEP,A_PPDA,A_XPTS,TIMING_CHART_XG,GAMEURL,ID
0,Leganes,1,0.77,9,3,3,19.86,0.16,Atletico Madrid,0,3.06,19,4,11,21.33,2.76,"0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;0' Total xG: 0.06;0' Total xG: 0.00;1' Total xG: 0.06;1' Total xG: 0.00;2' Total xG: 0.06;2' Total xG: 0.01;3' Total xG: 0.06;3' Total xG: 0.01;4' Total xG: 0.06;4' Total xG: 0.01;5' Total xG: 0.06;5' Total xG: 0.01;6' Total xG: 0.06;6' Total xG: 0.01;7' Total xG: 0.06;7' Total xG: 0.01;7' Total xG: 0.06;7' Total xG: 0.01;8' Total xG: 0.06;8' Total xG: 0.01;9' Total xG: 0.06;9' Total xG: 0.01;10' Total xG: 0.06;10' Total xG: 0.01;11' Total xG: 0.06;11' Total xG: 0.07;12' Total xG: 0.06;12' Total xG: 0.07;13' Total xG: 0.06;13' Total xG: 0.54;14' Total xG: 0.06;14' Total xG: 0.54;15' Total xG: 0.06;15' Total xG: 0.54;16' Total xG: 0.06;16' Total xG: 0.54;17' Total xG: 0.06;17' Total xG: 0.54;18' Total xG: 0.39;18' Total xG: 0.54;18' Total xG: 0.39;18' Total xG: 0.54;19' Total xG: 0.39;19' Total xG: 0.54;20' Total xG: 0.39;20' Total xG: 0.57;21' Total xG: 0.39;21' Total xG: 0.57;22' Total xG: 0.39;22' Total xG: 0.57;23' Total xG: 0.39;23' Total xG: 0.57;24' Total xG: 0.39;24' Total xG: 0.57;25' Total xG: 0.39;25' Total xG: 1.35;26' Total xG: 0.39;26' Total xG: 1.43;27' Total xG: 0.39;27' Total xG: 1.43;28' Total xG: 0.39;28' Total xG: 1.43;28' Total xG: 0.39;28' Total xG: 1.43;29' Total xG: 0.39;29' Total xG: 1.51;30' Total xG: 0.39;30' Total xG: 1.51;31' Total xG: 0.42;31' Total xG: 1.51;32' Total xG: 0.42;32' Total xG: 1.51;33' Total xG: 0.42;33' Total xG: 1.52;34' Total xG: 0.42;34' Total xG: 1.52;35' Total xG: 0.42;35' Total xG: 1.52;36' Total xG: 0.42;36' Total xG: 1.52;37' Total xG: 0.42;37' Total xG: 1.52;38' Total xG: 0.42;38' Total xG: 1.52;39' Total xG: 0.42;39' Total xG: 1.52;39' Total xG: 0.42;39' Total xG: 1.52;40' Total xG: 0.42;40' Total xG: 1.52;41' Total xG: 0.42;41' Total xG: 1.52;42' Total xG: 0.42;42' Total xG: 1.52;43' Total xG: 0.42;43' Total xG: 1.52;44' Total xG: 0.42;44' Total xG: 1.52;45' Total xG: 0.42;45' Total xG: 1.52;46' Total xG: 0.42;46' Total xG: 1.52;47' Total xG: 0.42;47' Total xG: 1.52;48' Total xG: 0.52
Matija Nastasic - Shot xG: 0.11;48' Total xG: 1.52;49' Total xG: 0.52;49' Total xG: 1.52;49' Total xG: 0.52;49' Total xG: 1.52;50' Total xG: 0.52;50' Total xG: 1.52;51' Total xG: 0.52;51' Total xG: 1.52;52' Total xG: 0.52;52' Total xG: 1.52;53' Total xG: 0.52;53' Total xG: 1.60;54' Total xG: 0.52;54' Total xG: 1.60;55' Total xG: 0.52;55' Total xG: 1.60;56' Total xG: 0.52;56' Total xG: 1.60;57' Total xG: 0.52;57' Total xG: 1.60;58' Total xG: 0.52;58' Total xG: 1.60;59' Total xG: 0.52;59' Total xG: 1.60;59' Total xG: 0.52;59' Total xG: 1.60;60' Total xG: 0.52;60' Total xG: 1.60;61' Total xG: 0.52;61' Total xG: 1.60;62' Total xG: 0.52;62' Total xG: 1.60;63' Total xG: 0.52;63' Total xG: 1.60;64' Total xG: 0.52;64' Total xG: 1.60;65' Total xG: 0.52;65' Total xG: 1.60;66' Total xG: 0.52;66' Total xG: 1.63;67' Total xG: 0.52;67' Total xG: 1.63;68' Total xG: 0.52;68' Total xG: 1.63;69' Total xG: 0.52;69' Total xG: 1.63;70' Total xG: 0.52;70' Total xG: 1.63;70' Total xG: 0.52;70' Total xG: 1.63;71' Total xG: 0.52;71' Total xG: 1.63;72' Total xG: 0.70;72' Total xG: 1.63;73' Total xG: 0.70;73' Total xG: 1.63;74' Total xG: 0.70;74' Total xG: 1.63;75' Total xG: 0.77;75' Total xG: 1.63;76' Total xG: 0.77;76' Total xG: 1.63;77' Total xG: 0.77;77' Total xG: 1.63;78' Total xG: 0.77;78' Total xG: 1.63;79' Total xG: 0.77;79' Total xG: 1.68;80' Total xG: 0.77;80' Total xG: 1.78;80' Total xG: 0.77;80' Total xG: 1.78;81' Total xG: 0.77;81' Total xG: 1.78;82' Total xG: 0.77;82' Total xG: 1.78;83' Total xG: 0.77;83' Total xG: 1.85;84' Total xG: 0.77;84' Total xG: 1.85;85' Total xG: 0.77;85' Total xG: 1.85;86' Total xG: 0.77;86' Total xG: 1.85;87' Total xG: 0.77;87' Total xG: 1.85;88' Total xG: 0.77;88' Total xG: 1.85;89' Total xG: 0.77;89' Total xG: 2.59;90' Total xG: 0.77;90' Total xG: 2.59;91' Total xG: 0.77;91' Total xG: 2.59;91' Total xG: 0.77;91' Total xG: 2.59;92' Total xG: 0.77;92' Total xG: 2.59;93' Total xG: 0.77;93' Total xG: 2.59;94' Total xG: 0.77;94' Total xG: 2.59;95' Total xG: 0.77;95' Total xG: 2.59;96' Total xG: 0.77;96' Total xG: 3.06;96' Total xG: 0.77;96' Total xG: 3.06",https://understat.com/match/27176,
1,Valencia,1,1.77,7,2,4,13.71,2.24,Real Sociedad,0,0.76,9,3,12,5.59,0.54,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.02;1' Total xG: 0.00;2' Total xG: 0.02;2' Total xG: 0.00;3' Total xG: 0.44;3' Total xG: 0.00;4' Total xG: 0.44;4' Total xG: 0.00;5' Total xG: 0.44;5' Total xG: 0.00;5' Total xG: 0.44;5' Total xG: 0.00;6' Total xG: 0.44;6' Total xG: 0.00;7' Total xG: 0.44;7' Total xG: 0.00;8' Total xG: 0.44;8' Total xG: 0.00;9' Total xG: 0.44;9' Total xG: 0.29;10' Total xG: 0.44;10' Total xG: 0.29;11' Total xG: 0.44;11' Total xG: 0.29;12' Total xG: 0.44;12' Total xG: 0.29;13' Total xG: 0.44;13' Total xG: 0.29;14' Total xG: 0.44;14' Total xG: 0.29;15' Total xG: 0.44;15' Total xG: 0.29;15' Total xG: 0.44;15' Total xG: 0.29;16' Total xG: 0.44;16' Total xG: 0.29;17' Total xG: 0.44;17' Total xG: 0.29;18' Total xG: 0.44;18' Total xG: 0.29;19' Total xG: 0.44;19' Total xG: 0.29;20' Total xG: 0.44;20' Total xG: 0.29;21' Total xG: 0.44;21' Total xG: 0.29;22' Total xG: 0.44;22' Total xG: 0.29;23' Total xG: 0.44;23' Total xG: 0.29;24' Total xG: 0.44;24' Total xG: 0.29;24' Total xG: 0.44;24' Total xG: 0.29;25' Total xG: 1.06
Hugo Duro - Shot xG: 0.60;25' Total xG: 0.29;26' Total xG: 1.06;26' Total xG: 0.29;27' Total xG: 1.06;27' Total xG: 0.29;28' Total xG: 1.06;28' Total xG: 0.29;29' Total xG: 1.06;29' Total xG: 0.29;30' Total xG: 1.06;30' Total xG: 0.29;31' Total xG: 1.06;31' Total xG: 0.47;32' Total xG: 1.06;32' Total xG: 0.47;33' Total xG: 1.06;33' Total xG: 0.47;34' Total xG: 1.06;34' Total xG: 0.47;34' Total xG: 1.06;34' Total xG: 0.47;35' Total xG: 1.06;35' Total xG: 0.47;36' Total xG: 1.06;36' Total xG: 0.52;37' Total xG: 1.06;37' Total xG: 0.52;38' Total xG: 1.06;38' Total xG: 0.52;39' Total xG: 1.06;39' Total xG: 0.52;40' Total xG: 1.06;40' Total xG: 0.53;41' Total xG: 1.06;41' Total xG: 0.53;42' Total xG: 1.06;42' Total xG: 0.53;43' Total xG: 1.06;43' Total xG: 0.53;43' Total xG: 1.06;43' Total xG: 0.53;44' Total xG: 1.06;44' Total xG: 0.53;45' Total xG: 1.06;45' Total xG: 0.53;46' Total xG: 1.06;46' Total xG: 0.53;47' Total xG: 1.06;47' Total xG: 0.53;48' Total xG: 1.06;48' Total xG: 0.53;49' Total xG: 1.06;49' Total xG: 0.53;50' Total xG: 1.06;50' Total xG: 0.53;51' Total xG: 1.06;51' Total xG: 0.53;52' Total xG: 1.06;52' Total xG: 0.63;52' Total xG: 1.06;52' Total xG: 0.63;53' Total xG: 1.06;53' Total xG: 0.63;54' Total xG: 1.06;54' Total xG: 0.63;55' Total xG: 1.06;55' Total xG: 0.63;56' Total xG: 1.06;56' Total xG: 0.63;57' Total xG: 1.06;57' Total xG: 0.63;58' Total xG: 1.06;58' Total xG: 0.63;59' Total xG: 1.06;59' Total xG: 0.63;60' Total xG: 1.22;60' Total xG: 0.63;61' Total xG: 1.22;61' Total xG: 0.63;62' Total xG: 1.22;62' Total xG: 0.63;62' Total xG: 1.22;62' Total xG: 0.63;63' Total xG: 1.22;63' Total xG: 0.63;64' Total xG: 1.22;64' Total xG: 0.69;65' Total xG: 1.22;65' Total xG: 0.69;66' Total xG: 1.22;66' Total xG: 0.69;67' Total xG: 1.22;67' Total xG: 0.69;68' Total xG: 1.22;68' Total xG: 0.69;69' Total xG: 1.27;69' Total xG: 0.69;70' Total xG: 1.77;70' Total xG: 0.69;71' Total xG: 1.77;71' Total xG: 0.69;71' Total xG: 1.77;71' Total xG: 0.69;72' Total xG: 1.77;72' Total xG: 0.69;73' Total xG: 1.77;73' Total xG: 0.69;74' Total xG: 1.77;74' Total xG: 0.69;75' Total xG: 1.77;75' Total xG: 0.69;76' Total xG: 1.77;76' Total xG: 0.69;77' Total xG: 1.77;77' Total xG: 0.69;78' Total xG: 1.77;78' Total xG: 0.69;79' Total xG: 1.77;79' Total xG: 0.71;80' Total xG: 1.77;80' Total xG: 0.71;81' Total xG: 1.77;81' Total xG: 0.71;81' Total xG: 1.77;81' Total xG: 0.71;82' Total xG: 1.77;82' Total xG: 0.71;83' Total xG: 1.77;83' Total xG: 0.71;84' Total xG: 1.77;84' Total xG: 0.71;85' Total xG: 1.77;85' Total xG: 0.71;86' Total xG: 1.77;86' Total xG: 0.71;87' Total xG: 1.77;87' Total xG: 0.71;88' Total xG: 1.77;88' Total xG: 0.71;89' Total xG: 1.77;89' Total xG: 0.71;90' Total xG: 1.77;90' Total xG: 0.71;90' Total xG: 1.77;90' Total xG: 0.71;91' Total xG: 1.77;91' Total xG: 0.71;92' Total xG: 1.77;92' Total xG: 0.71;93' Total xG: 1.77;93' Total xG: 0.71;94' Total xG: 1.77;94' Total xG: 0.71;95' Total xG: 1.77;95' Total xG: 0.76;95' Total xG: 1.77;95' Total xG: 0.76",https://understat.com/match/27179,
2,Real Betis,1,0.5,7,2,5,13.94,0.42,Alaves,3,1.65,9,5,2,6.05,2.38,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.11;1' Total xG: 0.00;2' Total xG: 0.11;2' Total xG: 0.00;3' Total xG: 0.16;3' Total xG: 0.00;4' Total xG: 0.16;4' Total xG: 0.00;5' Total xG: 0.16;5' Total xG: 0.00;5' Total xG: 0.16;5' Total xG: 0.00;6' Total xG: 0.16;6' Total xG: 0.00;7' Total xG: 0.16;7' Total xG: 0.07;8' Total xG: 0.16;8' Total xG: 0.07;9' Total xG: 0.16;9' Total xG: 0.07;10' Total xG: 0.16;10' Total xG: 0.82
Kike García - Shot xG: 0.74;11' Total xG: 0.16;11' Total xG: 0.82;12' Total xG: 0.16;12' Total xG: 0.82;13' Total xG: 0.16;13' Total xG: 0.82;13' Total xG: 0.16;13' Total xG: 0.82;14' Total xG: 0.16;14' Total xG: 0.82;15' Total xG: 0.16;15' Total xG: 0.82;16' Total xG: 0.16;16' Total xG: 0.82;17' Total xG: 0.16;17' Total xG: 0.82;18' Total xG: 0.16;18' Total xG: 0.82;19' Total xG: 0.16;19' Total xG: 0.82;20' Total xG: 0.16;20' Total xG: 0.82;21' Total xG: 0.16;21' Total xG: 0.82;22' Total xG: 0.16;22' Total xG: 0.82;22' Total xG: 0.16;22' Total xG: 0.82;23' Total xG: 0.16;23' Total xG: 0.82;24' Total xG: 0.16;24' Total xG: 0.82;25' Total xG: 0.16;25' Total xG: 0.82;26' Total xG: 0.16;26' Total xG: 0.85;27' Total xG: 0.49
Jesús Rodriguez - Shot xG: 0.04;27' Total xG: 0.85;28' Total xG: 0.49;28' Total xG: 0.85;29' Total xG: 0.49;29' Total xG: 0.85;30' Total xG: 0.49;30' Total xG: 0.85;30' Total xG: 0.49;30' Total xG: 0.85;31' Total xG: 0.49;31' Total xG: 0.85;32' Total xG: 0.49;32' Total xG: 0.85;33' Total xG: 0.49;33' Total xG: 0.85;34' Total xG: 0.49;34' Total xG: 0.85;35' Total xG: 0.49;35' Total xG: 0.85;36' Total xG: 0.49;36' Total xG: 0.85;37' Total xG: 0.49;37' Total xG: 0.85;38' Total xG: 0.49;38' Total xG: 0.85;39' Total xG: 0.49;39' Total xG: 0.85;39' Total xG: 0.49;39' Total xG: 0.85;40' Total xG: 0.49;40' Total xG: 0.85;41' Total xG: 0.49;41' Total xG: 0.85;42' Total xG: 0.49;42' Total xG: 0.85;43' Total xG: 0.49;43' Total xG: 1.17;44' Total xG: 0.49;44' Total xG: 1.17;45' Total xG: 0.49;45' Total xG: 1.17;46' Total xG: 0.49;46' Total xG: 1.17;47' Total xG: 0.49;47' Total xG: 1.17;47' Total xG: 0.49;47' Total xG: 1.17;48' Total xG: 0.49;48' Total xG: 1.17;49' Total xG: 0.49;49' Total xG: 1.17;50' Total xG: 0.49;50' Total xG: 1.17;51' Total xG: 0.49;51' Total xG: 1.17;52' Total xG: 0.49;52' Total xG: 1.17;53' Total xG: 0.49;53' Total xG: 1.17;54' Total xG: 0.50;54' Total xG: 1.17;55' Total xG: 0.50;55' Total xG: 1.17;56' Total xG: 0.50;56' Total xG: 1.17;56' Total xG: 0.50;56' Total xG: 1.17;57' Total xG: 0.50;57' Total xG: 1.17;58' Total xG: 0.50;58' Total xG: 1.17;59' Total xG: 0.50;59' Total xG: 1.17;60' Total xG: 0.50;60' Total xG: 1.17;61' Total xG: 0.50;61' Total xG: 1.17;62' Total xG: 0.50;62' Total xG: 1.17;63' Total xG: 0.50;63' Total xG: 1.17;64' Total xG: 0.50;64' Total xG: 1.17;64' Total xG: 0.50;64' Total xG: 1.17;65' Total xG: 0.50;65' Total xG: 1.17;66' Total xG: 0.50;66' Total xG: 1.17;67' Total xG: 0.50;67' Total xG: 1.17;68' Total xG: 0.50;68' Total xG: 1.17;69' Total xG: 0.50;69' Total xG: 1.17;70' Total xG: 0.50;70' Total xG: 1.17;71' Total xG: 0.50;71' Total xG: 1.17;72' Total xG: 0.50;72' Total xG: 1.17;73' Total xG: 0.50;73' Total xG: 1.17;73' Total xG: 0.50;73' Total xG: 1.17;74' Total xG: 0.50;74' Total xG: 1.17;75' Total xG: 0.50;75' Total xG: 1.17;76' Total xG: 0.50;76' Total xG: 1.17;77' Total xG: 0.50;77' Total xG: 1.27;78' Total xG: 0.50;78' Total xG: 1.27;79' Total xG: 0.50;79' Total xG: 1.35
Kike García - Shot xG: 0.08;80' Total xG: 0.50;80' Total xG: 1.35;81' Total xG: 0.50;81' Total xG: 1.35;81' Total xG: 0.50;81' Total xG: 1.35;82' Total xG: 0.50;82' Total xG: 1.35;83' Total xG: 0.50;83' Total xG: 1.61
Kike García - Shot xG: 0.27;84' Total xG: 0.50;84' Total xG: 1.61;85' Total xG: 0.50;85' Total xG: 1.61;86' Total xG: 0.50;86' Total xG: 1.61;87' Total xG: 0.50;87' Total xG: 1.61;88' Total xG: 0.50;88' Total xG: 1.61;89' Total xG: 0.50;89' Total xG: 1.61;90' Total xG: 0.50;90' Total xG: 1.61;90' Total xG: 0.50;90' Total xG: 1.61;91' Total xG: 0.50;91' Total xG: 1.61;92' Total xG: 0.50;92' Total xG: 1.61;93' Total xG: 0.50;93' Total xG: 1.61;94' Total xG: 0.50;94' Total xG: 1.65;94' Total xG: 0.50;94' Total xG: 1.65",https://understat.com/match/27181,
3,Girona,1,1.14,7,4,8,10.6,0.25,Sevilla,2,3.09,14,6,5,14.3,2.63,"0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;0' Total xG: 0.00;1' Total xG: 0.00;1' Total xG: 0.00;2' Total xG: 0.00;2' Total xG: 0.74;3' Total xG: 0.00;3' Total xG: 0.74;4' Total xG: 0.00;4' Total xG: 0.74;5' Total xG: 0.00;5' Total xG: 0.74;6' Total xG: 0.00;6' Total xG: 0.74;6' Total xG: 0.00;6' Total xG: 0.74;7' Total xG: 0.00;7' Total xG: 0.74;8' Total xG: 0.00;8' Total xG: 0.74;9' Total xG: 0.00;9' Total xG: 0.74;10' Total xG: 0.00;10' Total xG: 0.74;11' Total xG: 0.00;11' Total xG: 0.74;12' Total xG: 0.00;12' Total xG: 1.33;13' Total xG: 0.00;13' Total xG: 1.33;14' Total xG: 0.00;14' Total xG: 1.39;15' Total xG: 0.00;15' Total xG: 1.39;16' Total xG: 0.02;16' Total xG: 1.43;16' Total xG: 0.02;16' Total xG: 1.43;17' Total xG: 0.02;17' Total xG: 1.43;18' Total xG: 0.02;18' Total xG: 1.43;19' Total xG: 0.02;19' Total xG: 1.43;20' Total xG: 0.02;20' Total xG: 1.43;21' Total xG: 0.02;21' Total xG: 1.43;22' Total xG: 0.02;22' Total xG: 1.43;23' Total xG: 0.02;23' Total xG: 1.43;24' Total xG: 0.02;24' Total xG: 1.43;25' Total xG: 0.02;25' Total xG: 1.43;25' Total xG: 0.02;25' Total xG: 1.43;26' Total xG: 0.50;26' Total xG: 1.43;27' Total xG: 0.50;27' Total xG: 1.43;28' Total xG: 0.50;28' Total xG: 1.43;29' Total xG: 0.50;29' Total xG: 1.43;30' Total xG: 0.50;30' Total xG: 1.43;31' Total xG: 0.50;31' Total xG: 1.43;32' Total xG: 0.50;32' Total xG: 1.43;33' Total xG: 0.50;33' Total xG: 1.43;34' Total xG: 0.50;34' Total xG: 1.83;34' Total xG: 0.50;34' Total xG: 1.83;35' Total xG: 0.89
Arnau Martinez - Shot xG: 0.39;35' Total xG: 1.83;36' Total xG: 0.89;36' Total xG: 1.83;37' Total xG: 0.89;37' Total xG: 1.83;38' Total xG: 0.89;38' Total xG: 1.83;39' Total xG: 0.89;39' Total xG: 1.83;40' Total xG: 0.89;40' Total xG: 1.83;41' Total xG: 0.89;41' Total xG: 1.83;42' Total xG: 0.89;42' Total xG: 1.83;43' Total xG: 0.89;43' Total xG: 1.83;44' Total xG: 0.89;44' Total xG: 1.83;44' Total xG: 0.89;44' Total xG: 1.83;45' Total xG: 0.89;45' Total xG: 1.83;46' Total xG: 0.89;46' Total xG: 1.83;47' Total xG: 0.89;47' Total xG: 1.85;48' Total xG: 0.89;48' Total xG: 1.93;49' Total xG: 0.89;49' Total xG: 1.98;50' Total xG: 0.89;50' Total xG: 1.98;51' Total xG: 0.89;51' Total xG: 1.98;52' Total xG: 0.89;52' Total xG: 1.98;53' Total xG: 0.89;53' Total xG: 1.98;53' Total xG: 0.89;53' Total xG: 1.98;54' Total xG: 0.89;54' Total xG: 1.98;55' Total xG: 0.89;55' Total xG: 1.98;56' Total xG: 0.89;56' Total xG: 1.98;57' Total xG: 0.89;57' Total xG: 1.98;58' Total xG: 0.89;58' Total xG: 2.61
Saúl Ñíguez - Shot xG: 0.58;59' Total xG: 0.89;59' Total xG: 2.61;60' Total xG: 0.89;60' Total xG: 2.61;61' Total xG: 0.97;61' Total xG: 2.61;62' Total xG: 0.97;62' Total xG: 2.61;62' Total xG: 0.97;62' Total xG: 2.61;63' Total xG: 0.97;63' Total xG: 2.65;64' Total xG: 0.97;64' Total xG: 2.65;65' Total xG: 0.97;65' Total xG: 2.65;66' Total xG: 0.97;66' Total xG: 2.65;67' Total xG: 0.97;67' Total xG: 2.65;68' Total xG: 0.97;68' Total xG: 2.65;69' Total xG: 0.97;69' Total xG: 2.65;70' Total xG: 0.97;70' Total xG: 2.65;71' Total xG: 0.97;71' Total xG: 2.65;72' Total xG: 0.97;72' Total xG: 2.65;72' Total xG: 0.97;72' Total xG: 2.65;73' Total xG: 0.97;73' Total xG: 2.65;74' Total xG: 0.97;74' Total xG: 2.65;75' Total xG: 0.97;75' Total xG: 2.65;76' Total xG: 0.97;76' Total xG: 2.65;77' Total xG: 0.97;77' Total xG: 2.65;78' Total xG: 0.99;78' Total xG: 2.65;79' Total xG: 0.99;79' Total xG: 2.65;80' Total xG: 0.99;80' Total xG: 2.65;81' Total xG: 0.99;81' Total xG: 2.67;81' Total xG: 0.99;81' Total xG: 2.67;82' Total xG: 0.99;82' Total xG: 2.67;83' Total xG: 0.99;83' Total xG: 2.67;84' Total xG: 0.99;84' Total xG: 2.67;85' Total xG: 0.99;85' Total xG: 2.67;86' Total xG: 0.99;86' Total xG: 2.67;87' Total xG: 0.99;87' Total xG: 3.09
Dodi Lukebakio - Shot xG: 0.42;88' Total xG: 0.99;88' Total xG: 3.09;89' Total xG: 0.99;89' Total xG: 3.09;90' Total xG: 0.99;90' Total xG: 3.09;90' Total xG: 0.99;90' Total xG: 3.09;91' Total xG: 0.99;91' Total xG: 3.09;92' Total xG: 0.99;92' Total xG: 3.09;93' Total xG: 0.99;93' Total xG: 3.09;94' Total xG: 1.07;94' Total xG: 3.09;95' Total xG: 1.14;95' Total xG: 3.09;95' Total xG: 1.14;95' Total xG: 3.09",https://understat.com/match/27173,
