,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
561,15.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Empoli,0,29,4,0,3,1,9,3,0,4,8,2,,130,96,,39,12,15.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Bologna,0,71,10,4,1,5,8,4,0,0,9,0,,336,299,,59,28,cat201,https://www.flashscore.com/match/QonY2jXu/#/match-summary/match-statistics/1
562,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Udinese,0,45,9,1,5,3,13,2,2,1,5,1,,163,124,,42,22,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Torino,1,55,4,2,1,1,7,0,0,1,12,2,,196,159,,54,24,cat202,https://www.flashscore.com/match/KYz1d6GN/#/match-summary/match-statistics/2
563,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Udinese,0,41,3,0,2,1,6,1,0,2,6,2,,177,138,,32,10,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Torino,1,59,8,3,2,3,6,4,1,0,5,0,,258,222,,55,31,cat203,https://www.flashscore.com/match/KYz1d6GN/#/match-summary/match-statistics/1
564,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Monza,0,61,9,2,3,4,6,2,0,0,4,1,,263,227,,56,20,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Cagliari,0,39,5,0,3,2,4,5,1,2,5,1,,158,123,,45,24,cat204,https://www.flashscore.com/match/YHYla8W4/#/match-summary/match-statistics/2
565,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Monza,1,63,6,1,3,2,6,1,1,0,7,1,,273,240,,44,23,16.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Cagliari,0,37,5,0,4,1,8,2,2,0,4,0,,159,124,,37,13,cat205,https://www.flashscore.com/match/YHYla8W4/#/match-summary/match-statistics/1
566,16.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Salernitana,0,70,7,3,3,1,11,4,1,2,4,2,,336,292,,76,27,16.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Lecce,0,30,7,2,3,2,6,0,1,3,10,3,,147,106,,49,20,cat206,https://www.flashscore.com/match/trxccn1H/#/match-summary/match-statistics/2
567,16.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Salernitana,0,72,8,3,3,2,8,3,0,1,5,2,,364,324,,63,21,16.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Lecce,1,28,10,2,7,1,5,1,0,3,8,0,,135,111,,26,7,cat207,https://www.flashscore.com/match/trxccn1H/#/match-summary/match-statistics/1
568,16.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Frosinone,1,48,8,3,3,2,11,5,1,3,6,1,,219,165,,67,23,16.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Lazio,2,52,16,5,5,6,7,3,2,2,9,2,,252,198,,50,25,cat208,https://www.flashscore.com/match/4xox2Ann/#/match-summary/match-statistics/2
569,16.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Frosinone,1,38,6,2,4,0,8,4,1,1,4,0,,181,143,,40,32,16.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Lazio,1,62,6,2,2,2,5,1,2,1,6,1,,308,256,,53,28,cat209,https://www.flashscore.com/match/4xox2Ann/#/match-summary/match-statistics/1
570,17.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 29",Juventus,0,71,10,1,4,5,7,7,1,0,5,3,1,303,265,,71,56,17.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 29",Genoa,0,29,0,0,0,0,6,0,0,1,7,1,0,131,91,,36,10,cat210,https://www.flashscore.com/match/jgqp0lHb/#/match-summary/match-statistics/2
571,17.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 29",Juventus,0,61,7,1,0,6,4,5,1,2,6,1,,237,194,,59,30,17.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 29",Genoa,0,39,5,2,3,0,7,2,0,1,4,0,,151,112,,44,13,cat211,https://www.flashscore.com/match/jgqp0lHb/#/match-summary/match-statistics/1
572,17.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Verona,1,61,12,3,7,2,6,1,1,2,3,0,,241,206,,63,22,17.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",AC Milan,2,39,8,4,2,2,4,2,2,2,5,1,,161,131,,43,13,cat212,https://www.flashscore.com/match/xAV5eQVT/#/match-summary/match-statistics/2
573,17.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Verona,0,29,3,1,1,1,3,2,0,1,6,1,,115,82,,37,15,17.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",AC Milan,1,71,10,2,7,1,7,3,0,1,3,2,,293,264,,54,14,cat213,https://www.flashscore.com/match/xAV5eQVT/#/match-summary/match-statistics/1
574,17.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",AS Roma,1,58,7,4,1,2,6,2,2,2,4,2,,279,251,,42,23,17.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Sassuolo,0,42,5,2,1,2,7,4,0,3,6,1,,188,155,,29,15,cat214,https://www.flashscore.com/match/nLxgbSoB/#/match-summary/match-statistics/2
575,17.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",AS Roma,0,68,3,0,2,1,4,2,1,0,7,,,334,301,,55,37,17.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 29",Sassuolo,0,32,3,0,1,2,9,3,0,0,4,,,160,130,,36,10,cat215,https://www.flashscore.com/match/nLxgbSoB/#/match-summary/match-statistics/1
576,17.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Inter,0,49,10,3,3,4,3,4,0,2,9,1,,186,159,,32,37,17.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Napoli,1,51,7,3,4,0,9,5,0,3,3,1,,192,162,,44,22,cat216,https://www.flashscore.com/match/C2pt1U1h/#/match-summary/match-statistics/2
577,17.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Inter,1,49,9,3,3,3,3,1,3,0,10,1,,245,213,,36,17,17.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 29",Napoli,0,51,4,0,2,2,13,2,0,2,3,0,,258,222,,53,18,cat217,https://www.flashscore.com/match/C2pt1U1h/#/match-summary/match-statistics/1
578,30.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Napoli,0,67,17,3,8,6,10,5,1,3,1,1,,324,278,,58,22,30.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Atalanta,1,33,7,4,1,2,2,3,2,3,9,2,,153,121,,37,16,cat218,https://www.flashscore.com/match/2B5vAPpN/#/match-summary/match-statistics/2
579,30.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Napoli,0,55,3,3,0,0,5,2,2,0,5,1,,280,241,,51,29,30.03.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Atalanta,2,45,5,2,3,0,7,2,0,3,4,0,,230,193,,46,17,cat219,https://www.flashscore.com/match/2B5vAPpN/#/match-summary/match-statistics/1
580,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Torino,1,61,11,6,3,2,7,3,1,1,4,0,0,236,204,,53,26,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Monza,0,39,4,1,2,1,6,0,1,5,8,3,1,147,116,,27,3,cat220,https://www.flashscore.com/match/YgdA438p/#/match-summary/match-statistics/2
581,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Torino,0,63,4,0,0,4,4,4,0,1,5,,,318,289,,51,22,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Monza,0,37,5,1,1,3,4,2,1,0,3,,,190,160,,22,12,cat221,https://www.flashscore.com/match/YgdA438p/#/match-summary/match-statistics/1
582,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Genoa,0,53,4,1,2,1,6,1,1,0,6,0,,227,169,,52,17,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Frosinone,0,47,4,0,3,1,8,1,0,1,6,1,,207,153,,56,19,cat222,https://www.flashscore.com/match/YVDND7ob/#/match-summary/match-statistics/2
583,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Genoa,1,43,5,2,2,1,4,2,0,2,10,2,,168,123,,29,12,30.03.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Frosinone,1,57,11,3,4,4,9,7,1,1,5,0,,218,170,,67,19,cat223,https://www.flashscore.com/match/YVDND7ob/#/match-summary/match-statistics/1
584,30.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Lazio,1,69,8,1,5,2,2,4,1,1,5,1,,338,307,,66,32,30.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Juventus,0,31,5,1,1,3,8,1,0,0,4,2,,157,114,,34,14,cat224,https://www.flashscore.com/match/tdHVBoGA/#/match-summary/match-statistics/2
585,30.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Lazio,0,61,8,3,3,2,8,3,0,2,7,,,308,265,,53,35,30.03.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Juventus,0,39,4,2,2,0,5,1,0,3,6,,,195,158,,38,11,cat225,https://www.flashscore.com/match/tdHVBoGA/#/match-summary/match-statistics/1
586,30.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Fiorentina,1,50,11,6,1,4,8,5,1,2,3,0,,201,160,,48,27,30.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",AC Milan,2,50,5,4,1,0,4,2,2,5,6,2,,213,160,,44,14,cat226,https://www.flashscore.com/match/j7OIEmWi/#/match-summary/match-statistics/2
587,30.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Fiorentina,0,40,6,1,1,4,9,2,0,6,5,2,,161,122,,38,10,30.03.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",AC Milan,0,60,9,6,3,0,5,3,3,1,6,1,,242,213,,39,14,cat227,https://www.flashscore.com/match/j7OIEmWi/#/match-summary/match-statistics/1
588,01.04.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Bologna,1,68,7,1,2,4,6,3,1,1,3,0,,398,362,,64,39,01.04.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Salernitana,0,32,4,1,2,1,4,1,0,0,7,1,,180,147,,44,16,cat228,https://www.flashscore.com/match/vJHXjpvo/#/match-summary/match-statistics/2
589,01.04.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Bologna,2,72,7,2,3,2,5,2,2,1,8,0,,376,342,,72,26,01.04.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 30",Salernitana,0,28,4,1,1,2,10,2,0,0,5,2,,137,97,,29,15,cat229,https://www.flashscore.com/match/vJHXjpvo/#/match-summary/match-statistics/1
590,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Sassuolo,0,63,7,3,3,1,8,6,0,0,4,,,240,200,,45,30,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Udinese,0,37,4,0,2,2,4,1,1,3,6,,,152,117,,19,12,cat230,https://www.flashscore.com/match/GE9r9q0T/#/match-summary/match-statistics/2
591,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Sassuolo,1,57,7,2,4,1,6,4,0,2,3,1,,231,196,,43,22,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Udinese,1,43,8,3,4,1,3,0,1,1,4,2,,172,139,,35,10,cat231,https://www.flashscore.com/match/GE9r9q0T/#/match-summary/match-statistics/1
592,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Cagliari,1,53,8,2,2,4,12,5,2,2,7,0,,175,135,,50,32,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Verona,0,47,3,2,1,0,10,1,2,1,9,1,,166,113,,30,9,cat232,https://www.flashscore.com/match/hM5FFTGo/#/match-summary/match-statistics/2
593,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Cagliari,0,49,3,0,1,2,9,2,0,2,4,0,,180,117,,56,21,01.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Verona,1,51,5,3,1,1,4,1,1,0,7,1,,194,132,,50,11,cat233,https://www.flashscore.com/match/hM5FFTGo/#/match-summary/match-statistics/1
594,01.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Lecce,0,35,11,2,6,3,6,3,1,2,3,1,,167,112,,45,14,01.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",AS Roma,0,65,5,2,2,1,4,3,0,2,6,1,,294,241,,67,22,cat234,https://www.flashscore.com/match/KnGZA5VG/#/match-summary/match-statistics/2
595,01.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",Lecce,0,45,16,4,6,6,6,5,1,1,6,2,,165,134,,48,20,01.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 30",AS Roma,0,55,5,1,4,0,7,1,0,4,6,1,,219,169,,52,15,cat235,https://www.flashscore.com/match/KnGZA5VG/#/match-summary/match-statistics/1
596,01.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Inter,1,62,12,3,4,5,9,6,0,0,8,0,,301,279,,57,30,01.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Empoli,0,38,6,0,4,2,8,3,0,2,9,2,,171,147,,48,16,cat236,https://www.flashscore.com/match/CMCRCR04/#/match-summary/match-statistics/2
597,01.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Inter,1,56,7,4,0,3,7,2,1,3,6,,,267,238,,48,24,01.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 30",Empoli,0,44,8,3,2,3,7,3,0,3,7,,,201,169,,48,23,cat237,https://www.flashscore.com/match/CMCRCR04/#/match-summary/match-statistics/1
598,05.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 31",Salernitana,2,56,3,2,1,0,8,3,0,3,9,3,,251,190,,51,24,05.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 31",Sassuolo,0,44,10,3,4,3,7,7,2,0,5,3,,188,133,,47,22,cat238,https://www.flashscore.com/match/nHKw6Gqk/#/match-summary/match-statistics/2
599,05.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 31",Salernitana,0,52,2,0,1,1,8,1,1,0,1,1,,244,207,,43,12,05.04.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 31",Sassuolo,2,48,6,2,1,3,4,2,1,0,8,0,,229,188,,44,39,cat239,https://www.flashscore.com/match/nHKw6Gqk/#/match-summary/match-statistics/1
600,06.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",AC Milan,1,69,10,4,4,2,3,2,1,4,3,1,,348,324,,65,35,06.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",Lecce,0,31,4,4,0,0,4,1,0,3,3,0,,156,131,,31,4,cat240,https://www.flashscore.com/match/bg31P4pA/#/match-summary/match-statistics/2
601,06.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",AC Milan,2,59,6,4,1,1,6,3,1,3,5,0,0,275,250,,60,24,06.04.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",Lecce,0,41,7,3,3,1,5,0,1,2,5,1,1,192,169,,52,23,cat241,https://www.flashscore.com/match/bg31P4pA/#/match-summary/match-statistics/1
602,06.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",AS Roma,0,37,4,0,3,1,8,0,0,1,9,5,,157,121,,49,4,06.04.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 31",Lazio,0,63,6,1,4,1,9,4,1,0,8,2,,261,226,,61,22,cat242,https://www.flashscore.com/match/IsGZ6dUr/#/match-summary/match-statistics/2
