,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_CLEARANCES_TOTAL,A_CROSSES,H_SHOTS_OUTSIDE_THE_BOX,H_HIT_THE_WOODWORK,A_CLEARANCES_TOTAL,H_PASSES_IN_THE_FINAL_THIRD,A_HIT_THE_WOODWORK,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_THROWINS,A_THROWINS,H_SHOTS_INSIDE_THE_BOX,A_SHOTS_INSIDE_THE_BOX,H_CROSSES,A_SHOTS_OUTSIDE_THE_BOX,A_INTERCEPTIONS,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_BIG_CHANCES,A_PASSES_IN_THE_FINAL_THIRD,H_EXPECTED_GOALS_XG,H_INTERCEPTIONS,H_BIG_CHANCES,A_EXPECTED_GOALS_XG,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
36,21.09.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Venezia,2,48,8,3,2,3,6,3,0.0,0,3,2.0,,154,108,,,,21.09.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Genoa,0,52,7,0,2,5,5,2,3.0,1,5,2.0,,175.0,138.0,,,,cat84,https://www.flashscore.com/match/S66wtFBN/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
37,21.09.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Venezia,0,50,4,1,3,0,11,0,0.0,0,6,0.0,,219,183,,,,21.09.2024 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Genoa,0,50,2,0,1,1,5,2,4.0,1,7,1.0,,224.0,185.0,,,,cat85,https://www.flashscore.com/match/S66wtFBN/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
38,21.09.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Juventus,0,75,7,1,4,2,12,2,0.0,0,3,,,420,340,,,,21.09.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Napoli,0,25,4,0,2,2,3,1,2.0,1,7,,,160.0,120.0,,,,cat86,https://www.flashscore.com/match/Yqo4RFdU/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
39,21.09.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Juventus,0,55,2,0,0,2,6,2,0.0,1,7,1.0,,308,281,,,,21.09.2024 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 5",Napoli,0,45,4,1,0,3,8,2,0.0,0,6,0.0,,219.0,193.0,,,,cat87,https://www.flashscore.com/match/Yqo4RFdU/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
40,21.09.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 5",Lecce,1,29,4,1,3,0,7,0,1.0,5,9,3.0,1.0,101,71,,,,21.09.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 5",Parma,2,71,18,7,2,9,11,10,0.0,0,5,0.0,1.0,275.0,244.0,,,,cat88,https://www.flashscore.com/match/O8QDoJsn/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
41,21.09.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 5",Lecce,1,47,10,2,3,5,7,2,3.0,3,3,1.0,,221,187,,,,21.09.2024 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 5",Parma,0,53,6,3,1,2,6,2,1.0,1,6,0.0,,255.0,212.0,,,,cat89,https://www.flashscore.com/match/O8QDoJsn/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
42,22.09.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 5",Fiorentina,2,47,9,3,6,0,5,2,0.0,1,4,1.0,,168,144,,,,22.09.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 5",Lazio,0,53,9,1,4,4,5,5,0.0,1,7,3.0,,184.0,161.0,,,,cat90,https://www.flashscore.com/match/A50vXJSh/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
43,22.09.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 5",Fiorentina,0,45,5,2,3,0,10,1,0.0,4,7,2.0,,187,161,,,,22.09.2024 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 5",Lazio,1,55,11,5,3,3,8,5,1.0,2,8,1.0,,221.0,199.0,,,,cat91,https://www.flashscore.com/match/A50vXJSh/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
44,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Udinese,0,39,3,1,2,0,7,0,0.0,1,3,1.0,,199,142,44.0,,,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Atalanta,0,61,3,1,1,1,3,3,0.0,1,7,1.0,,,,64.0,,,2,https://www.flashscore.com/match/IRD4sgwJ/#/match-summary/match-statistics/2,10,20.0,2,0,7,60.0,0,11,11,11,1,2,33.0,1,6,4,0,83.0,0.15,9,0,0.22,,,2.0
45,10.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Lazio,1,41,7,2,2,3,7,5,1.0,1,6,0.0,,163,134,67.0,,,10.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Como,0,59,7,1,6,0,6,2,0.0,1,7,1.0,,,,50.0,,,1,https://www.flashscore.com/match/4tuOUFgD/#/match-summary/match-statistics/1,9,20.0,3,0,11,63.0,1,6,8,7,4,4,13.0,3,1,16,1,73.0,0.20,7,0,0.86,,,1.0
