,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_PASSES_IN_THE_FINAL_THIRD,H_HIT_THE_WOODWORK,A_BIG_CHANCES,H_SHOTS_INSIDE_THE_BOX,H_BIG_CHANCES,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_CROSSES,A_CROSSES,A_EXPECTED_GOALS_XG,A_INTERCEPTIONS,H_SHOTS_OUTSIDE_THE_BOX,A_PASSES_IN_THE_FINAL_THIRD,H_THROWINS,H_INTERCEPTIONS,A_SHOTS_OUTSIDE_THE_BOX,H_EXPECTED_GOALS_XG,A_THROWINS,H_CLEARANCES_TOTAL,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_HIT_THE_WOODWORK,A_SHOTS_INSIDE_THE_BOX,A_CLEARANCES_TOTAL,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
259,08.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Marseille,0,76,4,3,0,1,5,3,0,0,10,3.0,,377.0,339.0,55.0,,,08.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Lens,0,24,2,1,1,0,10,0,2,3,5,1.0,,,,67.0,,,2,https://www.flashscore.com/match/UZKA4iOr/#/match-summary/match-statistics/2,82.0,0,2,3,2,5,11.0,0.0,0.38,10,1,41.0,14,8,0,0.56,9,7,16,0,2,28,,,2.0
260,08.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Lille,0,83,10,2,3,5,5,2,0,2,4,,,440.0,410.0,50.0,,,08.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Montpellier,0,17,5,2,3,0,4,0,1,2,5,,,,,82.0,,,1,https://www.flashscore.com/match/2PzWBZV8/#/match-summary/match-statistics/1,88.0,0,0,3,0,1,,,0.18,4,7,50.0,9,5,4,0.58,7,2,12,0,1,10,,,1.0
261,08.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Lille,0,71,8,6,0,2,7,5,0,1,7,,,321.0,275.0,64.0,,,08.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Montpellier,0,29,5,1,3,1,7,1,1,5,7,,,,,83.0,,,2,https://www.flashscore.com/match/2PzWBZV8/#/match-summary/match-statistics/2,75.0,0,0,6,1,4,50.0,0.0,0.15,5,2,78.0,9,2,4,0.96,8,7,18,0,1,18,,,2.0
262,08.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Rennes,0,21,3,0,2,1,4,1,1,4,6,1.0,,108.0,84.0,36.0,,,08.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",PSG,0,79,8,5,2,1,6,2,0,0,4,2.0,,,,100.0,,,1,https://www.flashscore.com/match/biUvAD0L/#/match-summary/match-statistics/1,61.0,1,3,3,1,18,50.0,18.0,1.74,5,0,83.0,9,12,4,0.20,14,13,6,0,4,6,,,1.0
263,08.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Rennes,0,43,10,3,3,4,2,2,0,1,5,1.0,,203.0,166.0,80.0,,,08.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",PSG,0,57,11,4,5,2,5,0,0,2,2,1.0,,,,67.0,,,2,https://www.flashscore.com/match/biUvAD0L/#/match-summary/match-statistics/2,58.0,0,3,8,4,18,38.0,0.0,2.11,8,2,87.0,14,8,3,1.55,10,4,18,0,8,13,1,0,2.0
264,07.03.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Toulouse,0,44,2,0,1,1,11,1,0,2,12,1.0,,175.0,140.0,44.0,,,07.03.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 25",Monaco,0,56,5,3,1,1,12,3,2,0,11,1.0,,,,50.0,,,1,https://www.flashscore.com/match/pl45eEoS/#/match-summary/match-statistics/1,75.0,0,3,1,0,13,22.0,17.0,2.01,4,1,72.0,13,4,0,0.07,9,9,4,0,5,11,,,1.0
265,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Auxerre,0,39,3,1,1,1,3,1,1,0,2,0.0,,193.0,156.0,50.0,,,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Strasbourg,0,61,3,0,1,2,2,3,2,1,3,1.0,,,,50.0,,,1,https://www.flashscore.com/match/jiANpcX9/#/match-summary/match-statistics/1,65.0,0,1,2,0,11,0.0,13.0,0.41,1,1,66.0,12,4,1,0.20,12,13,9,0,2,12,,,1.0
266,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Auxerre,0,51,11,4,2,5,7,4,1,2,8,1.0,0.0,229.0,193.0,73.0,,,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Strasbourg,0,49,3,3,0,0,8,0,0,4,7,2.0,1.0,,,67.0,,,2,https://www.flashscore.com/match/jiANpcX9/#/match-summary/match-statistics/2,71.0,0,3,11,3,6,23.0,0.0,0.52,0,0,74.0,4,3,0,1.36,15,11,29,0,3,17,,,2.0
267,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Montpellier,0,37,6,1,4,1,8,2,4,3,9,,,136.0,98.0,20.0,,,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Rennes,0,63,7,4,2,1,9,4,0,1,8,,,,,33.0,,,1,https://www.flashscore.com/match/AcCfsOQH/#/match-summary/match-statistics/1,52.0,0,0,3,1,11,9.0,36.0,0.50,7,3,74.0,3,4,3,0.46,6,13,4,0,4,13,,,1.0
268,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Montpellier,0,53,10,4,3,3,7,4,2,2,6,,,200.0,160.0,67.0,,,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Rennes,0,47,8,5,2,1,6,1,0,4,7,,,,,30.0,,,2,https://www.flashscore.com/match/AcCfsOQH/#/match-summary/match-statistics/2,68.0,0,4,8,3,16,29.0,50.0,1.91,3,2,74.0,8,2,1,1.00,6,8,16,0,7,23,0,1,2.0
269,02.03.2025 14:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lyon,0,67,2,1,1,0,4,1,0,1,10,,,324.0,289.0,80.0,,,02.03.2025 14:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Brest,0,33,9,2,4,3,10,2,1,0,4,,,,,82.0,,,1,https://www.flashscore.com/match/xpEnqpd5/#/match-summary/match-statistics/1,76.0,0,2,1,1,19,13.0,38.0,1.64,2,1,65.0,12,2,2,0.42,3,13,9,0,7,10,,,1.0
270,02.03.2025 14:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lyon,0,65,8,3,4,1,8,1,0,3,6,,,287.0,255.0,75.0,,,02.03.2025 14:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Brest,0,35,6,3,1,2,6,3,1,2,8,,,,,67.0,,,2,https://www.flashscore.com/match/xpEnqpd5/#/match-summary/match-statistics/2,82.0,0,0,5,2,17,60.0,22.0,0.31,3,3,54.0,10,2,3,1.02,9,13,11,0,3,7,,,2.0
271,01.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",PSG,0,58,17,9,5,3,3,5,1,0,2,0.0,,329.0,303.0,57.0,,,01.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lille,0,42,0,0,0,0,2,1,0,5,3,1.0,,,,53.0,,,1,https://www.flashscore.com/match/f1MVnSdt/#/match-summary/match-statistics/1,88.0,0,0,13,4,2,54.0,0.0,0.00,6,4,61.0,8,9,0,2.20,6,8,37,0,0,8,1,0,1.0
272,01.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",PSG,0,58,9,2,3,4,7,4,2,1,4,0.0,,320.0,292.0,83.0,,,01.03.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lille,0,42,6,2,4,0,4,2,0,2,7,1.0,,,,50.0,,,2,https://www.flashscore.com/match/f1MVnSdt/#/match-summary/match-statistics/2,75.0,0,2,7,2,6,29.0,20.0,1.07,4,2,89.0,9,3,4,1.39,5,3,14,0,2,9,,,2.0
273,01.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lens,0,68,10,5,3,2,6,6,2,0,7,1.0,,309.0,279.0,60.0,,,01.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Le Havre,0,32,4,2,1,1,7,1,1,3,6,1.0,,,,67.0,,,1,https://www.flashscore.com/match/UyMEnJ2c/#/match-summary/match-statistics/1,87.0,0,0,7,2,4,47.0,13.0,0.25,4,3,52.0,6,2,2,1.28,2,8,19,0,2,19,0,1,1.0
274,01.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Lens,0,70,10,2,6,2,5,3,0,0,5,1.0,,285.0,246.0,13.0,,,01.03.2025 18:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Le Havre,0,30,4,2,1,1,5,1,1,1,5,1.0,,,,60.0,,,2,https://www.flashscore.com/match/UyMEnJ2c/#/match-summary/match-statistics/2,82.0,1,2,7,0,8,44.0,14.0,1.19,4,3,64.0,10,1,1,0.64,4,12,14,0,3,24,1,0,2.0
275,01.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",St Etienne,0,68,5,1,2,2,7,2,0,6,5,1.0,,413.0,369.0,83.0,,,01.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Nice,0,32,8,7,1,0,5,1,0,0,7,1.0,,,,80.0,,,1,https://www.flashscore.com/match/4bUSOFAj/#/match-summary/match-statistics/1,79.0,0,4,5,1,16,22.0,75.0,1.45,7,0,45.0,14,3,1,0.38,7,5,12,0,7,11,0,1,1.0
276,01.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",St Etienne,0,56,7,2,5,0,4,1,0,0,5,1.0,,272.0,229.0,73.0,,,01.03.2025 16:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Nice,0,44,8,2,5,1,5,3,2,2,4,0.0,,,,75.0,,,2,https://www.flashscore.com/match/4bUSOFAj/#/match-summary/match-statistics/2,78.0,0,0,4,0,18,17.0,7.0,0.49,6,3,78.0,10,5,3,0.46,13,17,9,0,5,11,,,2.0
277,28.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Monaco,0,58,15,5,8,2,3,4,0,0,3,,,302.0,257.0,67.0,,,28.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Reims,0,42,1,0,0,1,3,1,1,3,3,,,,,40.0,,,1,https://www.flashscore.com/match/bHDVry2M/#/match-summary/match-statistics/1,78.0,0,0,13,4,7,50.0,13.0,0.08,8,2,73.0,3,9,0,2.67,7,11,36,0,1,20,,,1.0
278,28.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Monaco,0,54,8,4,3,1,4,3,1,5,4,,,274.0,241.0,88.0,,,28.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Reims,0,46,8,5,3,0,4,1,1,3,4,,,,,11.0,,,2,https://www.flashscore.com/match/bHDVry2M/#/match-summary/match-statistics/2,78.0,0,1,4,2,8,25.0,9.0,0.55,3,4,83.0,6,6,3,1.21,10,10,23,0,5,10,,,2.0
279,23.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",Lyon,0,25,1,1,0,0,5,1,2,2,6,0.0,,119.0,89.0,67.0,,,23.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",PSG,0,75,7,2,2,3,6,3,0,1,5,1.0,,,,50.0,,,1,https://www.flashscore.com/match/jmdLSOBO/#/match-summary/match-statistics/1,75.0,0,3,1,0,18,0.0,22.0,1.82,4,0,77.0,4,4,3,0.08,9,10,5,0,4,2,,,1.0
280,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Angers,0,50,3,0,1,2,3,3,1,5,5,2.0,,200.0,162.0,85.0,,,02.03.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 24",Toulouse,0,50,10,9,1,0,5,2,1,0,3,2.0,,,,78.0,,,2,https://www.flashscore.com/match/I1f2wFPq/#/match-summary/match-statistics/2,67.0,0,5,2,0,17,15.0,17.0,2.21,4,1,73.0,8,8,0,0.25,11,10,5,0,10,14,,,2.0
281,23.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",Lyon,0,45,13,6,3,4,3,4,2,3,6,1.0,,218.0,189.0,71.0,,,23.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",PSG,0,55,8,6,1,1,6,1,1,4,3,0.0,,,,67.0,,,2,https://www.flashscore.com/match/jmdLSOBO/#/match-summary/match-statistics/2,79.0,0,2,8,3,17,38.0,33.0,0.64,6,5,82.0,7,4,2,1.70,6,5,19,0,6,19,1,0,2.0
282,23.02.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",Le Havre,0,63,5,2,1,2,6,1,2,1,5,,,274.0,236.0,80.0,,,23.02.2025 16:15,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 23",Toulouse,0,37,2,2,0,0,5,0,1,2,6,,,,,20.0,,,1,https://www.flashscore.com/match/ETLNJTSg/#/match-summary/match-statistics/1,64.0,0,0,3,1,8,7.0,25.0,0.12,3,2,52.0,7,5,0,0.36,11,21,9,0,2,22,,,1.0
283,14.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Brest,0,62,10,2,3,5,4,4,2,4,6,1.0,,266.0,229.0,38.0,,,14.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Auxerre,0,38,7,5,1,1,6,1,0,2,4,1.0,,,,100.0,,,1,https://www.flashscore.com/match/rP7JS3fR/#/match-summary/match-statistics/1,69.0,0,3,8,2,9,18.0,0.0,0.73,3,2,67.0,7,4,4,1.03,5,7,17,0,3,16,,,1.0
284,14.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Brest,0,66,8,4,4,0,8,2,0,0,3,1.0,,276.0,230.0,67.0,,,14.02.2025 19:45,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Auxerre,0,34,4,1,1,2,3,3,1,2,8,1.0,,,,63.0,,,2,https://www.flashscore.com/match/rP7JS3fR/#/match-summary/match-statistics/2,69.0,1,0,5,0,8,27.0,17.0,0.42,7,3,63.0,13,4,1,1.10,8,14,11,0,3,20,1,0,2.0
285,15.02.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Toulouse,0,20,5,3,2,0,4,1,1,3,4,,,108.0,76.0,50.0,,,15.02.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",PSG,0,80,13,3,6,4,4,1,0,3,4,,,,,70.0,,,1,https://www.flashscore.com/match/Q9K8A4Yr/#/match-summary/match-statistics/1,50.0,0,2,3,2,17,50.0,43.0,0.87,4,2,87.0,4,4,7,0.34,8,11,6,1,6,2,,,1.0
286,15.02.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",Toulouse,0,26,9,1,4,4,2,4,0,2,5,,,131.0,93.0,50.0,,,15.02.2025 20:05,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 22",PSG,0,74,7,3,3,1,5,1,1,1,2,,,,,40.0,,,2,https://www.flashscore.com/match/Q9K8A4Yr/#/match-summary/match-statistics/2,66.0,0,3,7,0,9,40.0,50.0,1.57,2,2,86.0,9,2,4,0.54,8,5,10,2,3,10,,,2.0
