,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
143,28.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Getafe,1,52,6,3,1,2,17,0,2,1,8,0,,,,,,,28.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Alaves,0,48,5,1,1,3,12,2,1,2,14,2,,,,,,,cat143,https://www.flashscore.com/match/hMoEUjrJ/#/match-summary/match-statistics/1
144,28.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Rayo Vallecano,0,52,9,4,3,2,4,3,1,1,10,2,,,,,,,28.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Leganes,1,48,9,2,3,4,13,3,2,4,1,0,,,,,,,cat144,https://www.flashscore.com/match/KSw0hfzQ/#/match-summary/match-statistics/2
145,28.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Rayo Vallecano,1,54,6,2,2,2,5,2,1,1,2,0,,,,,,,28.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Leganes,0,46,4,1,3,0,3,2,0,1,6,1,,,,,,,cat145,https://www.flashscore.com/match/KSw0hfzQ/#/match-summary/match-statistics/1
146,28.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Real Sociedad,2,57,5,4,0,1,9,1,4,3,5,,,,,,,,28.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Valencia,0,43,7,3,3,1,10,3,1,2,7,,,,,,,,cat146,https://www.flashscore.com/match/YemQuHjK/#/match-summary/match-statistics/2
147,28.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Real Sociedad,1,65,6,2,3,1,6,5,1,1,2,,,,,,,,28.09.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Valencia,0,35,2,1,0,1,4,1,1,1,5,,,,,,,,cat147,https://www.flashscore.com/match/YemQuHjK/#/match-summary/match-statistics/1
148,28.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Osasuna,2,20,4,2,2,0,1,3,4,2,8,2,,,,,,,28.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Barcelona,2,80,9,4,3,2,13,5,0,0,2,2,,,,,,,cat148,https://www.flashscore.com/match/4vvdzeEs/#/match-summary/match-statistics/2
149,28.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Osasuna,2,30,7,3,3,1,1,2,6,2,5,,,,,,,,28.09.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Barcelona,0,70,3,2,1,0,13,3,0,1,1,,,,,,,,cat149,https://www.flashscore.com/match/4vvdzeEs/#/match-summary/match-statistics/1
150,29.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Celta Vigo,1,58,8,2,4,2,14,4,0,2,5,1,,,,,,,29.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Girona,0,42,6,2,1,3,5,4,1,1,10,0,,,,,,,cat150,https://www.flashscore.com/match/h0AwIDbD/#/match-summary/match-statistics/2
151,29.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Celta Vigo,0,38,4,0,1,3,4,0,0,1,4,,,,,,,,29.09.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Girona,1,62,3,2,1,0,4,0,0,0,4,,,,,,,,cat151,https://www.flashscore.com/match/h0AwIDbD/#/match-summary/match-statistics/1
152,29.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Ath Bilbao,0,35,6,2,3,1,7,2,1,2,5,0,1,,,,,,29.09.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 8",Sevilla,1,65,10,3,5,2,6,4,1,2,6,3,0,,,,,,cat152,https://www.flashscore.com/match/jyEMLeal/#/match-summary/match-statistics/2
