,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Chievo,2,1.05,6,2,1,22.05,0.52,Juventus,3,2.26,26,10,9,6.81,2.27
1,Fiorentina,6,3.33,22,12,10,16.24,2.83,Chievo,1,0.64,8,3,3,14.00,0.11
2,Chievo,0,1.27,9,3,4,24.69,1.26,Empoli,0,1.36,13,2,5,10.50,1.43
3,Roma,2,2.72,16,9,6,15.90,2.40,Chievo,2,1.18,13,5,5,24.57,0.43
4,Chievo,0,1.58,14,5,6,7.29,1.73,Udinese,2,1.12,11,5,8,47.14,1.01
5,Genoa,2,1.62,18,4,3,9.84,1.41,Chievo,0,1.60,10,2,5,9.81,1.33
6,Chievo,0,0.32,9,1,5,11.00,0.41,Torino,1,1.48,19,5,11,4.92,2.35
7,AC Milan,3,2.55,20,6,13,10.16,2.74,Chievo,1,0.41,13,1,3,32.13,0.17
8,Chievo,1,0.86,3,1,0,14.29,0.31,Atalanta,5,2.17,17,7,16,11.29,2.46
9,Cagliari,2,1.48,15,3,6,15.91,1.58,Chievo,1,1.19,12,3,5,11.40,1.14
10,Chievo,0,0.54,5,0,7,7.90,0.76,Sassuolo,2,1.15,10,4,4,13.65,1.93
11,Chievo,2,2.25,18,6,8,13.00,1.68,Bologna,2,1.84,15,5,1,7.06,1.06
12,Napoli,0,1.31,21,8,12,6.37,2.20,Chievo,0,0.34,9,2,4,14.16,0.52
13,Chievo,1,1.10,4,1,3,12.10,1.47,Lazio,1,1.03,17,5,17,8.69,1.21
14,Parma Calcio 1913,1,1.57,17,6,7,9.82,1.40,Chievo,1,1.48,16,1,4,9.48,1.32
15,SPAL 2013,0,0.59,15,1,5,6.84,0.89,Chievo,0,0.94,9,4,7,13.00,1.76
16,Chievo,1,0.61,9,3,8,12.12,0.32,Inter,1,2.14,12,3,13,6.77,2.52
17,Sampdoria,2,0.70,14,4,5,7.83,1.69,Chievo,0,0.29,11,2,1,7.88,0.86
18,Chievo,1,1.03,12,3,8,7.20,1.72,Frosinone,0,0.63,14,4,1,13.38,0.94
19,Juventus,3,3.93,26,10,11,11.42,2.95,Chievo,0,0.47,9,3,2,18.45,0.03
20,Chievo,3,3.36,22,8,5,7.50,2.03,Fiorentina,4,2.36,14,5,5,10.39,0.79
21,Empoli,2,2.77,11,8,9,16.75,2.15,Chievo,2,1.72,12,3,3,15.88,0.66
22,Chievo,0,1.12,16,5,5,8.91,1.02,Roma,3,1.53,15,7,8,24.42,1.70
23,Udinese,1,1.29,13,6,4,8.88,0.91,Chievo,0,1.79,22,7,6,5.93,1.78
24,Chievo,0,0.46,11,5,5,5.07,1.34,Genoa,0,0.41,10,1,7,7.37,1.16
25,Torino,3,0.88,13,5,7,7.23,0.99,Chievo,0,1.11,10,4,0,9.18,1.64
26,Chievo,1,0.26,8,1,1,14.21,0.24,AC Milan,2,1.71,11,3,4,12.44,2.61
27,Atalanta,1,1.50,13,5,10,5.20,2.02,Chievo,1,0.76,8,2,4,13.26,0.70
28,Chievo,0,0.86,11,6,7,9.41,1.14,Cagliari,3,1.06,9,3,3,11.90,1.54
29,Sassuolo,4,2.16,17,8,4,17.69,1.89,Chievo,0,1.47,9,5,2,10.48,0.85
30,Bologna,3,3.10,18,11,6,5.23,2.84,Chievo,0,0.67,8,2,2,14.62,0.10
31,Chievo,1,0.17,7,4,2,25.55,0.29,Napoli,3,1.46,14,5,11,10.61,2.51
32,Lazio,1,1.64,25,4,16,9.35,1.69,Chievo,2,1.18,10,7,3,21.30,1.05
33,Chievo,1,0.90,11,2,2,12.58,1.76,Parma Calcio 1913,1,0.46,8,3,5,11.22,0.86
34,Chievo,0,0.58,11,3,3,13.45,0.35,SPAL 2013,4,2.15,19,8,6,13.67,2.48
35,Inter,2,2.01,24,10,14,9.00,2.73,Chievo,0,0.13,5,0,0,16.67,0.15
36,Frosinone,0,0.56,14,3,8,7.61,1.85,Chievo,0,0.02,2,2,1,9.08,0.60
37,Juventus,2,1.51,16,7,5,13.44,2.42,Lazio,0,0.32,9,2,1,10.79,0.37
38,Parma Calcio 1913,1,1.91,11,4,4,18.47,1.18,Juventus,2,2.18,24,6,13,6.00,1.55
39,Juventus,2,2.85,18,4,9,12.38,2.73,Sassuolo,1,0.74,15,5,1,8.30,0.18
40,Frosinone,0,0.06,3,0,1,14.71,0.04,Juventus,2,2.92,30,8,16,7.22,2.93
41,Juventus,2,0.85,15,8,9,4.85,1.82,Bologna,0,0.33,5,2,1,31.06,0.79
42,Juventus,3,3.05,17,9,3,11.48,2.45,Napoli,1,1.42,14,4,4,14.33,0.40
43,Udinese,0,0.74,9,3,0,21.17,0.19,Juventus,2,2.81,21,7,18,8.22,2.71
44,Juventus,1,1.85,21,3,6,6.29,2.16,Genoa,1,0.85,9,2,1,10.67,0.60
45,Empoli,1,0.27,10,2,7,12.05,0.31,Juventus,2,1.49,20,7,6,6.24,2.50
46,Juventus,3,2.11,16,3,12,13.18,2.39,Cagliari,1,0.73,6,2,4,13.61,0.42
47,AC Milan,0,0.82,5,2,2,20.22,0.73,Juventus,2,1.53,15,6,1,10.33,1.95
48,Juventus,2,1.82,15,7,4,11.97,2.56,SPAL 2013,0,0.33,11,1,1,18.73,0.28
49,Fiorentina,0,1.16,17,5,5,10.71,0.88,Juventus,3,1.74,16,6,4,7.86,1.84
50,Juventus,1,1.48,18,5,7,11.91,1.75,Inter,0,1.04,12,1,5,7.90,0.96
51,Torino,0,0.61,10,3,3,12.12,0.63,Juventus,1,1.35,12,4,5,6.24,2.08
52,Juventus,1,2.28,20,6,6,9.86,2.75,Roma,0,0.25,7,4,5,8.93,0.15
53,Atalanta,2,1.75,18,6,11,7.81,1.91,Juventus,2,1.05,12,2,3,15.38,0.83
54,Juventus,2,1.42,17,8,4,9.63,1.47,Sampdoria,1,1.23,11,2,1,10.69,1.18
55,Lazio,1,1.75,17,6,6,9.46,1.72,Juventus,2,1.28,6,3,3,10.24,0.99
56,Juventus,3,2.16,28,7,25,9.06,2.07,Parma Calcio 1913,3,1.17,11,5,4,19.57,0.72
57,Sassuolo,0,0.44,9,2,5,14.55,0.26,Juventus,3,2.11,14,5,6,11.65,2.60
58,Juventus,3,2.08,18,9,8,9.64,2.48,Frosinone,0,0.63,15,1,2,17.33,0.35
59,Bologna,0,1.27,18,3,9,8.34,2.02,Juventus,1,0.59,7,4,2,7.96,0.68
60,Napoli,1,2.05,21,5,5,9.43,2.51,Juventus,2,0.59,6,3,4,14.11,0.33
61,Juventus,4,2.73,17,6,8,12.43,2.92,Udinese,1,0.10,6,2,3,17.29,0.04
62,Genoa,2,1.05,18,5,9,14.19,1.99,Juventus,0,0.31,6,0,8,7.23,0.67
63,Juventus,1,1.34,15,3,5,10.63,2.22,Empoli,0,0.37,8,0,2,10.83,0.52
64,Cagliari,0,0.45,9,0,3,10.30,0.09,Juventus,2,3.24,17,6,11,19.00,2.86
65,Juventus,2,1.86,12,5,6,11.74,1.67,AC Milan,1,1.47,16,4,8,12.47,1.07
66,SPAL 2013,2,0.98,16,3,4,11.63,1.75,Juventus,1,0.53,11,3,7,6.74,0.90
67,Juventus,2,0.90,18,4,7,10.85,0.88,Fiorentina,1,1.44,13,4,7,24.27,1.84
68,Inter,1,1.36,15,6,8,10.96,2.03,Juventus,1,0.58,10,3,5,18.35,0.68
69,Juventus,1,1.32,16,4,11,7.20,1.92,Torino,1,0.65,11,2,2,6.87,0.80
70,Roma,2,1.39,13,3,7,20.10,1.61,Juventus,0,1.05,7,4,11,11.33,1.09
71,Juventus,1,0.88,15,4,7,7.20,0.75,Atalanta,1,1.67,16,5,5,9.05,2.00
72,Lazio,1,1.08,10,1,6,25.56,0.96,Napoli,2,1.52,10,3,8,14.50,1.75
73,Lazio,1,2.85,23,5,13,7.60,2.79,Frosinone,0,0.49,9,2,1,18.39,0.14
74,Empoli,0,1.49,12,3,5,13.41,0.59,Lazio,1,2.74,21,3,9,20.00,2.22
75,Lazio,4,2.81,20,7,6,8.41,2.71,Genoa,1,0.67,11,4,10,13.19,0.20
76,Udinese,1,0.84,12,6,9,15.82,0.78,Lazio,2,1.50,10,2,1,9.79,1.94
77,Roma,3,2.46,17,7,5,19.85,2.43,Lazio,1,0.89,16,4,12,10.00,0.41
78,Lazio,1,1.39,13,6,0,10.41,1.74,Fiorentina,0,1.01,15,5,8,10.47,0.97
79,Parma Calcio 1913,0,0.25,4,1,3,20.36,0.06,Lazio,2,2.86,18,9,9,7.00,2.90
80,Lazio,0,1.24,21,4,8,15.17,1.06,Inter,3,1.62,18,7,8,11.61,1.67
81,Lazio,4,2.54,22,10,8,22.69,2.47,SPAL 2013,1,0.92,9,2,4,29.55,0.37
82,Sassuolo,1,0.54,16,4,3,7.39,0.46,Lazio,1,1.49,14,2,8,10.78,2.30
83,Lazio,1,1.00,21,5,13,7.56,1.85,AC Milan,1,0.41,11,3,3,13.05,0.80
84,Lazio,2,4.20,29,11,15,9.37,2.88,Sampdoria,2,0.94,5,2,5,12.19,0.07
85,Atalanta,1,0.76,8,2,1,9.00,1.43,Lazio,0,0.68,16,2,13,5.28,1.20
86,Lazio,3,2.59,24,10,14,10.74,1.88,Cagliari,1,1.81,11,5,4,12.04,0.90
87,Bologna,0,0.18,7,3,2,13.41,0.32,Lazio,2,1.47,18,5,12,7.62,2.47
88,Lazio,1,0.99,17,4,8,6.41,0.78,Torino,1,1.70,12,3,4,5.62,1.97
89,Napoli,2,2.07,21,8,8,13.82,1.81,Lazio,1,1.42,18,7,3,13.00,0.95
90,Frosinone,0,1.30,13,3,8,12.95,1.48,Lazio,1,1.17,16,4,8,9.81,1.22
91,Lazio,1,2.05,10,4,4,11.39,2.57,Empoli,0,0.48,7,1,5,17.67,0.28
92,Genoa,2,1.59,20,7,8,6.83,2.19,Lazio,1,0.60,7,5,6,12.80,0.56
93,Lazio,3,2.15,13,4,6,9.24,2.22,Roma,0,1.23,15,3,5,7.33,0.55
94,Fiorentina,1,0.77,13,1,3,8.19,1.08,Lazio,1,1.03,11,6,8,12.74,1.60
95,Lazio,4,1.77,23,8,14,14.11,2.52,Parma Calcio 1913,1,0.36,5,1,2,14.50,0.30
96,Inter,0,1.54,18,7,4,6.89,1.28,Lazio,1,1.60,6,5,2,21.00,1.45
97,SPAL 2013,1,1.15,12,4,2,14.23,2.03,Lazio,0,0.51,11,3,10,6.15,0.67
98,Lazio,2,3.36,22,7,17,8.88,2.78,Sassuolo,2,1.21,5,2,2,22.10,0.14
99,AC Milan,1,1.53,19,5,7,8.19,1.44,Lazio,0,1.41,12,4,8,13.59,1.26
100,Lazio,2,0.89,18,7,8,10.95,0.93,Udinese,0,1.28,19,3,4,15.33,1.76
101,Sampdoria,1,1.19,14,3,6,11.21,1.34,Lazio,2,1.25,13,3,7,18.72,1.36
102,Lazio,1,0.37,8,4,7,13.19,0.32,Atalanta,3,1.81,16,5,8,9.79,2.50
