,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
236,SPAL 2013,1,1.67,20,5,5,5.86,0.87,Bologna,3,2.39,18,5,6,8.87,1.90
237,Bologna,2,2.17,20,6,12,6.04,2.39,Brescia,1,0.84,3,1,1,13.24,0.40
238,Roma,2,1.84,20,8,7,7.28,1.78,Bologna,3,1.28,12,4,8,9.50,0.98
239,Bologna,0,0.57,16,4,6,7.24,0.41,Genoa,3,1.72,7,5,3,11.59,2.39
240,Lazio,2,1.24,14,4,7,15.94,1.03,Bologna,0,1.69,17,3,9,9.14,1.71
241,Sampdoria,1,1.01,17,5,7,6.72,0.42,Bologna,2,2.33,12,3,2,6.10,2.41
242,Bologna,1,0.82,17,4,8,3.84,1.27,Cagliari,1,0.80,7,4,4,10.32,1.37
243,Inter,1,2.72,18,6,22,4.48,2.54,Bologna,2,1.07,13,7,1,13.78,0.32
244,Bologna,1,0.61,10,1,4,13.00,1.26,Sassuolo,2,0.63,15,6,1,8.91,1.34
245,Atalanta,1,1.53,19,7,19,7.28,2.23,Bologna,0,0.42,11,2,5,9.10,0.52
246,Bologna,3,2.69,28,10,10,10.60,1.68,Lecce,2,2.25,24,9,11,25.45,1.10
247,Bologna,1,1.34,19,5,6,9.13,1.26,Torino,1,1.46,15,9,10,10.17,1.46
248,Roma,3,2.63,23,9,16,18.21,2.41,Genoa,3,1.13,6,4,6,7.83,0.42
249,Lazio,1,2.07,22,7,8,6.23,2.03,Roma,1,1.20,11,3,1,14.69,0.72
250,Roma,4,2.96,15,6,7,14.08,2.64,Sassuolo,2,0.85,12,3,6,14.94,0.25
251,Roma,0,2.22,13,2,8,10.66,1.37,Atalanta,2,2.23,18,5,6,10.43,1.40
252,Lecce,0,0.79,13,6,4,20.47,0.21,Roma,1,3.00,19,6,15,6.71,2.69
